request_id,time_s,algorithm,topology,src,dst,blocked,path,hops,distance_km,composite_cost,bottleneck_fidelity,max_utilization,keys_consumed,decision_latency_ms,served_total,blocked_total
0,0.0140713,random,irregular12,2,0,1,"[]",0,0,0,0,0,0,0.01,0,1
1,0.0172403,random,irregular12,9,4,1,"[]",0,0,0,0,0,0,0.01,0,2
2,0.0259167,random,irregular12,0,2,1,"[]",0,0,0,0,0,0,0.01,0,3
3,0.0413879,random,irregular12,2,10,1,"[]",0,0,0,0,0,0,0.01,0,4
4,0.0649931,random,irregular12,2,0,1,"[]",0,0,0,0,0,0,0.01,0,5
5,0.0768424,random,irregular12,10,8,1,"[]",0,0,0,0,0,0,0.01,0,6
6,0.0855273,random,irregular12,1,6,1,"[]",0,0,0,0,0,0,0.01,0,7
7,0.0943155,random,irregular12,4,8,1,"[]",0,0,0,0,0,0,0.01,0,8
8,0.0994773,random,irregular12,4,2,1,"[]",0,0,0,0,0,0,0.01,0,9
9,0.116065,random,irregular12,6,7,1,"[]",0,0,0,0,0,0,0.01,0,10
10,0.14125,random,irregular12,0,5,1,"[]",0,0,0,0,0,0,0.01,0,11
11,0.150178,random,irregular12,7,4,1,"[]",0,0,0,0,0,0,0.01,0,12
12,0.169383,random,irregular12,10,3,1,"[]",0,0,0,0,0,0,0.01,0,13
13,0.177062,random,irregular12,6,2,1,"[]",0,0,0,0,0,0,0.01,0,14
14,0.1871,random,irregular12,9,5,1,"[]",0,0,0,0,0,0,0.01,0,15
15,0.196765,random,irregular12,8,7,1,"[]",0,0,0,0,0,0,0.01,0,16
16,0.20211,random,irregular12,6,2,1,"[]",0,0,0,0,0,0,0.01,0,17
17,0.221492,random,irregular12,6,5,1,"[]",0,0,0,0,0,0,0.01,0,18
18,0.225101,random,irregular12,1,0,1,"[]",0,0,0,0,0,0,0.01,0,19
19,0.236677,random,irregular12,4,9,1,"[]",0,0,0,0,0,0,0.01,0,20
20,0.243273,random,irregular12,6,4,1,"[]",0,0,0,0,0,0,0.01,0,21
21,0.264185,random,irregular12,1,3,1,"[]",0,0,0,0,0,0,0.01,0,22
22,0.265286,random,irregular12,1,5,1,"[]",0,0,0,0,0,0,0.01,0,23
23,0.281401,random,irregular12,9,2,1,"[]",0,0,0,0,0,0,0.01,0,24
24,0.290702,random,irregular12,8,3,1,"[]",0,0,0,0,0,0,0.01,0,25
25,0.298099,random,irregular12,11,9,1,"[]",0,0,0,0,0,0,0.01,0,26
26,0.313014,random,irregular12,11,8,1,"[]",0,0,0,0,0,0,0.01,0,27
27,0.331718,random,irregular12,0,1,1,"[]",0,0,0,0,0,0,0.01,0,28
28,0.331742,random,irregular12,11,1,1,"[]",0,0,0,0,0,0,0.01,0,29
29,0.340537,random,irregular12,10,8,1,"[]",0,0,0,0,0,0,0.01,0,30
30,0.34486,random,irregular12,11,1,1,"[]",0,0,0,0,0,0,0.01,0,31
31,0.348084,random,irregular12,0,2,1,"[]",0,0,0,0,0,0,0.01,0,32
32,0.355853,random,irregular12,7,11,1,"[]",0,0,0,0,0,0,0.01,0,33
33,0.356852,random,irregular12,1,10,1,"[]",0,0,0,0,0,0,0.01,0,34
34,0.366847,random,irregular12,3,7,1,"[]",0,0,0,0,0,0,0.01,0,35
35,0.372707,random,irregular12,6,10,1,"[]",0,0,0,0,0,0,0.01,0,36
36,0.39012,random,irregular12,5,9,1,"[]",0,0,0,0,0,0,0.01,0,37
37,0.394059,random,irregular12,7,9,1,"[]",0,0,0,0,0,0,0.01,0,38
38,0.408867,random,irregular12,3,8,1,"[]",0,0,0,0,0,0,0.01,0,39
39,0.41681,random,irregular12,6,3,1,"[]",0,0,0,0,0,0,0.01,0,40
40,0.419401,random,irregular12,7,8,1,"[]",0,0,0,0,0,0,0.01,0,41
41,0.41966,random,irregular12,10,7,1,"[]",0,0,0,0,0,0,0.01,0,42
42,0.422513,random,irregular12,11,7,1,"[]",0,0,0,0,0,0,0.01,0,43
43,0.429856,random,irregular12,7,6,1,"[]",0,0,0,0,0,0,0.01,0,44
44,0.431712,random,irregular12,9,8,1,"[]",0,0,0,0,0,0,0.01,0,45
45,0.434865,random,irregular12,0,4,1,"[]",0,0,0,0,0,0,0.01,0,46
46,0.443645,random,irregular12,3,10,1,"[]",0,0,0,0,0,0,0.01,0,47
47,0.449988,random,irregular12,11,6,1,"[]",0,0,0,0,0,0,0.01,0,48
48,0.468505,random,irregular12,5,1,1,"[]",0,0,0,0,0,0,0.01,0,49
49,0.471272,random,irregular12,0,1,1,"[]",0,0,0,0,0,0,0.01,0,50
50,0.476981,random,irregular12,11,2,1,"[]",0,0,0,0,0,0,0.01,0,51
51,0.479729,random,irregular12,4,5,1,"[]",0,0,0,0,0,0,0.01,0,52
52,0.526118,random,irregular12,11,3,0,"[11-8-9-5-6-7-3]",6,142,10.2141,0.901013,0,6,0.01,1,52
53,0.527461,random,irregular12,1,2,0,"[1-2]",1,30,1.73781,0.90558,0,1,0.01,2,52
54,0.529801,random,irregular12,1,7,1,"[]",0,0,0,0,0,0,0.01,2,53
55,0.535063,random,irregular12,10,8,1,"[]",0,0,0,0,0,0,0.01,2,54
56,0.5365,random,irregular12,2,7,1,"[]",0,0,0,0,0,0,0.01,2,55
57,0.537023,random,irregular12,0,1,1,"[]",0,0,0,0,0,0,0.01,2,56
58,0.542654,random,irregular12,3,9,1,"[]",0,0,0,0,0,0,0.01,2,57
59,0.545404,random,irregular12,4,10,1,"[]",0,0,0,0,0,0,0.01,2,58
60,0.545855,random,irregular12,2,4,1,"[]",0,0,0,0,0,0,0.01,2,59
61,0.550231,random,irregular12,5,3,1,"[]",0,0,0,0,0,0,0.01,2,60
62,0.552267,random,irregular12,11,1,1,"[]",0,0,0,0,0,0,0.01,2,61
63,0.563368,random,irregular12,6,5,1,"[]",0,0,0,0,0,0,0.01,2,62
64,0.570282,random,irregular12,0,1,1,"[]",0,0,0,0,0,0,0.01,2,63
65,0.575228,random,irregular12,3,5,1,"[]",0,0,0,0,0,0,0.01,2,64
66,0.590507,random,irregular12,9,2,1,"[]",0,0,0,0,0,0,0.01,2,65
67,0.630759,random,irregular12,7,0,1,"[]",0,0,0,0,0,0,0.01,2,66
68,0.632569,random,irregular12,7,2,1,"[]",0,0,0,0,0,0,0.01,2,67
69,0.645015,random,irregular12,5,0,1,"[]",0,0,0,0,0,0,0.01,2,68
70,0.688099,random,irregular12,2,1,1,"[]",0,0,0,0,0,0,0.01,2,69
71,0.692787,random,irregular12,3,1,1,"[]",0,0,0,0,0,0,0.01,2,70
72,0.704086,random,irregular12,4,6,1,"[]",0,0,0,0,0,0,0.01,2,71
73,0.710397,random,irregular12,7,6,1,"[]",0,0,0,0,0,0,0.01,2,72
74,0.71941,random,irregular12,2,10,1,"[]",0,0,0,0,0,0,0.01,2,73
75,0.726982,random,irregular12,10,9,1,"[]",0,0,0,0,0,0,0.01,2,74
76,0.749271,random,irregular12,7,9,1,"[]",0,0,0,0,0,0,0.01,2,75
77,0.774943,random,irregular12,7,8,1,"[]",0,0,0,0,0,0,0.01,2,76
78,0.779792,random,irregular12,1,4,1,"[]",0,0,0,0,0,0,0.01,2,77
