request_id,time_s,algorithm,topology,src,dst,blocked,path,hops,distance_km,composite_cost,bottleneck_fidelity,max_utilization,keys_consumed,decision_latency_ms,served_total,blocked_total
0,0.0140713,distance,mesh16,1,12,0,"[1-5-9-13-12]",4,91,6.88049,0.904331,0,4,0.02,1,0
1,0.0240873,distance,mesh16,11,1,1,"[]",0,0,0,0,0,0,0.02,1,1
2,0.0249791,distance,mesh16,4,5,1,"[]",0,0,0,0,0,0,0.02,1,2
3,0.0375302,distance,mesh16,9,4,1,"[]",0,0,0,0,0,0,0.02,1,3
4,0.0448944,distance,mesh16,2,7,1,"[]",0,0,0,0,0,0,0.02,1,4
5,0.0516942,distance,mesh16,13,0,1,"[]",0,0,0,0,0,0,0.02,1,5
6,0.0735895,distance,mesh16,4,15,1,"[]",0,0,0,0,0,0,0.02,1,6
7,0.103783,distance,mesh16,13,12,1,"[]",0,0,0,0,0,0,0.02,1,7
8,0.115247,distance,mesh16,3,11,1,"[]",0,0,0,0,0,0,0.02,1,8
9,0.122508,distance,mesh16,0,4,1,"[]",0,0,0,0,0,0,0.02,1,9
10,0.131819,distance,mesh16,3,8,1,"[]",0,0,0,0,0,0,0.02,1,10
11,0.13413,distance,mesh16,7,8,1,"[]",0,0,0,0,0,0,0.02,1,11
12,0.134553,distance,mesh16,9,11,1,"[]",0,0,0,0,0,0,0.02,1,12
13,0.160332,distance,mesh16,1,14,1,"[]",0,0,0,0,0,0,0.02,1,13
14,0.186666,distance,mesh16,0,12,1,"[]",0,0,0,0,0,0,0.02,1,14
15,0.221232,distance,mesh16,11,7,1,"[]",0,0,0,0,0,0,0.02,1,15
16,0.224401,distance,mesh16,8,4,1,"[]",0,0,0,0,0,0,0.02,1,16
17,0.226953,distance,mesh16,2,0,1,"[]",0,0,0,0,0,0,0.02,1,17
18,0.243476,distance,mesh16,7,13,1,"[]",0,0,0,0,0,0,0.02,1,18
19,0.249978,distance,mesh16,9,15,1,"[]",0,0,0,0,0,0,0.02,1,19
20,0.253358,distance,mesh16,15,11,1,"[]",0,0,0,0,0,0,0.02,1,20
21,0.262137,distance,mesh16,12,7,1,"[]",0,0,0,0,0,0,0.02,1,21
22,0.271454,distance,mesh16,1,12,1,"[]",0,0,0,0,0,0,0.02,1,22
23,0.289754,distance,mesh16,1,11,1,"[]",0,0,0,0,0,0,0.02,1,23
24,0.292795,distance,mesh16,14,15,1,"[]",0,0,0,0,0,0,0.02,1,24
25,0.3153,distance,mesh16,10,7,1,"[]",0,0,0,0,0,0,0.02,1,25
26,0.318435,distance,mesh16,4,1,1,"[]",0,0,0,0,0,0,0.02,1,26
27,0.327193,distance,mesh16,11,10,1,"[]",0,0,0,0,0,0,0.02,1,27
28,0.329908,distance,mesh16,9,14,1,"[]",0,0,0,0,0,0,0.02,1,28
29,0.34887,distance,mesh16,4,12,1,"[]",0,0,0,0,0,0,0.02,1,29
30,0.353877,distance,mesh16,8,4,1,"[]",0,0,0,0,0,0,0.02,1,30
31,0.363009,distance,mesh16,15,10,1,"[]",0,0,0,0,0,0,0.02,1,31
32,0.374243,distance,mesh16,7,14,1,"[]",0,0,0,0,0,0,0.02,1,32
33,0.396,distance,mesh16,2,10,1,"[]",0,0,0,0,0,0,0.02,1,33
34,0.397745,distance,mesh16,7,10,1,"[]",0,0,0,0,0,0,0.02,1,34
35,0.405533,distance,mesh16,6,0,1,"[]",0,0,0,0,0,0,0.02,1,35
36,0.407211,distance,mesh16,3,6,1,"[]",0,0,0,0,0,0,0.02,1,36
37,0.416079,distance,mesh16,13,3,1,"[]",0,0,0,0,0,0,0.02,1,37
38,0.420626,distance,mesh16,6,15,1,"[]",0,0,0,0,0,0,0.02,1,38
39,0.421525,distance,mesh16,7,15,1,"[]",0,0,0,0,0,0,0.02,1,39
40,0.430682,distance,mesh16,2,7,1,"[]",0,0,0,0,0,0,0.02,1,40
41,0.439409,distance,mesh16,8,2,1,"[]",0,0,0,0,0,0,0.02,1,41
42,0.445121,distance,mesh16,14,6,1,"[]",0,0,0,0,0,0,0.02,1,42
43,0.448474,distance,mesh16,8,12,1,"[]",0,0,0,0,0,0,0.02,1,43
44,0.453087,distance,mesh16,12,9,1,"[]",0,0,0,0,0,0,0.02,1,44
45,0.453725,distance,mesh16,3,10,1,"[]",0,0,0,0,0,0,0.02,1,45
46,0.473151,distance,mesh16,3,11,1,"[]",0,0,0,0,0,0,0.02,1,46
47,0.477564,distance,mesh16,8,6,1,"[]",0,0,0,0,0,0,0.02,1,47
48,0.483873,distance,mesh16,13,12,1,"[]",0,0,0,0,0,0,0.02,1,48
49,0.484309,distance,mesh16,4,10,1,"[]",0,0,0,0,0,0,0.02,1,49
50,0.519494,distance,mesh16,4,0,1,"[]",0,0,0,0,0,0,0.02,1,50
51,0.533673,distance,mesh16,4,14,1,"[]",0,0,0,0,0,0,0.02,1,51
52,0.577986,distance,mesh16,3,9,1,"[]",0,0,0,0,0,0,0.02,1,52
53,0.580347,distance,mesh16,13,0,1,"[]",0,0,0,0,0,0,0.02,1,53
54,0.593223,distance,mesh16,10,3,1,"[]",0,0,0,0,0,0,0.02,1,54
55,0.599142,distance,mesh16,3,1,1,"[]",0,0,0,0,0,0,0.02,1,55
56,0.612834,distance,mesh16,5,8,1,"[]",0,0,0,0,0,0,0.02,1,56
57,0.616505,distance,mesh16,9,1,1,"[]",0,0,0,0,0,0,0.02,1,57
58,0.645468,distance,mesh16,11,15,1,"[]",0,0,0,0,0,0,0.02,1,58
59,0.663848,distance,mesh16,2,4,1,"[]",0,0,0,0,0,0,0.02,1,59
60,0.665834,distance,mesh16,14,5,1,"[]",0,0,0,0,0,0,0.02,1,60
61,0.676581,distance,mesh16,4,12,1,"[]",0,0,0,0,0,0,0.02,1,61
62,0.696082,distance,mesh16,11,12,1,"[]",0,0,0,0,0,0,0.02,1,62
63,0.715709,distance,mesh16,5,12,1,"[]",0,0,0,0,0,0,0.02,1,63
64,0.726955,distance,mesh16,2,11,1,"[]",0,0,0,0,0,0,0.02,1,64
65,0.732613,distance,mesh16,10,6,1,"[]",0,0,0,0,0,0,0.02,1,65
66,0.732891,distance,mesh16,0,12,1,"[]",0,0,0,0,0,0,0.02,1,66
67,0.744902,distance,mesh16,14,9,1,"[]",0,0,0,0,0,0,0.02,1,67
68,0.753754,distance,mesh16,10,8,1,"[]",0,0,0,0,0,0,0.02,1,68
69,0.768073,distance,mesh16,0,1,1,"[]",0,0,0,0,0,0,0.02,1,69
