request_id,time_s,algorithm,topology,src,dst,blocked,path,hops,distance_km,composite_cost,bottleneck_fidelity,max_utilization,keys_consumed,decision_latency_ms,served_total,blocked_total
0,0.0703566,keyaware,mesh16,6,2,0,"[6-2]",1,22,1.61488,0.960385,0,1,0.05,1,0
1,0.0772721,keyaware,mesh16,10,5,1,"[]",0,0,0,0,0,0,0.05,1,1
2,0.0995007,keyaware,mesh16,14,12,1,"[]",0,0,0,0,0,0,0.05,1,2
3,0.108947,keyaware,mesh16,4,7,1,"[]",0,0,0,0,0,0,0.05,1,3
4,0.163893,keyaware,mesh16,11,14,1,"[]",0,0,0,0,0,0,0.05,1,4
5,0.187136,keyaware,mesh16,4,11,1,"[]",0,0,0,0,0,0,0.05,1,5
6,0.285132,keyaware,mesh16,0,2,0,"[0-1-2]",2,50,3.21468,0.972,0,2,0.05,2,5
7,0.389174,keyaware,mesh16,10,4,0,"[10-9-5-4]",3,72,4.80048,0.972,0,3,0.05,3,5
8,0.393914,keyaware,mesh16,7,6,1,"[]",0,0,0,0,0,0,0.05,3,6
9,0.428789,keyaware,mesh16,15,10,1,"[]",0,0,0,0,0,0,0.05,3,7
10,0.495365,keyaware,mesh16,0,1,1,"[]",0,0,0,0,0,0,0.05,3,8
11,0.554734,keyaware,mesh16,1,6,1,"[]",0,0,0,0,0,0,0.05,3,9
12,0.600647,keyaware,mesh16,13,5,1,"[]",0,0,0,0,0,0,0.05,3,10
13,0.622626,keyaware,mesh16,12,4,1,"[]",0,0,0,0,0,0,0.05,3,11
14,0.642166,keyaware,mesh16,15,12,1,"[]",0,0,0,0,0,0,0.05,3,12
15,0.65509,keyaware,mesh16,10,13,1,"[]",0,0,0,0,0,0,0.05,3,13
16,0.668319,keyaware,mesh16,7,11,1,"[]",0,0,0,0,0,0,0.05,3,14
17,0.706228,keyaware,mesh16,4,11,1,"[]",0,0,0,0,0,0,0.05,3,15
18,0.780768,keyaware,mesh16,11,3,0,"[11-7-3]",2,44,3.20781,0.955482,0,2,0.05,4,15
19,0.871244,keyaware,mesh16,11,3,0,"[11-7-3]",2,44,3.17167,0.978,0.00775194,2,0.05,5,15
20,0.883628,keyaware,mesh16,15,1,1,"[]",0,0,0,0,0,0,0.05,5,16
21,0.940701,keyaware,mesh16,9,5,1,"[]",0,0,0,0,0,0,0.05,5,17
22,0.985819,keyaware,mesh16,6,8,1,"[]",0,0,0,0,0,0,0.05,5,18
23,1.00049,keyaware,mesh16,5,6,1,"[]",0,0,0,0,0,0,0.05,5,19
24,1.02783,keyaware,mesh16,4,15,1,"[]",0,0,0,0,0,0,0.05,5,20
25,1.05737,keyaware,mesh16,9,1,1,"[]",0,0,0,0,0,0,0.05,5,21
26,1.10987,keyaware,mesh16,4,13,1,"[]",0,0,0,0,0,0,0.05,5,22
27,1.11502,keyaware,mesh16,8,11,1,"[]",0,0,0,0,0,0,0.05,5,23
28,1.13358,keyaware,mesh16,4,11,1,"[]",0,0,0,0,0,0,0.05,5,24
29,1.18707,keyaware,mesh16,9,10,1,"[]",0,0,0,0,0,0,0.05,5,25
30,1.23327,keyaware,mesh16,15,11,1,"[]",0,0,0,0,0,0,0.05,5,26
31,1.26297,keyaware,mesh16,2,11,1,"[]",0,0,0,0,0,0,0.05,5,27
32,1.30156,keyaware,mesh16,10,11,1,"[]",0,0,0,0,0,0,0.05,5,28
33,1.37195,keyaware,mesh16,9,11,1,"[]",0,0,0,0,0,0,0.05,5,29
34,1.47001,keyaware,mesh16,0,12,0,"[0-4-8-12]",3,66,4.75747,0.978,0,3,0.05,6,29
35,1.52324,keyaware,mesh16,6,12,1,"[]",0,0,0,0,0,0,0.05,6,30
36,1.70754,keyaware,mesh16,15,3,0,"[15-11-7-3]",3,66,4.75747,0.978,0.0153846,3,0.05,7,30
37,1.72201,keyaware,mesh16,6,12,1,"[]",0,0,0,0,0,0,0.05,7,31
38,1.72822,keyaware,mesh16,10,6,1,"[]",0,0,0,0,0,0,0.05,7,32
39,1.75202,keyaware,mesh16,5,10,1,"[]",0,0,0,0,0,0,0.05,7,33
40,1.77764,keyaware,mesh16,9,4,1,"[]",0,0,0,0,0,0,0.05,7,34
41,1.82574,keyaware,mesh16,8,1,1,"[]",0,0,0,0,0,0,0.05,7,35
42,1.84847,keyaware,mesh16,8,4,1,"[]",0,0,0,0,0,0,0.05,7,36
43,1.88707,keyaware,mesh16,5,12,1,"[]",0,0,0,0,0,0,0.05,7,37
44,1.88767,keyaware,mesh16,6,8,1,"[]",0,0,0,0,0,0,0.05,7,38
45,1.90266,keyaware,mesh16,14,3,1,"[]",0,0,0,0,0,0,0.05,7,39
46,1.99874,keyaware,mesh16,15,6,0,"[15-11-7-6]",3,69,4.77898,0.972,0.0229008,3,0.05,8,39
47,2.0188,keyaware,mesh16,9,14,1,"[]",0,0,0,0,0,0,0.05,8,40
48,2.11492,keyaware,mesh16,15,11,0,"[15-11]",1,22,1.58581,0.978,0.0153846,1,0.05,9,40
49,2.12485,keyaware,mesh16,12,10,1,"[]",0,0,0,0,0,0,0.05,9,41
50,2.20555,keyaware,mesh16,12,9,0,"[12-8-9]",2,47,3.23107,0.954414,0,2,0.05,10,41
51,2.20874,keyaware,mesh16,8,2,0,"[8-9-5-1-2]",4,94,6.78239,0.907671,0.00813008,4,0.05,11,41
52,2.24199,keyaware,mesh16,3,4,1,"[]",0,0,0,0,0,0,0.05,11,42
53,2.33431,keyaware,mesh16,7,8,0,"[7-6-10-9-8]",4,97,6.40785,0.972,0.00775194,4,0.05,12,42
54,2.43075,keyaware,mesh16,13,5,0,"[13-9-5]",2,44,3.17167,0.978,0.0153846,2,0.05,13,42
55,2.4597,keyaware,mesh16,9,10,1,"[]",0,0,0,0,0,0,0.05,13,43
56,2.46241,keyaware,mesh16,4,14,1,"[]",0,0,0,0,0,0,0.05,13,44
57,2.5467,keyaware,mesh16,15,9,0,"[15-14-10-9]",3,72,4.80048,0.972,0.0153846,3,0.05,14,44
58,2.72121,keyaware,mesh16,7,8,0,"[7-6-5-4-8]",4,97,6.40785,0.972,0.0153846,4,0.05,15,44
59,2.72985,keyaware,mesh16,6,4,1,"[]",0,0,0,0,0,0,0.05,15,45
60,2.74117,keyaware,mesh16,6,1,1,"[]",0,0,0,0,0,0,0.05,15,46
61,2.88409,keyaware,mesh16,14,11,0,"[14-10-11]",2,47,3.19317,0.972,0.00775194,2,0.05,16,46
62,2.9038,keyaware,mesh16,5,12,1,"[]",0,0,0,0,0,0,0.05,16,47
63,2.93563,keyaware,mesh16,14,15,1,"[]",0,0,0,0,0,0,0.05,16,48
64,2.99929,keyaware,mesh16,3,7,1,"[]",0,0,0,0,0,0,0.05,16,49
65,3.02754,keyaware,mesh16,1,5,1,"[]",0,0,0,0,0,0,0.05,16,50
66,3.09827,keyaware,mesh16,14,12,0,"[14-10-6-5-9-8-12]",6,138,9.77902,0.906606,0.0153846,6,0.05,17,50
67,3.20282,keyaware,mesh16,15,8,0,"[15-14-13-12-8]",4,97,6.40785,0.972,0.00775194,4,0.05,18,50
