request_id,time_s,algorithm,topology,src,dst,blocked,path,hops,distance_km,composite_cost,bottleneck_fidelity,max_utilization,keys_consumed,decision_latency_ms,served_total,blocked_total
0,0.467858,distance,irregular12,10,6,0,"[10-9-5-6]",3,82,4.84035,0.963,0,3,0.02,1,0
1,0.653101,distance,irregular12,10,8,0,"[10-11-8]",2,50,3.20758,0.969,0,2,0.02,2,0
2,1.2183,distance,irregular12,4,5,0,"[4-5]",1,20,1.57864,0.98,0,1,0.02,3,0
3,1.61025,distance,irregular12,11,0,0,"[11-8-4-0]",3,95,4.8838,0.964,0.00775194,3,0.02,4,0
4,1.68989,distance,irregular12,2,11,1,"[]",0,0,0,0,0,0,0.02,4,1
5,1.86679,distance,irregular12,5,8,0,"[5-9-8]",2,43,3.18237,0.973,0,2,0.02,5,1
6,1.94864,distance,irregular12,1,10,1,"[]",0,0,0,0,0,0,0.02,5,2
7,2.25164,distance,irregular12,2,7,0,"[2-3-7]",2,47,3.20772,0.965,0,2,0.02,6,2
8,2.37338,distance,irregular12,10,7,0,"[10-11-8-7]",3,72,4.80053,0.969,0.0153846,3,0.02,7,2
9,2.75106,distance,irregular12,5,1,0,"[5-1]",1,26,1.60018,0.974,0,1,0.02,8,2
10,3.27145,distance,irregular12,2,3,0,"[2-3]",1,28,1.63266,0.965,0.00775194,1,0.02,9,2
11,3.40038,distance,irregular12,4,1,0,"[4-5-1]",2,46,3.17882,0.974,0.00775194,2,0.02,10,2
12,3.62779,distance,irregular12,3,5,0,"[3-7-6-5]",3,70,4.78261,0.971,0.00775194,3,0.02,11,2
13,3.67803,distance,irregular12,5,3,1,"[]",0,0,0,0,0,0,0.02,11,3
14,3.78722,distance,irregular12,9,6,0,"[9-5-6]",2,49,3.20032,0.973,0.00775194,2,0.02,12,3
15,3.92341,distance,irregular12,7,6,0,"[7-6]",1,27,1.61098,0.971,0.00775194,1,0.02,13,3
16,4.13843,distance,irregular12,8,1,0,"[8-9-5-1]",3,69,4.78254,0.973,0.0153846,3,0.02,14,3
17,4.62488,distance,irregular12,9,8,0,"[9-8]",1,18,1.57861,0.98,0.00775194,1,0.02,15,3
18,4.66118,distance,irregular12,6,10,1,"[]",0,0,0,0,0,0,0.02,15,4
19,4.66219,distance,irregular12,10,9,1,"[]",0,0,0,0,0,0,0.02,15,5
20,4.73737,distance,irregular12,7,0,0,"[7-8-4-0]",3,88,5.01851,0.921058,0.015625,3,0.02,16,5
21,4.74845,distance,irregular12,10,11,1,"[]",0,0,0,0,0,0,0.02,16,6
22,4.78894,distance,irregular12,6,4,1,"[]",0,0,0,0,0,0,0.02,16,7
23,4.87358,distance,irregular12,0,11,0,"[0-1-5-9-8-11]",5,116,8.08539,0.909376,0.0153846,5,0.02,17,7
24,4.94011,distance,irregular12,9,6,1,"[]",0,0,0,0,0,0,0.02,17,8
25,5.05984,distance,irregular12,8,0,0,"[8-4-0]",2,66,3.35293,0.937156,0.0227273,2,0.02,18,8
26,5.14372,distance,irregular12,5,6,0,"[5-6]",1,24,1.59656,0.975,0.0153846,1,0.02,19,8
27,5.33324,distance,irregular12,8,10,0,"[8-11-10]",2,50,3.20758,0.969,0.00775194,2,0.02,20,8
28,5.4384,distance,irregular12,5,0,0,"[5-1-0]",2,44,3.18235,0.974,0.0229008,2,0.02,21,8
29,5.4553,distance,irregular12,10,11,1,"[]",0,0,0,0,0,0,0.02,21,9
30,5.53526,distance,irregular12,1,3,0,"[1-5-6-7-3]",4,96,6.38279,0.971,0.0229008,4,0.02,22,9
31,5.67889,distance,irregular12,5,11,0,"[5-9-8-11]",3,72,4.80059,0.969,0.0229008,3,0.02,23,9
32,5.70668,distance,irregular12,0,8,1,"[]",0,0,0,0,0,0,0.02,23,10
33,6.00078,distance,irregular12,9,10,0,"[9-10]",1,33,1.64003,0.963,0,1,0.02,24,10
34,6.03801,distance,irregular12,3,2,1,"[]",0,0,0,0,0,0,0.02,24,11
35,6.32489,distance,irregular12,7,2,0,"[7-3-2]",2,47,3.20772,0.965,0.00775194,2,0.02,25,11
36,6.66238,distance,irregular12,6,10,0,"[6-5-9-10]",3,82,4.84035,0.963,0.0229008,3,0.02,26,11
37,6.96078,distance,irregular12,3,2,0,"[3-2]",1,28,1.63266,0.965,0.00775194,1,0.02,27,11
38,7.11753,distance,irregular12,5,10,0,"[5-9-10]",2,58,3.27388,0.945557,0.030303,2,0.02,28,11
39,7.28403,distance,irregular12,7,8,0,"[7-8]",1,22,1.59295,0.976,0.00775194,1,0.02,29,11
40,7.39313,distance,irregular12,0,7,0,"[0-1-5-6-7]",4,95,6.3899,0.971,0.030303,4,0.02,30,11
41,7.63509,distance,irregular12,7,8,0,"[7-8]",1,22,1.59295,0.976,0.0153846,1,0.02,31,11
42,7.64374,distance,irregular12,7,8,1,"[]",0,0,0,0,0,0,0.02,31,12
43,7.82686,distance,irregular12,5,4,0,"[5-4]",1,20,1.57864,0.98,0,1,0.02,32,12
44,7.94547,distance,irregular12,6,4,0,"[6-5-4]",2,44,3.17521,0.975,0.0153846,2,0.02,33,12
45,8.02062,distance,irregular12,5,4,0,"[5-4]",1,20,1.57864,0.98,0.0153846,1,0.02,34,12
46,8.31838,distance,irregular12,4,10,0,"[4-5-9-10]",3,78,4.82242,0.963,0.037594,3,0.02,35,12
47,8.32782,distance,irregular12,8,3,1,"[]",0,0,0,0,0,0,0.02,35,13
48,8.54696,distance,irregular12,4,10,0,"[4-5-9-10]",3,78,4.82242,0.963,0.0447761,3,0.02,36,13
49,9.05304,distance,irregular12,3,7,0,"[3-7]",1,19,1.57506,0.981,0.0153846,1,0.02,37,13
50,9.11586,distance,irregular12,5,6,0,"[5-6]",1,24,1.71701,0.904209,0.037594,1,0.02,38,13
51,9.90751,distance,irregular12,11,3,0,"[11-8-7-3]",3,70,4.78624,0.969,0.0229008,3,0.02,39,13
52,10.6778,distance,irregular12,8,11,0,"[8-11]",1,29,1.61822,0.969,0.0229008,1,0.02,40,13
53,10.7656,distance,irregular12,10,11,0,"[10-11]",1,21,1.58936,0.977,0.0153846,1,0.02,41,13
54,11.1759,distance,irregular12,9,1,0,"[9-5-1]",2,51,3.20393,0.973,0.030303,2,0.02,42,13
55,11.2194,distance,irregular12,1,4,1,"[]",0,0,0,0,0,0,0.02,42,14
56,11.2735,distance,irregular12,9,11,1,"[]",0,0,0,0,0,0,0.02,42,15
57,11.7571,distance,irregular12,1,2,0,"[1-2]",1,30,1.62186,0.968,0,1,0.02,43,15
58,12.0172,distance,irregular12,0,10,0,"[0-1-5-9-10]",4,102,6.42613,0.963,0.0518519,4,0.02,44,15
59,12.7013,distance,irregular12,2,0,0,"[2-1-0]",2,48,3.20404,0.968,0.00775194,2,0.02,45,15
60,13.0376,distance,irregular12,8,11,0,"[8-11]",1,29,1.61822,0.969,0.030303,1,0.02,46,15
61,13.1574,distance,irregular12,10,2,0,"[10-9-5-6-2]",4,114,6.64078,0.914196,0.0447761,4,0.02,47,15
62,13.2614,distance,irregular12,2,11,1,"[]",0,0,0,0,0,0,0.02,47,16
63,13.4506,distance,irregular12,1,9,0,"[1-5-9]",2,51,3.20393,0.973,0.0588235,2,0.02,48,16
64,13.6038,distance,irregular12,5,8,0,"[5-9-8]",2,43,3.18237,0.973,0.0656934,2,0.02,49,16
65,14.071,distance,irregular12,7,3,0,"[7-3]",1,19,1.57506,0.981,0.0229008,1,0.02,50,16
66,14.3178,distance,irregular12,4,5,0,"[4-5]",1,20,1.57864,0.98,0.030303,1,0.02,51,16
67,14.3942,distance,irregular12,7,3,0,"[7-3]",1,19,1.57506,0.981,0.030303,1,0.02,52,16
68,14.8325,distance,irregular12,5,6,0,"[5-6]",1,24,1.59656,0.975,0.0518519,1,0.02,53,16
69,15.319,distance,irregular12,5,6,0,"[5-6]",1,24,1.59656,0.975,0.0588235,1,0.02,54,16
70,15.7435,distance,irregular12,7,3,0,"[7-3]",1,19,1.57506,0.981,0.037594,1,0.02,55,16
71,15.7473,distance,irregular12,7,1,0,"[7-6-5-1]",3,77,5.11962,0.902104,0.0390625,3,0.02,56,16
