request_id,time_s,algorithm,topology,src,dst,blocked,path,hops,distance_km,composite_cost,bottleneck_fidelity,max_utilization,keys_consumed,decision_latency_ms,served_total,blocked_total
0,0.00547052,keyaware,irregular12,7,0,0,"[7-6-5-1-0]",4,95,6.84774,0.906308,0,4,0.05,1,0
1,0.0303057,keyaware,irregular12,0,6,1,"[]",0,0,0,0,0,0,0.05,1,1
2,0.0622751,keyaware,irregular12,7,5,1,"[]",0,0,0,0,0,0,0.05,1,2
3,0.108684,keyaware,irregular12,2,9,1,"[]",0,0,0,0,0,0,0.05,1,3
4,0.13117,keyaware,irregular12,9,0,1,"[]",0,0,0,0,0,0,0.05,1,4
5,0.133703,keyaware,irregular12,10,4,1,"[]",0,0,0,0,0,0,0.05,1,5
6,0.171455,keyaware,irregular12,2,0,1,"[]",0,0,0,0,0,0,0.05,1,6
7,0.196132,keyaware,irregular12,6,9,1,"[]",0,0,0,0,0,0,0.05,1,7
8,0.266404,keyaware,irregular12,3,2,1,"[]",0,0,0,0,0,0,0.05,1,8
9,0.368497,keyaware,irregular12,11,4,0,"[11-10-9-5-4]",4,99,6.47826,0.925065,0,4,0.05,2,8
10,0.502161,keyaware,irregular12,11,8,0,"[11-8]",1,29,1.61822,0.969,0,1,0.05,3,8
11,0.599734,keyaware,irregular12,6,4,0,"[6-5-4]",2,44,3.17521,0.975,0.00775194,2,0.05,4,8
12,0.651866,keyaware,irregular12,3,1,1,"[]",0,0,0,0,0,0,0.05,4,9
13,0.669396,keyaware,irregular12,1,0,1,"[]",0,0,0,0,0,0,0.05,4,10
14,0.76385,keyaware,irregular12,8,6,0,"[8-7-6]",2,49,3.21486,0.964179,0.00775194,2,0.05,5,10
15,0.88643,keyaware,irregular12,7,2,0,"[7-3-2]",2,47,3.20772,0.965,0,2,0.05,6,10
16,0.890957,keyaware,irregular12,0,5,0,"[0-1-5]",2,44,3.40806,0.904857,0,2,0.05,7,10
17,0.916035,keyaware,irregular12,1,11,1,"[]",0,0,0,0,0,0,0.05,7,11
18,1.08588,keyaware,irregular12,8,5,0,"[8-9-5]",2,43,3.18237,0.973,0.00775194,2,0.05,8,11
19,1.09678,keyaware,irregular12,0,8,1,"[]",0,0,0,0,0,0,0.05,8,12
20,1.10314,keyaware,irregular12,9,6,1,"[]",0,0,0,0,0,0,0.05,8,13
21,1.18725,keyaware,irregular12,1,6,0,"[1-5-6]",2,50,3.19674,0.974,0.00775194,2,0.05,9,13
22,1.2016,keyaware,irregular12,9,5,1,"[]",0,0,0,0,0,0,0.05,9,14
23,1.23009,keyaware,irregular12,1,4,1,"[]",0,0,0,0,0,0,0.05,9,15
24,1.23847,keyaware,irregular12,2,0,1,"[]",0,0,0,0,0,0,0.05,9,16
25,1.33506,keyaware,irregular12,5,2,0,"[5-6-2]",2,56,3.24434,0.95634,0.00775194,2,0.05,10,16
26,1.36769,keyaware,irregular12,4,1,1,"[]",0,0,0,0,0,0,0.05,10,17
27,1.37777,keyaware,irregular12,9,3,1,"[]",0,0,0,0,0,0,0.05,10,18
28,1.37901,keyaware,irregular12,8,9,1,"[]",0,0,0,0,0,0,0.05,10,19
29,1.48617,keyaware,irregular12,9,11,0,"[9-8-11]",2,47,3.19684,0.969,0,2,0.05,11,19
30,1.49446,keyaware,irregular12,3,7,1,"[]",0,0,0,0,0,0,0.05,11,20
31,1.60038,keyaware,irregular12,1,8,0,"[1-5-9-8]",3,69,4.78254,0.973,0.0153846,3,0.05,12,20
32,1.62587,keyaware,irregular12,8,7,1,"[]",0,0,0,0,0,0,0.05,12,21
33,1.73429,keyaware,irregular12,10,6,0,"[10-9-5-6]",3,82,4.87904,0.941755,0.0153846,3,0.05,13,21
34,1.7495,keyaware,irregular12,2,11,1,"[]",0,0,0,0,0,0,0.05,13,22
35,1.77044,keyaware,irregular12,5,10,1,"[]",0,0,0,0,0,0,0.05,13,23
36,1.82063,keyaware,irregular12,4,3,1,"[]",0,0,0,0,0,0,0.05,13,24
37,1.84229,keyaware,irregular12,4,8,1,"[]",0,0,0,0,0,0,0.05,13,25
38,1.84629,keyaware,irregular12,6,7,1,"[]",0,0,0,0,0,0,0.05,13,26
39,1.84824,keyaware,irregular12,5,10,1,"[]",0,0,0,0,0,0,0.05,13,27
40,1.92167,keyaware,irregular12,10,9,0,"[10-9]",1,33,1.6632,0.951802,0.0246914,1,0.05,14,27
41,1.97244,keyaware,irregular12,7,6,1,"[]",0,0,0,0,0,0,0.05,14,28
42,2.09101,keyaware,irregular12,3,8,0,"[3-7-8]",2,41,3.16802,0.976,0,2,0.05,15,28
43,2.09843,keyaware,irregular12,1,6,1,"[]",0,0,0,0,0,0,0.05,15,29
44,2.21606,keyaware,irregular12,2,0,0,"[2-6-5-1-0]",4,100,6.48175,0.92231,0.0153846,4,0.05,16,29
45,2.23453,keyaware,irregular12,3,0,1,"[]",0,0,0,0,0,0,0.05,16,30
46,2.27929,keyaware,irregular12,4,8,1,"[]",0,0,0,0,0,0,0.05,16,31
47,2.27965,keyaware,irregular12,2,1,1,"[]",0,0,0,0,0,0,0.05,16,32
48,2.40033,keyaware,irregular12,11,9,0,"[11-8-9]",2,47,3.19684,0.969,0.00775194,2,0.05,17,32
49,2.4888,keyaware,irregular12,3,8,0,"[3-7-8]",2,41,3.16802,0.976,0.00775194,2,0.05,18,32
50,2.51653,keyaware,irregular12,0,5,1,"[]",0,0,0,0,0,0,0.05,18,33
51,2.6687,keyaware,irregular12,6,0,0,"[6-5-1-0]",3,68,4.77892,0.974,0.0229008,3,0.05,19,33
52,2.71079,keyaware,irregular12,0,10,1,"[]",0,0,0,0,0,0,0.05,19,34
53,2.82572,keyaware,irregular12,8,2,0,"[8-7-3-2]",3,69,4.81244,0.957753,0.00775194,3,0.05,20,34
54,2.87118,keyaware,irregular12,0,2,1,"[]",0,0,0,0,0,0,0.05,20,35
55,2.89326,keyaware,irregular12,7,11,1,"[]",0,0,0,0,0,0,0.05,20,36
56,2.89873,keyaware,irregular12,4,5,1,"[]",0,0,0,0,0,0,0.05,20,37
57,3.05188,keyaware,irregular12,4,6,0,"[4-5-6]",2,44,3.17521,0.975,0.0229008,2,0.05,21,37
58,3.05369,keyaware,irregular12,0,9,0,"[0-1-5-9]",3,69,4.93637,0.939779,0.0229008,3,0.05,22,37
59,3.07808,keyaware,irregular12,8,11,1,"[]",0,0,0,0,0,0,0.05,22,38
60,3.11257,keyaware,irregular12,9,10,1,"[]",0,0,0,0,0,0,0.05,22,39
61,3.14226,keyaware,irregular12,9,0,1,"[]",0,0,0,0,0,0,0.05,22,40
62,3.22576,keyaware,irregular12,11,1,0,"[11-10-9-5-1]",4,105,6.62825,0.916122,0.0441176,4,0.05,23,40
63,3.23488,keyaware,irregular12,4,10,1,"[]",0,0,0,0,0,0,0.05,23,41
64,3.24633,keyaware,irregular12,2,1,1,"[]",0,0,0,0,0,0,0.05,23,42
65,3.25455,keyaware,irregular12,3,0,1,"[]",0,0,0,0,0,0,0.05,23,43
66,3.40262,keyaware,irregular12,1,3,0,"[1-2-3]",2,58,3.25452,0.965,0,2,0.05,24,43
67,3.55049,keyaware,irregular12,7,8,0,"[7-8]",1,22,1.59295,0.976,0.0153846,1,0.05,25,43
68,3.55457,keyaware,irregular12,4,9,0,"[4-5-9]",2,45,3.39045,0.900659,0.0163934,2,0.05,26,43
69,3.60225,keyaware,irregular12,3,6,1,"[]",0,0,0,0,0,0,0.05,26,44
70,3.63754,keyaware,irregular12,6,9,1,"[]",0,0,0,0,0,0,0.05,26,45
71,3.67775,keyaware,irregular12,6,3,1,"[]",0,0,0,0,0,0,0.05,26,46
72,3.68757,keyaware,irregular12,11,6,1,"[]",0,0,0,0,0,0,0.05,26,47
73,3.82056,keyaware,irregular12,0,9,0,"[0-1-5-9]",3,69,4.7861,0.973,0.030303,3,0.05,27,47
74,3.85551,keyaware,irregular12,4,3,1,"[]",0,0,0,0,0,0,0.05,27,48
75,3.95111,keyaware,irregular12,11,10,0,"[11-10]",1,21,1.58936,0.977,0.0153846,1,0.05,28,48
76,3.99456,keyaware,irregular12,6,2,1,"[]",0,0,0,0,0,0,0.05,28,49
77,4.10239,keyaware,irregular12,10,4,0,"[10-9-5-4]",3,78,4.83754,0.954521,0.0350877,3,0.05,29,49
78,4.11785,keyaware,irregular12,11,3,1,"[]",0,0,0,0,0,0,0.05,29,50
79,4.15123,keyaware,irregular12,6,11,1,"[]",0,0,0,0,0,0,0.05,29,51
80,4.1942,keyaware,irregular12,7,9,1,"[]",0,0,0,0,0,0,0.05,29,52
81,4.26818,keyaware,irregular12,1,5,0,"[1-5]",1,26,1.72421,0.901404,0.037594,1,0.05,30,52
82,4.30433,keyaware,irregular12,9,8,1,"[]",0,0,0,0,0,0,0.05,30,53
83,4.31838,keyaware,irregular12,0,4,1,"[]",0,0,0,0,0,0,0.05,30,54
84,4.34242,keyaware,irregular12,11,0,1,"[]",0,0,0,0,0,0,0.05,30,55
85,4.35234,keyaware,irregular12,2,6,1,"[]",0,0,0,0,0,0,0.05,30,56
86,4.36439,keyaware,irregular12,6,11,1,"[]",0,0,0,0,0,0,0.05,30,57
87,4.45059,keyaware,irregular12,1,7,0,"[1-5-6-7]",3,77,4.93723,0.931548,0.0447761,3,0.05,31,57
88,4.52794,keyaware,irregular12,8,9,0,"[8-9]",1,18,1.57861,0.98,0.0153846,1,0.05,32,57
89,4.53203,keyaware,irregular12,0,11,1,"[]",0,0,0,0,0,0,0.05,32,58
90,4.57062,keyaware,irregular12,5,3,1,"[]",0,0,0,0,0,0,0.05,32,59
91,4.61251,keyaware,irregular12,9,7,1,"[]",0,0,0,0,0,0,0.05,32,60
92,4.68757,keyaware,irregular12,7,6,0,"[7-6]",1,27,1.61098,0.971,0.0153846,1,0.05,33,60
93,4.69167,keyaware,irregular12,0,6,1,"[]",0,0,0,0,0,0,0.05,33,61
94,4.79827,keyaware,irregular12,5,7,0,"[5-6-7]",2,51,3.20754,0.971,0.037594,2,0.05,34,61
95,4.82927,keyaware,irregular12,10,8,1,"[]",0,0,0,0,0,0,0.05,34,62
96,4.83577,keyaware,irregular12,0,11,1,"[]",0,0,0,0,0,0,0.05,34,63
97,4.88442,keyaware,irregular12,5,1,1,"[]",0,0,0,0,0,0,0.05,34,64
98,4.95719,keyaware,irregular12,3,2,1,"[]",0,0,0,0,0,0,0.05,34,65
99,4.97422,keyaware,irregular12,8,1,1,"[]",0,0,0,0,0,0,0.05,34,66
100,4.98959,keyaware,irregular12,2,4,1,"[]",0,0,0,0,0,0,0.05,34,67
