request_id,time_s,algorithm,topology,src,dst,blocked,path,hops,distance_km,composite_cost,bottleneck_fidelity,max_utilization,keys_consumed,decision_latency_ms,served_total,blocked_total
0,0.265141,random,irregular12,9,1,0,"[9-5-4-8-7-6-2-1]",7,187,11.2664,0.966,0,7,0.01,1,0
1,0.588143,random,irregular12,5,8,0,"[5-4-0-1-2-6-7-8]",7,184,11.2522,0.964,0.00775194,7,0.01,2,0
2,1.30229,random,irregular12,0,3,0,"[0-4-8-7-6-2-3]",6,175,9.73132,0.964,0.00775194,6,0.01,3,0
3,1.63359,random,irregular12,8,4,0,"[8-9-5-4]",3,63,4.76101,0.973,0.0153846,3,0.01,4,0
4,1.63891,random,irregular12,3,6,1,"[]",0,0,0,0,0,0,0.01,4,1
5,1.75891,random,irregular12,5,4,0,"[5-6-2-3-7-8-4]",6,156,9.7516,0.910189,0.017094,6,0.01,5,1
6,1.82536,random,irregular12,10,9,1,"[]",0,0,0,0,0,0,0.01,5,2
7,2.01238,random,irregular12,6,3,0,"[6-2-1-0-4-8-7-3]",7,187,11.2668,0.964,0.0229008,7,0.01,6,2
8,2.25029,random,irregular12,4,11,0,"[4-0-1-2-3-7-8-11]",7,181,11.2594,0.964,0.0153846,7,0.01,7,2
9,2.44069,random,irregular12,10,0,0,"[10-9-8-7-6-5-1-0]",7,168,11.2015,0.963,0.0229008,7,0.01,8,2
10,2.50684,random,irregular12,4,3,1,"[]",0,0,0,0,0,0,0.01,8,3
11,2.68498,random,irregular12,2,9,0,"[2-1-5-9]",3,81,4.82579,0.968,0.0153846,3,0.01,9,3
12,2.95752,random,irregular12,6,7,0,"[6-5-4-0-1-2-3-7]",7,174,11.2234,0.964,0.0229008,7,0.01,10,3
13,2.97631,random,irregular12,8,9,1,"[]",0,0,0,0,0,0,0.01,10,4
14,3.15099,random,irregular12,3,5,0,"[3-7-8-4-5]",4,92,6.37576,0.966,0.0229008,4,0.01,11,4
15,3.20799,random,irregular12,5,7,1,"[]",0,0,0,0,0,0,0.01,11,5
16,3.38145,random,irregular12,4,1,0,"[4-8-7-6-2-1]",5,142,8.08405,0.966,0.030303,5,0.01,12,5
17,3.46192,random,irregular12,1,5,0,"[1-5]",1,26,1.60018,0.974,0.00775194,1,0.01,13,5
18,3.53307,random,irregular12,6,1,1,"[]",0,0,0,0,0,0,0.01,13,6
19,3.71803,random,irregular12,8,2,0,"[8-4-5-6-2]",4,107,6.43346,0.966,0.037594,4,0.01,14,6
