request_id,time_s,algorithm,topology,src,dst,blocked,path,hops,distance_km,composite_cost,bottleneck_fidelity,max_utilization,keys_consumed,decision_latency_ms,served_total,blocked_total
0,0.0238726,distance,mesh16,8,11,0,"[8-9-10-11]",3,75,5.16802,0.903401,0,3,0.02,1,0
1,0.0604185,distance,mesh16,9,1,1,"[]",0,0,0,0,0,0,0.02,1,1
2,0.0616009,distance,mesh16,15,12,1,"[]",0,0,0,0,0,0,0.02,1,2
3,0.402183,distance,mesh16,6,7,0,"[6-7]",1,25,1.60737,0.972,0,1,0.02,2,2
4,0.463709,distance,mesh16,11,2,1,"[]",0,0,0,0,0,0,0.02,2,3
5,0.541734,distance,mesh16,6,7,0,"[6-7]",1,25,1.68281,0.926701,0.00775194,1,0.02,3,3
6,0.550256,distance,mesh16,15,3,1,"[]",0,0,0,0,0,0,0.02,3,4
7,0.633257,distance,mesh16,8,2,0,"[8-4-0-1-2]",4,94,6.4079,0.958615,0,4,0.02,4,4
8,0.664073,distance,mesh16,5,9,1,"[]",0,0,0,0,0,0,0.02,4,5
9,0.666379,distance,mesh16,4,10,1,"[]",0,0,0,0,0,0,0.02,4,6
10,0.673852,distance,mesh16,14,5,1,"[]",0,0,0,0,0,0,0.02,4,7
11,0.690062,distance,mesh16,6,3,1,"[]",0,0,0,0,0,0,0.02,4,8
12,0.699634,distance,mesh16,9,4,1,"[]",0,0,0,0,0,0,0.02,4,9
13,0.757245,distance,mesh16,4,0,1,"[]",0,0,0,0,0,0,0.02,4,10
14,0.760619,distance,mesh16,14,8,1,"[]",0,0,0,0,0,0,0.02,4,11
15,0.775881,distance,mesh16,1,12,1,"[]",0,0,0,0,0,0,0.02,4,12
16,0.822466,distance,mesh16,6,2,1,"[]",0,0,0,0,0,0,0.02,4,13
17,0.922987,distance,mesh16,7,12,0,"[7-11-15-14-13-12]",5,119,8.09094,0.914539,0,5,0.02,5,13
18,1.00326,distance,mesh16,10,11,0,"[10-11]",1,25,1.60731,0.972,0.00775194,1,0.02,6,13
19,1.01564,distance,mesh16,1,15,1,"[]",0,0,0,0,0,0,0.02,6,14
20,1.10314,distance,mesh16,5,7,0,"[5-6-7]",2,50,3.21468,0.972,0.0153846,2,0.02,7,14
21,1.18282,distance,mesh16,12,5,0,"[12-8-4-5]",3,69,4.79931,0.959398,0.00775194,3,0.02,8,14
22,1.1982,distance,mesh16,12,0,1,"[]",0,0,0,0,0,0,0.02,8,15
23,1.2915,distance,mesh16,1,12,0,"[1-5-9-13-12]",4,91,6.36484,0.972,0.00775194,4,0.02,9,15
24,1.32777,distance,mesh16,13,6,1,"[]",0,0,0,0,0,0,0.02,9,16
25,1.35474,distance,mesh16,9,4,1,"[]",0,0,0,0,0,0,0.02,9,17
26,1.36074,distance,mesh16,13,1,1,"[]",0,0,0,0,0,0,0.02,9,18
27,1.45681,distance,mesh16,5,9,0,"[5-9]",1,22,1.58581,0.978,0.00775194,1,0.02,10,18
28,1.55344,distance,mesh16,7,8,0,"[7-11-10-9-8]",4,97,6.51004,0.911639,0.00775194,4,0.02,11,18
29,1.69377,distance,mesh16,8,3,0,"[8-4-0-1-2-3]",5,119,7.99366,0.972,0.0153846,5,0.02,12,18
30,1.72413,distance,mesh16,6,3,1,"[]",0,0,0,0,0,0,0.02,12,19
