request_id,time_s,algorithm,topology,src,dst,blocked,path,hops,distance_km,composite_cost,bottleneck_fidelity,max_utilization,keys_consumed,decision_latency_ms,served_total,blocked_total
0,0.264023,random,mesh9,7,5,0,"[7-8-5]",2,42,3.21103,0.97,0,2,0.01,1,0
1,0.357243,random,mesh9,4,6,0,"[4-1-0-3-6]",4,82,6.4041,0.97,0,4,0.01,2,0
2,0.899186,random,mesh9,5,8,0,"[5-4-7-8]",3,64,4.82552,0.97,0.00775194,3,0.01,3,0
3,1.37557,random,mesh9,0,2,0,"[0-3-4-5-2]",4,84,6.42205,0.97,0.00775194,4,0.01,4,0
4,1.48676,random,mesh9,4,7,0,"[4-3-0-1-2-5-8-7]",7,148,11.2476,0.97,0,7,0.01,5,0
5,1.50356,random,mesh9,0,7,1,"[]",0,0,0,0,0,0,0.01,5,1
6,1.56348,random,mesh9,8,0,1,"[]",0,0,0,0,0,0,0.01,5,2
7,1.60092,random,mesh9,7,4,1,"[]",0,0,0,0,0,0,0.01,5,3
8,1.64375,random,mesh9,8,6,1,"[]",0,0,0,0,0,0,0.01,5,4
9,1.71864,random,mesh9,8,4,0,"[8-5-4]",2,42,3.21103,0.97,0.00775194,2,0.01,6,4
10,1.82007,random,mesh9,6,4,0,"[6-3-0-1-2-5-4]",6,126,9.63308,0.97,0.0153846,6,0.01,7,4
11,2.15847,random,mesh9,2,3,0,"[2-5-4-3]",3,64,4.82552,0.97,0.0229008,3,0.01,8,4
12,2.37414,random,mesh9,3,6,0,"[3-0-1-2-5-4-7-6]",7,148,11.2476,0.97,0.030303,7,0.01,9,4
13,2.47845,random,mesh9,1,0,0,"[1-2-5-4-3-0]",5,106,8.03654,0.97,0.037594,5,0.01,10,4
14,3.079,random,mesh9,7,1,0,"[7-8-5-2-1]",4,84,6.42205,0.97,0.0153846,4,0.01,11,4
15,3.33792,random,mesh9,5,0,0,"[5-8-7-4-1-0]",5,104,8.01859,0.97,0.00775194,5,0.01,12,4
16,3.54294,random,mesh9,6,2,0,"[6-3-0-1-4-5-2]",6,124,9.61513,0.97,0.030303,6,0.01,13,4
