request_id,time_s,algorithm,topology,src,dst,blocked,path,hops,distance_km,composite_cost,bottleneck_fidelity,max_utilization,keys_consumed,decision_latency_ms,served_total,blocked_total
0,0.0703566,keyaware,ring6,0,3,0,"[0-5-4-3]",3,75,4.87518,0.960289,0,3,0.05,1,0
1,0.104199,keyaware,ring6,0,3,0,"[0-5-4-3]",3,75,5.04278,0.92319,0.00775194,3,0.05,2,0
2,0.107594,keyaware,ring6,0,3,0,"[0-5-4-3]",3,75,5.06486,0.919845,0.0153846,3,0.05,3,0
3,0.163736,keyaware,ring6,0,3,0,"[0-1-2-3]",3,75,5.02936,0.925151,0,3,0.05,4,0
4,0.176841,keyaware,ring6,0,3,0,"[0-1-2-3]",3,75,5.10238,0.912941,0.00775194,3,0.05,5,0
5,0.200854,keyaware,ring6,0,3,0,"[0-1-2-3]",3,75,5.1733,0.90134,0.0153846,3,0.05,6,0
6,0.222511,keyaware,ring6,0,3,1,"[]",0,0,0,0,0,0,0.05,6,1
7,0.329082,keyaware,ring6,0,3,0,"[0-1-2-3]",3,75,4.84356,0.97,0.0229008,3,0.05,7,1
8,0.387052,keyaware,ring6,0,3,0,"[0-1-2-3]",3,75,4.97424,0.937646,0.030303,3,0.05,8,1
9,0.444975,keyaware,ring6,0,3,0,"[0-5-4-3]",3,75,5.06835,0.906079,0.0229008,3,0.05,9,1
10,0.531742,keyaware,ring6,0,3,0,"[0-1-2-3]",3,75,4.86026,0.961095,0.037594,3,0.05,10,1
11,0.542582,keyaware,ring6,0,3,0,"[0-1-2-3]",3,75,4.94615,0.944172,0.0447761,3,0.05,11,1
12,0.563332,keyaware,ring6,0,3,0,"[0-1-2-3]",3,75,5.0539,0.923849,0.0518519,3,0.05,12,1
13,0.597455,keyaware,ring6,0,3,0,"[0-1-2-3]",3,75,5.16403,0.9026,0.0588235,3,0.05,13,1
14,0.612813,keyaware,ring6,0,3,1,"[]",0,0,0,0,0,0,0.05,13,2
15,0.628346,keyaware,ring6,0,3,1,"[]",0,0,0,0,0,0,0.05,13,3
