topology,algorithm,rate,blocking_probability,blocking_ci95,mean_bottleneck_fidelity,fidelity_ci95,mean_max_utilization,util_ci95,mean_decision_latency_ms,latency_ci95,mean_hops,mean_distance_km,total_runs
mesh9,distance,20,0.6854999999999999,1.5386906095100995e-16,0.9611304467408583,0.0,0.05491118280499999,9.616816309438122e-18,0.02,0.0,0.646,13.533,3
mesh9,keyaware,20,0.6854999999999999,1.5386906095100995e-16,0.9623755405405405,0.0,0.05506419265499999,9.616816309438122e-18,0.05000000000000001,9.616816309438122e-18,0.646,13.533,3
mesh9,random,20,0.69,0.0,0.9587423338709677,0.0,0.09562722264,0.0,0.01,0.0,1.3500000000000003,28.321,3
mesh9,ga_tcheby_proxy,20,0.682,0.0,0.9610911776729557,1.5386906095100995e-16,0.05518700188,0.0,0.5,0.0,0.658,13.796,3
mesh9,distance,50,0.9380000000000001,1.5386906095100995e-16,0.9488161612903226,1.5386906095100995e-16,0.0027669056900000003,0.0,0.02,0.0,0.1195,2.505,3
mesh9,keyaware,50,0.9380000000000001,1.5386906095100995e-16,0.9507034838709677,0.0,0.00287674165,0.0,0.05000000000000001,9.616816309438122e-18,0.1195,2.505,3
mesh9,random,50,0.939,0.0,0.9419426967213115,1.5386906095100995e-16,0.005288363809999999,1.2021020386797653e-18,0.01,0.0,0.239,5.005,3
mesh9,ga_tcheby_proxy,50,0.949,0.0,0.9499162549019605,1.5386906095100995e-16,0.001959543515,0.0,0.5,0.0,0.111,2.329,3
mesh9,distance,100,0.9914999999999999,1.5386906095100995e-16,0.9276347647058824,0.0,5.128368999999999e-05,9.391422177185666e-21,0.02,0.0,0.0135,0.285,3
mesh9,keyaware,100,0.9914999999999999,1.5386906095100995e-16,0.9283611176470589,0.0,6.2955665e-05,0.0,0.05000000000000001,9.616816309438122e-18,0.0135,0.285,3
mesh9,random,100,0.9935,0.0,0.9237804615384615,0.0,6.939813e-05,0.0,0.01,0.0,0.018,0.37600000000000006,3
