topology,algorithm,rate,seed,blocking_probability,mean_bottleneck_fidelity,mean_distance_km,mean_hops,mean_max_utilization,mean_decision_latency_ms,requests,served,blocked
irregular12,distance,20,1,0.719,0.9525693896797152,15.901,0.6535,0.04757304078,0.02,2000,562,1438
irregular12,distance,20,2,0.719,0.9525693896797152,15.901,0.6535,0.04757304078,0.02,2000,562,1438
irregular12,distance,20,3,0.719,0.9525693896797152,15.901,0.6535,0.04757304078,0.02,2000,562,1438
irregular12,distance,50,1,0.9335,0.9376753984962406,3.7835,0.154,0.00323218888,0.02,2000,133,1867
irregular12,distance,50,2,0.9335,0.9376753984962406,3.7835,0.154,0.00323218888,0.02,2000,133,1867
irregular12,distance,50,3,0.9335,0.9376753984962406,3.7835,0.154,0.00323218888,0.02,2000,133,1867
irregular12,distance,100,1,0.9895,0.9218810476190474,0.659,0.026,0.000149892125,0.02,2000,21,1979
irregular12,distance,100,2,0.9895,0.9218810476190474,0.659,0.026,0.000149892125,0.02,2000,21,1979
irregular12,distance,100,3,0.9895,0.9218810476190474,0.659,0.026,0.000149892125,0.02,2000,21,1979
irregular12,ga_tcheby_proxy,20,1,0.736,0.9524988257575758,14.8185,0.599,0.03975560754,0.5,2000,528,1472
irregular12,ga_tcheby_proxy,20,2,0.736,0.9524988257575758,14.8185,0.599,0.03975560754,0.5,2000,528,1472
irregular12,ga_tcheby_proxy,20,3,0.736,0.9524988257575758,14.8185,0.599,0.03975560754,0.5,2000,528,1472
irregular12,ga_tcheby_proxy,50,1,0.937,0.9393690793650794,3.483,0.14,0.00323821448,0.5,2000,126,1874
irregular12,ga_tcheby_proxy,50,2,0.937,0.9393690793650794,3.483,0.14,0.00323821448,0.5,2000,126,1874
irregular12,ga_tcheby_proxy,50,3,0.937,0.9393690793650794,3.483,0.14,0.00323821448,0.5,2000,126,1874
irregular12,ga_tcheby_proxy,100,1,0.992,0.9336662499999999,0.4845,0.02,7.946516e-05,0.5,2000,16,1984
irregular12,ga_tcheby_proxy,100,2,0.992,0.9336662499999999,0.4845,0.02,7.946516e-05,0.5,2000,16,1984
irregular12,ga_tcheby_proxy,100,3,0.992,0.9336662499999999,0.4845,0.02,7.946516e-05,0.5,2000,16,1984
irregular12,keyaware,20,1,0.719,0.9532130320284696,15.9365,0.6535,0.047540002139999996,0.05,2000,562,1438
irregular12,keyaware,20,2,0.719,0.9532130320284696,15.9365,0.6535,0.047540002139999996,0.05,2000,562,1438
irregular12,keyaware,20,3,0.719,0.9532130320284696,15.9365,0.6535,0.047540002139999996,0.05,2000,562,1438
irregular12,keyaware,50,1,0.9335,0.9383428947368421,3.8,0.154,0.00324231235,0.05,2000,133,1867
irregular12,keyaware,50,2,0.9335,0.9383428947368421,3.8,0.154,0.00324231235,0.05,2000,133,1867
irregular12,keyaware,50,3,0.9335,0.9383428947368421,3.8,0.154,0.00324231235,0.05,2000,133,1867
irregular12,keyaware,100,1,0.9895,0.9222945238095237,0.663,0.026,0.000151059925,0.05,2000,21,1979
irregular12,keyaware,100,2,0.9895,0.9222945238095237,0.663,0.026,0.000151059925,0.05,2000,21,1979
irregular12,keyaware,100,3,0.9895,0.9222945238095237,0.663,0.026,0.000151059925,0.05,2000,21,1979
irregular12,random,20,1,0.7335,0.9417798030018761,30.7065,1.216,0.06875629988500001,0.01,2000,533,1467
irregular12,random,20,2,0.7335,0.9417798030018761,30.7065,1.216,0.06875629988500001,0.01,2000,533,1467
irregular12,random,20,3,0.7335,0.9417798030018761,30.7065,1.216,0.06875629988500001,0.01,2000,533,1467
irregular12,random,50,1,0.941,0.9292418135593221,5.586,0.2205,0.005360005515,0.01,2000,118,1882
irregular12,random,50,2,0.941,0.9292418135593221,5.586,0.2205,0.005360005515,0.01,2000,118,1882
irregular12,random,50,3,0.941,0.9292418135593221,5.586,0.2205,0.005360005515,0.01,2000,118,1882
irregular12,random,100,1,0.993,0.930894642857143,0.479,0.019,7.696227e-05,0.01,2000,14,1986
irregular12,random,100,2,0.993,0.930894642857143,0.479,0.019,7.696227e-05,0.01,2000,14,1986
irregular12,random,100,3,0.993,0.930894642857143,0.479,0.019,7.696227e-05,0.01,2000,14,1986
mesh16,distance,20,1,0.715,0.9584039596491226,18.5395,0.793,0.03854818445,0.02,2000,570,1430
mesh16,distance,20,2,0.715,0.9584039596491226,18.5395,0.793,0.03854818445,0.02,2000,570,1430
mesh16,distance,20,3,0.715,0.9584039596491226,18.5395,0.793,0.03854818445,0.02,2000,570,1430
mesh16,distance,50,1,0.9445,0.9358146126126125,3.6705,0.156,0.002060852635,0.02,2000,111,1889
mesh16,distance,50,2,0.9445,0.9358146126126125,3.6705,0.156,0.002060852635,0.02,2000,111,1889
mesh16,distance,50,3,0.9445,0.9358146126126125,3.6705,0.156,0.002060852635,0.02,2000,111,1889
mesh16,distance,100,1,0.9975,0.9209558000000001,0.1725,0.0075,3.87597e-06,0.02,2000,5,1995
mesh16,distance,100,2,0.9975,0.9209558000000001,0.1725,0.0075,3.87597e-06,0.02,2000,5,1995
mesh16,distance,100,3,0.9975,0.9209558000000001,0.1725,0.0075,3.87597e-06,0.02,2000,5,1995
mesh16,ga_tcheby_proxy,20,1,0.7265,0.9608268427787934,17.4055,0.7435,0.031700970365,0.5,2000,547,1453
mesh16,ga_tcheby_proxy,20,2,0.7265,0.9608268427787934,17.4055,0.7435,0.031700970365,0.5,2000,547,1453
mesh16,ga_tcheby_proxy,20,3,0.7265,0.9608268427787934,17.4055,0.7435,0.031700970365,0.5,2000,547,1453
