# src,dst,distance_km,base_key_rate,coherence_ms,qber
0,1,18,6200,60,0.021
1,0,18,6200,60,0.021
1,2,30,4300,45,0.032
2,1,30,4300,45,0.032
2,3,28,4100,40,0.035
3,2,28,4100,40,0.035
0,4,35,3900,38,0.036
4,0,35,3900,38,0.036
4,5,20,5800,70,0.020
5,4,20,5800,70,0.020
5,6,24,5200,65,0.025
6,5,24,5200,65,0.025
6,7,27,4700,50,0.029
7,6,27,4700,50,0.029
2,6,32,4000,42,0.034
6,2,32,4000,42,0.034
1,5,26,5100,55,0.026
5,1,26,5100,55,0.026
3,7,19,6000,75,0.019
7,3,19,6000,75,0.019
7,8,22,5400,58,0.024
8,7,22,5400,58,0.024
8,9,18,6100,62,0.020
9,8,18,6100,62,0.020
9,10,33,3900,36,0.037
10,9,33,3900,36,0.037
10,11,21,5600,57,0.023
11,10,21,5600,57,0.023
8,11,29,4500,48,0.031
11,8,29,4500,48,0.031
5,9,25,5000,52,0.027
9,5,25,5000,52,0.027
4,8,31,4200,41,0.034
8,4,31,4200,41,0.034
