test_id,selected_match,weight_abs_error,fidelity_abs_error,latency_cycles,pass_fail,details
T001_normal_ring6,1,0,0,2,PASS,
T002_blocked_candidate,1,0,0,2,PASS,
T003_high_threshold,1,0,0,2,PASS,
T004_all_candidates_valid,1,0,0,2,PASS,
T005_no_valid_path,1,0,0,2,PASS,
T006_equal_weight_tie,1,0,0,2,PASS,
T007_low_key_penalty,1,0,0,2,PASS,
T008_low_fidelity_penalty,1,0,0,2,PASS,
T009_high_qber_penalty,1,0,0,2,PASS,
T010_distance_penalty,1,0,0,2,PASS,
T011_invalid_edge_id,1,0,0,2,PASS,
T012_zero_length_candidate,1,0,0,2,PASS,
T013_arrival_bucket_penalty,1,0,0,2,PASS,
T014_decay_zero_boundary,1,0,0,2,PASS,
T015_decay_max_boundary,1,0,0,2,PASS,
