PASS_MMIO reset_status_zero
PASS_MMIO T001_normal_ring6: path=1 weight=3665362 bottleneck=61612 latency=2 status=3
PASS_MMIO T002_blocked_candidate: path=3 weight=1997214 bottleneck=64879 latency=2 status=3
PASS_MMIO T003_high_threshold: path=1 weight=3617938 bottleneck=63568 latency=2 status=3
PASS_MMIO T004_all_candidates_valid: path=1 weight=1348412 bottleneck=64879 latency=2 status=3
PASS_MMIO T005_no_valid_path: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO T006_equal_weight_tie: path=0 weight=679454 bottleneck=64223 latency=2 status=3
PASS_MMIO T007_low_key_penalty: path=1 weight=674206 bottleneck=64879 latency=2 status=3
PASS_MMIO T008_low_fidelity_penalty: path=1 weight=674206 bottleneck=64879 latency=2 status=3
PASS_MMIO T009_high_qber_penalty: path=1 weight=679454 bottleneck=64223 latency=2 status=3
PASS_MMIO T010_distance_penalty: path=1 weight=679454 bottleneck=64223 latency=2 status=3
PASS_MMIO T011_invalid_edge_id: path=1 weight=744990 bottleneck=64223 latency=2 status=3
PASS_MMIO T012_zero_length_candidate: path=1 weight=613918 bottleneck=64223 latency=2 status=3
PASS_MMIO T013_arrival_bucket_penalty: path=2 weight=679454 bottleneck=64223 latency=2 status=3
PASS_MMIO T014_decay_zero_boundary: path=0 weight=684694 bottleneck=63568 latency=2 status=3
PASS_MMIO T015_decay_max_boundary: path=3 weight=870814 bottleneck=64879 latency=2 status=3
PASS_MMIO R000_seeded_random: path=0 weight=498023 bottleneck=60268 latency=2 status=3
PASS_MMIO R001_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R002_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R003_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R004_seeded_random: path=0 weight=737363 bottleneck=62580 latency=2 status=3
PASS_MMIO R005_seeded_random: path=0 weight=3196462 bottleneck=52135 latency=2 status=3
PASS_MMIO R006_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R007_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R008_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R009_seeded_random: path=0 weight=4041741 bottleneck=55404 latency=2 status=3
PASS_MMIO R010_seeded_random: path=1 weight=1543364 bottleneck=58946 latency=2 status=3
PASS_MMIO R011_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R012_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R013_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R014_seeded_random: path=3 weight=526663 bottleneck=60310 latency=2 status=3
PASS_MMIO R015_seeded_random: path=1 weight=1794544 bottleneck=55392 latency=2 status=3
PASS_MMIO R016_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R017_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R018_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R019_seeded_random: path=3 weight=1819693 bottleneck=65057 latency=2 status=3
PASS_MMIO R020_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R021_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R022_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R023_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R024_seeded_random: path=2 weight=2567056 bottleneck=56848 latency=2 status=3
PASS_MMIO R025_seeded_random: path=1 weight=2095507 bottleneck=53215 latency=2 status=3
PASS_MMIO R026_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R027_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R028_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R029_seeded_random: path=0 weight=980886 bottleneck=54280 latency=2 status=3
PASS_MMIO R030_seeded_random: path=2 weight=2802446 bottleneck=52483 latency=2 status=3
PASS_MMIO R031_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R032_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R033_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R034_seeded_random: path=2 weight=3888062 bottleneck=50644 latency=2 status=3
PASS_MMIO R035_seeded_random: path=1 weight=2497775 bottleneck=61044 latency=2 status=3
PASS_MMIO R036_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R037_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R038_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R039_seeded_random: path=1 weight=1179034 bottleneck=56966 latency=2 status=3
PASS_MMIO R040_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R041_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R042_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R043_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R044_seeded_random: path=1 weight=1041518 bottleneck=53264 latency=2 status=3
PASS_MMIO R045_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R046_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R047_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R048_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R049_seeded_random: path=0 weight=1591166 bottleneck=63747 latency=2 status=3
PASS_MMIO R050_seeded_random: path=1 weight=1028537 bottleneck=56264 latency=2 status=3
PASS_MMIO R051_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R052_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R053_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R054_seeded_random: path=2 weight=691030 bottleneck=61031 latency=2 status=3
PASS_MMIO R055_seeded_random: path=2 weight=1217891 bottleneck=48922 latency=2 status=3
PASS_MMIO R056_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R057_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R058_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R059_seeded_random: path=0 weight=3684660 bottleneck=47905 latency=2 status=3
PASS_MMIO R060_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R061_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R062_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R063_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R064_seeded_random: path=2 weight=1230130 bottleneck=56812 latency=2 status=3
PASS_MMIO R065_seeded_random: path=0 weight=743331 bottleneck=63147 latency=2 status=3
PASS_MMIO R066_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R067_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R068_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R069_seeded_random: path=1 weight=2381693 bottleneck=48556 latency=2 status=3
PASS_MMIO R070_seeded_random: path=2 weight=1206581 bottleneck=57333 latency=2 status=3
PASS_MMIO R071_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R072_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R073_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R074_seeded_random: path=2 weight=1603233 bottleneck=50479 latency=2 status=3
PASS_MMIO R075_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R076_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R077_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R078_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R079_seeded_random: path=1 weight=677505 bottleneck=52267 latency=2 status=3
PASS_MMIO R080_seeded_random: path=0 weight=1002388 bottleneck=55523 latency=2 status=3
PASS_MMIO R081_seeded_random: path=3 weight=3138442 bottleneck=59849 latency=2 status=3
PASS_MMIO R082_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R083_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R084_seeded_random: path=0 weight=983634 bottleneck=56881 latency=2 status=3
PASS_MMIO R085_seeded_random: path=3 weight=3604710 bottleneck=60020 latency=2 status=3
PASS_MMIO R086_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R087_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R088_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R089_seeded_random: path=2 weight=2325362 bottleneck=58429 latency=2 status=3
PASS_MMIO R090_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R091_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R092_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R093_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R094_seeded_random: path=3 weight=742186 bottleneck=60308 latency=2 status=3
PASS_MMIO R095_seeded_random: path=0 weight=2278609 bottleneck=58053 latency=2 status=3
PASS_MMIO R096_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R097_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R098_seeded_random: path=0 weight=2122057 bottleneck=63957 latency=2 status=3
PASS_MMIO R099_seeded_random: path=2 weight=2243915 bottleneck=55279 latency=2 status=3
PASS_MMIO R100_seeded_random: path=2 weight=672279 bottleneck=57201 latency=2 status=3
PASS_MMIO R101_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R102_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R103_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R104_seeded_random: path=3 weight=491856 bottleneck=63441 latency=2 status=3
PASS_MMIO R105_seeded_random: path=2 weight=1551323 bottleneck=61239 latency=2 status=3
PASS_MMIO R106_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R107_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R108_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R109_seeded_random: path=2 weight=1190416 bottleneck=49734 latency=2 status=3
PASS_MMIO R110_seeded_random: path=2 weight=810955 bottleneck=55460 latency=2 status=3
PASS_MMIO R111_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R112_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R113_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R114_seeded_random: path=3 weight=2543941 bottleneck=59363 latency=2 status=3
PASS_MMIO R115_seeded_random: path=2 weight=820489 bottleneck=51826 latency=2 status=3
PASS_MMIO R116_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R117_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R118_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R119_seeded_random: path=2 weight=3033462 bottleneck=54297 latency=2 status=3
PASS_MMIO R120_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R121_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R122_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R123_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R124_seeded_random: path=0 weight=1322631 bottleneck=63507 latency=2 status=3
PASS_MMIO R125_seeded_random: path=0 weight=1215638 bottleneck=60659 latency=2 status=3
PASS_MMIO R126_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R127_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R128_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R129_seeded_random: path=1 weight=2665028 bottleneck=53180 latency=2 status=3
PASS_MMIO R130_seeded_random: path=1 weight=938976 bottleneck=60408 latency=2 status=3
PASS_MMIO R131_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R132_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R133_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R134_seeded_random: path=3 weight=2084062 bottleneck=55664 latency=2 status=3
PASS_MMIO R135_seeded_random: path=3 weight=1262459 bottleneck=54491 latency=2 status=3
PASS_MMIO R136_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R137_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R138_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R139_seeded_random: path=0 weight=1250581 bottleneck=59483 latency=2 status=3
PASS_MMIO R140_seeded_random: path=1 weight=4111404 bottleneck=54053 latency=2 status=3
PASS_MMIO R141_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R142_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R143_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R144_seeded_random: path=0 weight=1574992 bottleneck=54551 latency=2 status=3
PASS_MMIO R145_seeded_random: path=1 weight=498536 bottleneck=57485 latency=2 status=3
PASS_MMIO R146_seeded_random: path=1 weight=3992513 bottleneck=55325 latency=2 status=3
PASS_MMIO R147_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R148_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R149_seeded_random: path=3 weight=1948131 bottleneck=52785 latency=2 status=3
PASS_MMIO R150_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
PASS_MMIO R151_seeded_random: path=0 weight=4294967295 bottleneck=0 latency=2 status=5
