test_id,selected_path_id,best_weight,bottleneck_fidelity,latency_cycles,status_flags,src_node,dst_node
T001_normal_ring6,1,3665362,61612,2,3,0,3
T002_blocked_candidate,3,1997214,64879,2,3,0,3
T003_high_threshold,1,3617938,63568,2,3,0,3
T004_all_candidates_valid,1,1348412,64879,2,3,0,5
T005_no_valid_path,0,4294967295,0,2,5,0,5
T006_equal_weight_tie,0,679454,64223,2,3,0,5
T007_low_key_penalty,1,674206,64879,2,3,0,5
T008_low_fidelity_penalty,1,674206,64879,2,3,0,5
T009_high_qber_penalty,1,679454,64223,2,3,0,5
T010_distance_penalty,1,679454,64223,2,3,0,5
T011_invalid_edge_id,1,744990,64223,2,3,0,5
T012_zero_length_candidate,1,613918,64223,2,3,0,5
T013_arrival_bucket_penalty,2,679454,64223,2,3,0,5
T014_decay_zero_boundary,0,684694,63568,2,3,0,5
T015_decay_max_boundary,3,870814,64879,2,3,0,5
R000_seeded_random,0,498023,60268,2,3,5,0
R001_seeded_random,0,4294967295,0,2,5,0,5
R002_seeded_random,0,4294967295,0,2,5,1,6
R003_seeded_random,0,4294967295,0,2,5,0,7
R004_seeded_random,0,737363,62580,2,3,5,2
R005_seeded_random,0,3196462,52135,2,3,7,5
R006_seeded_random,0,4294967295,0,2,5,4,0
R007_seeded_random,0,4294967295,0,2,5,0,2
R008_seeded_random,0,4294967295,0,2,5,3,4
R009_seeded_random,0,4041741,55404,2,3,3,4
R010_seeded_random,1,1543364,58946,2,3,2,1
R011_seeded_random,0,4294967295,0,2,5,6,0
R012_seeded_random,0,4294967295,0,2,5,0,6
R013_seeded_random,0,4294967295,0,2,5,1,4
R014_seeded_random,3,526663,60310,2,3,0,6
R015_seeded_random,1,1794544,55392,2,3,4,4
R016_seeded_random,0,4294967295,0,2,5,4,7
R017_seeded_random,0,4294967295,0,2,5,5,5
R018_seeded_random,0,4294967295,0,2,5,7,7
R019_seeded_random,3,1819693,65057,2,3,6,3
R020_seeded_random,0,4294967295,0,2,5,7,3
R021_seeded_random,0,4294967295,0,2,5,0,3
R022_seeded_random,0,4294967295,0,2,5,1,4
R023_seeded_random,0,4294967295,0,2,5,6,2
R024_seeded_random,2,2567056,56848,2,3,5,3
R025_seeded_random,1,2095507,53215,2,3,4,4
R026_seeded_random,0,4294967295,0,2,5,0,7
R027_seeded_random,0,4294967295,0,2,5,5,5
R028_seeded_random,0,4294967295,0,2,5,1,3
R029_seeded_random,0,980886,54280,2,3,3,6
R030_seeded_random,2,2802446,52483,2,3,2,5
R031_seeded_random,0,4294967295,0,2,5,7,1
R032_seeded_random,0,4294967295,0,2,5,5,6
R033_seeded_random,0,4294967295,0,2,5,2,0
R034_seeded_random,2,3888062,50644,2,3,7,6
R035_seeded_random,1,2497775,61044,2,3,7,1
R036_seeded_random,0,4294967295,0,2,5,0,1
R037_seeded_random,0,4294967295,0,2,5,4,4
R038_seeded_random,0,4294967295,0,2,5,5,2
R039_seeded_random,1,1179034,56966,2,3,0,2
R040_seeded_random,0,4294967295,0,2,5,2,6
R041_seeded_random,0,4294967295,0,2,5,7,0
R042_seeded_random,0,4294967295,0,2,5,2,4
R043_seeded_random,0,4294967295,0,2,5,3,7
R044_seeded_random,1,1041518,53264,2,3,3,5
R045_seeded_random,0,4294967295,0,2,5,4,5
R046_seeded_random,0,4294967295,0,2,5,5,0
R047_seeded_random,0,4294967295,0,2,5,1,7
R048_seeded_random,0,4294967295,0,2,5,4,7
R049_seeded_random,0,1591166,63747,2,3,7,3
R050_seeded_random,1,1028537,56264,2,3,7,5
