test_id,selected_match,weight_abs_error,fidelity_abs_error,latency_cycles,pass_fail,details
T001_normal_ring6,1,0,0,2,PASS,
T002_blocked_candidate,1,0,0,2,PASS,
T003_high_threshold,1,0,0,2,PASS,
T004_all_candidates_valid,1,0,0,2,PASS,
T005_no_valid_path,1,0,0,2,PASS,
T006_equal_weight_tie,1,0,0,2,PASS,
T007_low_key_penalty,1,0,0,2,PASS,
T008_low_fidelity_penalty,1,0,0,2,PASS,
T009_high_qber_penalty,1,0,0,2,PASS,
T010_distance_penalty,1,0,0,2,PASS,
T011_invalid_edge_id,1,0,0,2,PASS,
T012_zero_length_candidate,1,0,0,2,PASS,
T013_arrival_bucket_penalty,1,0,0,2,PASS,
T014_decay_zero_boundary,1,0,0,2,PASS,
T015_decay_max_boundary,1,0,0,2,PASS,
R000_seeded_random,1,0,0,2,PASS,
R001_seeded_random,1,0,0,2,PASS,
R002_seeded_random,1,0,0,2,PASS,
R003_seeded_random,1,0,0,2,PASS,
R004_seeded_random,1,0,0,2,PASS,
R005_seeded_random,1,0,0,2,PASS,
R006_seeded_random,1,0,0,2,PASS,
R007_seeded_random,1,0,0,2,PASS,
R008_seeded_random,1,0,0,2,PASS,
R009_seeded_random,1,0,0,2,PASS,
R010_seeded_random,1,0,0,2,PASS,
R011_seeded_random,1,0,0,2,PASS,
R012_seeded_random,1,0,0,2,PASS,
R013_seeded_random,1,0,0,2,PASS,
R014_seeded_random,1,0,0,2,PASS,
R015_seeded_random,1,0,0,2,PASS,
R016_seeded_random,1,0,0,2,PASS,
R017_seeded_random,1,0,0,2,PASS,
R018_seeded_random,1,0,0,2,PASS,
R019_seeded_random,1,0,0,2,PASS,
R020_seeded_random,1,0,0,2,PASS,
R021_seeded_random,1,0,0,2,PASS,
R022_seeded_random,1,0,0,2,PASS,
R023_seeded_random,1,0,0,2,PASS,
R024_seeded_random,1,0,0,2,PASS,
R025_seeded_random,1,0,0,2,PASS,
R026_seeded_random,1,0,0,2,PASS,
R027_seeded_random,1,0,0,2,PASS,
R028_seeded_random,1,0,0,2,PASS,
R029_seeded_random,1,0,0,2,PASS,
R030_seeded_random,1,0,0,2,PASS,
R031_seeded_random,1,0,0,2,PASS,
R032_seeded_random,1,0,0,2,PASS,
R033_seeded_random,1,0,0,2,PASS,
R034_seeded_random,1,0,0,2,PASS,
R035_seeded_random,1,0,0,2,PASS,
R036_seeded_random,1,0,0,2,PASS,
R037_seeded_random,1,0,0,2,PASS,
R038_seeded_random,1,0,0,2,PASS,
R039_seeded_random,1,0,0,2,PASS,
R040_seeded_random,1,0,0,2,PASS,
R041_seeded_random,1,0,0,2,PASS,
R042_seeded_random,1,0,0,2,PASS,
R043_seeded_random,1,0,0,2,PASS,
R044_seeded_random,1,0,0,2,PASS,
R045_seeded_random,1,0,0,2,PASS,
R046_seeded_random,1,0,0,2,PASS,
R047_seeded_random,1,0,0,2,PASS,
R048_seeded_random,1,0,0,2,PASS,
R049_seeded_random,1,0,0,2,PASS,
R050_seeded_random,1,0,0,2,PASS,
R051_seeded_random,1,0,0,2,PASS,
R052_seeded_random,1,0,0,2,PASS,
R053_seeded_random,1,0,0,2,PASS,
R054_seeded_random,1,0,0,2,PASS,
R055_seeded_random,1,0,0,2,PASS,
R056_seeded_random,1,0,0,2,PASS,
R057_seeded_random,1,0,0,2,PASS,
R058_seeded_random,1,0,0,2,PASS,
R059_seeded_random,1,0,0,2,PASS,
R060_seeded_random,1,0,0,2,PASS,
R061_seeded_random,1,0,0,2,PASS,
R062_seeded_random,1,0,0,2,PASS,
R063_seeded_random,1,0,0,2,PASS,
R064_seeded_random,1,0,0,2,PASS,
R065_seeded_random,1,0,0,2,PASS,
R066_seeded_random,1,0,0,2,PASS,
R067_seeded_random,1,0,0,2,PASS,
R068_seeded_random,1,0,0,2,PASS,
R069_seeded_random,1,0,0,2,PASS,
R070_seeded_random,1,0,0,2,PASS,
R071_seeded_random,1,0,0,2,PASS,
R072_seeded_random,1,0,0,2,PASS,
R073_seeded_random,1,0,0,2,PASS,
R074_seeded_random,1,0,0,2,PASS,
R075_seeded_random,1,0,0,2,PASS,
R076_seeded_random,1,0,0,2,PASS,
R077_seeded_random,1,0,0,2,PASS,
R078_seeded_random,1,0,0,2,PASS,
R079_seeded_random,1,0,0,2,PASS,
R080_seeded_random,1,0,0,2,PASS,
R081_seeded_random,1,0,0,2,PASS,
R082_seeded_random,1,0,0,2,PASS,
R083_seeded_random,1,0,0,2,PASS,
R084_seeded_random,1,0,0,2,PASS,
R085_seeded_random,1,0,0,2,PASS,
R086_seeded_random,1,0,0,2,PASS,
R087_seeded_random,1,0,0,2,PASS,
R088_seeded_random,1,0,0,2,PASS,
R089_seeded_random,1,0,0,2,PASS,
R090_seeded_random,1,0,0,2,PASS,
R091_seeded_random,1,0,0,2,PASS,
R092_seeded_random,1,0,0,2,PASS,
R093_seeded_random,1,0,0,2,PASS,
R094_seeded_random,1,0,0,2,PASS,
R095_seeded_random,1,0,0,2,PASS,
R096_seeded_random,1,0,0,2,PASS,
R097_seeded_random,1,0,0,2,PASS,
R098_seeded_random,1,0,0,2,PASS,
R099_seeded_random,1,0,0,2,PASS,
R100_seeded_random,1,0,0,2,PASS,
R101_seeded_random,1,0,0,2,PASS,
R102_seeded_random,1,0,0,2,PASS,
R103_seeded_random,1,0,0,2,PASS,
R104_seeded_random,1,0,0,2,PASS,
R105_seeded_random,1,0,0,2,PASS,
R106_seeded_random,1,0,0,2,PASS,
R107_seeded_random,1,0,0,2,PASS,
R108_seeded_random,1,0,0,2,PASS,
R109_seeded_random,1,0,0,2,PASS,
R110_seeded_random,1,0,0,2,PASS,
R111_seeded_random,1,0,0,2,PASS,
R112_seeded_random,1,0,0,2,PASS,
R113_seeded_random,1,0,0,2,PASS,
R114_seeded_random,1,0,0,2,PASS,
R115_seeded_random,1,0,0,2,PASS,
R116_seeded_random,1,0,0,2,PASS,
R117_seeded_random,1,0,0,2,PASS,
R118_seeded_random,1,0,0,2,PASS,
R119_seeded_random,1,0,0,2,PASS,
R120_seeded_random,1,0,0,2,PASS,
R121_seeded_random,1,0,0,2,PASS,
R122_seeded_random,1,0,0,2,PASS,
R123_seeded_random,1,0,0,2,PASS,
R124_seeded_random,1,0,0,2,PASS,
R125_seeded_random,1,0,0,2,PASS,
R126_seeded_random,1,0,0,2,PASS,
R127_seeded_random,1,0,0,2,PASS,
R128_seeded_random,1,0,0,2,PASS,
R129_seeded_random,1,0,0,2,PASS,
R130_seeded_random,1,0,0,2,PASS,
R131_seeded_random,1,0,0,2,PASS,
R132_seeded_random,1,0,0,2,PASS,
R133_seeded_random,1,0,0,2,PASS,
R134_seeded_random,1,0,0,2,PASS,
R135_seeded_random,1,0,0,2,PASS,
R136_seeded_random,1,0,0,2,PASS,
R137_seeded_random,1,0,0,2,PASS,
R138_seeded_random,1,0,0,2,PASS,
R139_seeded_random,1,0,0,2,PASS,
R140_seeded_random,1,0,0,2,PASS,
R141_seeded_random,1,0,0,2,PASS,
R142_seeded_random,1,0,0,2,PASS,
R143_seeded_random,1,0,0,2,PASS,
R144_seeded_random,1,0,0,2,PASS,
R145_seeded_random,1,0,0,2,PASS,
R146_seeded_random,1,0,0,2,PASS,
R147_seeded_random,1,0,0,2,PASS,
R148_seeded_random,1,0,0,2,PASS,
R149_seeded_random,1,0,0,2,PASS,
R150_seeded_random,1,0,0,2,PASS,
R151_seeded_random,1,0,0,2,PASS,
R152_seeded_random,1,0,0,2,PASS,
R153_seeded_random,1,0,0,2,PASS,
R154_seeded_random,1,0,0,2,PASS,
R155_seeded_random,1,0,0,2,PASS,
R156_seeded_random,1,0,0,2,PASS,
R157_seeded_random,1,0,0,2,PASS,
R158_seeded_random,1,0,0,2,PASS,
R159_seeded_random,1,0,0,2,PASS,
R160_seeded_random,1,0,0,2,PASS,
R161_seeded_random,1,0,0,2,PASS,
R162_seeded_random,1,0,0,2,PASS,
R163_seeded_random,1,0,0,2,PASS,
R164_seeded_random,1,0,0,2,PASS,
R165_seeded_random,1,0,0,2,PASS,
R166_seeded_random,1,0,0,2,PASS,
R167_seeded_random,1,0,0,2,PASS,
R168_seeded_random,1,0,0,2,PASS,
R169_seeded_random,1,0,0,2,PASS,
R170_seeded_random,1,0,0,2,PASS,
R171_seeded_random,1,0,0,2,PASS,
R172_seeded_random,1,0,0,2,PASS,
R173_seeded_random,1,0,0,2,PASS,
R174_seeded_random,1,0,0,2,PASS,
R175_seeded_random,1,0,0,2,PASS,
R176_seeded_random,1,0,0,2,PASS,
R177_seeded_random,1,0,0,2,PASS,
R178_seeded_random,1,0,0,2,PASS,
R179_seeded_random,1,0,0,2,PASS,
R180_seeded_random,1,0,0,2,PASS,
R181_seeded_random,1,0,0,2,PASS,
R182_seeded_random,1,0,0,2,PASS,
R183_seeded_random,1,0,0,2,PASS,
R184_seeded_random,1,0,0,2,PASS,
R185_seeded_random,1,0,0,2,PASS,
R186_seeded_random,1,0,0,2,PASS,
R187_seeded_random,1,0,0,2,PASS,
R188_seeded_random,1,0,0,2,PASS,
R189_seeded_random,1,0,0,2,PASS,
R190_seeded_random,1,0,0,2,PASS,
R191_seeded_random,1,0,0,2,PASS,
R192_seeded_random,1,0,0,2,PASS,
R193_seeded_random,1,0,0,2,PASS,
R194_seeded_random,1,0,0,2,PASS,
R195_seeded_random,1,0,0,2,PASS,
R196_seeded_random,1,0,0,2,PASS,
R197_seeded_random,1,0,0,2,PASS,
R198_seeded_random,1,0,0,2,PASS,
R199_seeded_random,1,0,0,2,PASS,
