comparison,test_id,baseline_quality_unorm16,h4_quality_unorm16,difference_h4_minus_baseline,baseline_selected_path,h4_selected_path,path_changed
H4-H2,1000,61286,61286,0,0,0,False
H4-H2,1001,61234,61234,0,1,1,False
H4-H2,1002,62862,62862,0,0,0,False
H4-H2,1003,61520,61520,0,0,0,False
H4-H2,1004,62449,62449,0,0,0,False
H4-H2,1005,63661,63661,0,1,1,False
H4-H2,1006,63058,63058,0,0,0,False
H4-H2,1008,62463,62463,0,0,0,False
H4-H2,1009,64393,64393,0,1,1,False
H4-H2,1010,60475,60475,0,0,0,False
H4-H2,1011,63744,63744,0,1,1,False
H4-H2,1012,62648,62648,0,0,0,False
H4-H2,1013,60407,60407,0,1,1,False
H4-H2,1014,61847,61847,0,0,0,False
H4-H2,1016,59981,59981,0,0,0,False
H4-H2,1017,59847,59847,0,1,1,False
H4-H2,1018,61098,61098,0,0,0,False
H4-H2,1019,65080,65080,0,0,0,False
H4-H2,1020,59813,59813,0,0,0,False
H4-H2,1021,60118,61252,1134,1,0,True
H4-H2,1022,59603,62213,2610,0,1,True
H4-H2,1024,58982,58982,0,0,0,False
H4-H2,1025,58982,58982,0,1,1,False
H4-H2,1026,62312,62312,0,0,0,False
H4-H2,1027,63446,63446,0,1,1,False
H4-H2,1028,60703,60703,0,0,0,False
H4-H2,1029,58982,59515,533,1,0,True
H4-H2,1030,62328,62328,0,0,0,False
H4-H2,1031,61982,61982,0,1,1,False
H4-H2,1032,60167,60167,0,0,0,False
H4-H2,1033,61948,61948,0,1,1,False
H4-H2,1034,62513,62513,0,0,0,False
H4-H2,1035,65242,65242,0,0,0,False
H4-H2,1036,59445,59445,0,0,0,False
H4-H2,1037,60678,60678,0,1,1,False
H4-H2,1038,62659,61295,-1364,0,1,True
H4-H2,1040,63736,63736,0,0,0,False
H4-H2,1041,63101,63101,0,1,1,False
H4-H2,1042,64352,64352,0,0,0,False
H4-H2,1043,60556,60556,0,1,1,False
H4-H2,1044,60662,62642,1980,0,1,True
H4-H2,1045,62691,62691,0,1,1,False
H4-H2,1046,60356,60356,0,0,0,False
H4-H2,1048,59537,59537,0,0,0,False
H4-H2,1049,58982,58982,0,1,1,False
H4-H2,1050,58982,58982,0,0,0,False
H4-H2,1051,60768,60768,0,0,0,False
H4-H2,1052,64910,65032,122,0,1,True
H4-H2,1053,63593,63593,0,1,1,False
H4-H2,1054,61827,61827,0,0,0,False
H4-H2,1056,59367,59367,0,0,0,False
H4-H2,1057,63931,63931,0,1,1,False
H4-H2,1058,61413,61413,0,0,0,False
H4-H2,1059,58982,58982,0,1,1,False
H4-H2,1060,58982,58982,0,0,0,False
H4-H2,1061,64427,64427,0,1,1,False
H4-H2,1062,62081,62081,0,0,0,False
H4-H2,1063,63930,63930,0,1,1,False
H4-H3,1000,61286,61286,0,0,0,False
H4-H3,1001,61234,61234,0,1,1,False
H4-H3,1002,62862,62862,0,0,0,False
H4-H3,1003,61520,61520,0,0,0,False
H4-H3,1004,62449,62449,0,0,0,False
H4-H3,1005,63661,63661,0,1,1,False
H4-H3,1006,63058,63058,0,0,0,False
H4-H3,1008,63040,62463,-577,1,0,True
H4-H3,1009,64393,64393,0,1,1,False
H4-H3,1010,60475,60475,0,0,0,False
H4-H3,1011,63744,63744,0,1,1,False
H4-H3,1012,62648,62648,0,0,0,False
H4-H3,1013,60407,60407,0,1,1,False
H4-H3,1014,61847,61847,0,0,0,False
H4-H3,1016,59981,59981,0,0,0,False
H4-H3,1017,59847,59847,0,1,1,False
H4-H3,1018,61098,61098,0,0,0,False
H4-H3,1019,65080,65080,0,0,0,False
H4-H3,1020,59813,59813,0,0,0,False
H4-H3,1021,61252,61252,0,0,0,False
H4-H3,1022,59603,62213,2610,0,1,True
H4-H3,1024,59372,58982,-390,1,0,True
H4-H3,1025,58982,58982,0,1,1,False
H4-H3,1026,62312,62312,0,0,0,False
H4-H3,1027,63446,63446,0,1,1,False
H4-H3,1028,60703,60703,0,0,0,False
H4-H3,1029,59515,59515,0,0,0,False
H4-H3,1030,62328,62328,0,0,0,False
H4-H3,1031,61982,61982,0,1,1,False
H4-H3,1032,60167,60167,0,0,0,False
H4-H3,1033,61948,61948,0,1,1,False
H4-H3,1034,65535,62513,-3022,1,0,True
H4-H3,1035,65242,65242,0,0,0,False
H4-H3,1036,59445,59445,0,0,0,False
H4-H3,1037,60678,60678,0,1,1,False
H4-H3,1038,61295,61295,0,1,1,False
H4-H3,1040,63736,63736,0,0,0,False
H4-H3,1041,63101,63101,0,1,1,False
H4-H3,1042,64352,64352,0,0,0,False
H4-H3,1043,60556,60556,0,1,1,False
H4-H3,1044,62642,62642,0,1,1,False
H4-H3,1045,62691,62691,0,1,1,False
H4-H3,1046,60356,60356,0,0,0,False
H4-H3,1048,60865,59537,-1328,1,0,True
H4-H3,1049,58982,58982,0,1,1,False
H4-H3,1050,58982,58982,0,0,0,False
H4-H3,1051,60768,60768,0,0,0,False
H4-H3,1052,64910,65032,122,0,1,True
H4-H3,1053,65535,63593,-1942,0,1,True
H4-H3,1054,61827,61827,0,0,0,False
H4-H3,1056,59367,59367,0,0,0,False
H4-H3,1057,63931,63931,0,1,1,False
H4-H3,1058,61413,61413,0,0,0,False
H4-H3,1059,58982,58982,0,1,1,False
H4-H3,1060,58982,58982,0,0,0,False
H4-H3,1061,64427,64427,0,1,1,False
H4-H3,1062,62081,62081,0,0,0,False
H4-H3,1063,63930,63930,0,1,1,False
