case_id,policy_mode,kernel_cycles
0,H0,2
0,H1,7
0,H2,8
0,H3,8
0,H4,10
1,H0,2
1,H1,7
1,H2,8
1,H3,8
1,H4,10
2,H0,2
2,H1,109
2,H2,110
2,H3,110
2,H4,112
3,H0,2
3,H1,6
3,H2,7
3,H3,7
3,H4,9
4,H0,1
4,H1,1
4,H2,1
4,H3,1
4,H4,1
5,H0,2
5,H1,7
5,H2,8
5,H3,8
5,H4,10
6,H0,2
6,H1,7
6,H2,8
6,H3,8
6,H4,10
7,H0,2
7,H1,7
7,H2,8
7,H3,8
7,H4,10
8,H0,2
8,H1,7
8,H2,8
8,H3,8
8,H4,10
9,H0,2
9,H1,7
9,H2,8
9,H3,8
9,H4,10
10,H0,2
10,H1,7
10,H2,8
10,H3,8
10,H4,10
11,H0,2
11,H1,7
11,H2,8
11,H3,8
11,H4,10
12,H0,2
12,H1,7
12,H2,8
12,H3,8
12,H4,10
13,H0,2
13,H1,7
13,H2,8
13,H3,8
13,H4,10
14,H0,2
14,H1,7
14,H2,8
14,H3,8
14,H4,10
15,H0,2
15,H1,7
15,H2,8
15,H3,8
15,H4,10
16,H0,2
16,H1,7
16,H2,8
16,H3,8
16,H4,10
17,H0,2
17,H1,7
17,H2,8
17,H3,8
17,H4,10
18,H0,2
18,H1,7
18,H2,8
18,H3,8
18,H4,10
19,H0,2
19,H1,7
19,H2,8
19,H3,8
19,H4,10
