replay_order,test_id,replay_id,sequence_class,seed,src,dst,min_key_occupancy_u16,bottleneck_fidelity_state_u16,offered_request_load_u16,utilization_imbalance_state_u16,c0_valid,c0_cost,c0_fidelity,c0_utilization,c0_hops,c0_slot,c1_valid,c1_cost,c1_fidelity,c1_utilization,c1_hops,c1_slot,input_valid,expected_status,held_out
0,0,A000,contract_single_c0,0,0,3,0,0,0,0,1,100,62000,10,3,0,0,200,62000,10,2,1,1,0,0
1,1,A001,contract_single_c1,0,0,3,0,0,0,0,0,100,62000,10,3,0,1,200,62000,10,2,1,1,0,0
2,2,A002,contract_dual_candidate,0,0,3,0,0,0,0,1,100,62000,10,3,0,1,200,62000,10,2,1,1,0,0
3,3,A003,contract_no_path,0,0,3,0,0,0,0,0,100,62000,10,3,0,0,200,62000,10,2,1,1,1,0
4,4,A004,contract_invalid,0,0,3,0,0,0,0,0,100,62000,10,3,0,0,200,62000,10,2,1,0,2,0
5,5,A005,h3_key_low,0,0,3,0,0,0,0,1,100,62000,10,3,0,0,200,62000,10,2,1,1,0,0
6,6,A006,h3_fidelity_low,0,0,3,16384,58982,0,0,1,100,62000,10,3,0,0,200,62000,10,2,1,1,0,0
7,7,A007,h3_imbalance_high,0,0,3,16384,60948,0,16384,1,100,62000,10,3,0,0,200,62000,10,2,1,1,0,0
8,8,A008,h3_safe_saturated_load,0,0,3,32768,60948,49151,8192,1,100,62000,10,3,0,0,200,62000,10,2,1,1,0,0
9,9,A009,h3_default,0,0,3,32768,60948,16384,0,1,100,62000,10,3,0,0,200,62000,10,2,1,1,0,0
10,10,A010,h4_dwell_start,0,0,3,0,0,0,0,1,100,62000,10,3,0,0,200,62000,10,2,1,1,0,0
11,11,A011,h4_dwell_hold_1,0,0,3,0,58982,32768,8192,1,100,62000,10,3,0,0,200,62000,10,2,1,1,0,0
12,12,A012,h4_dwell_hold_2,0,0,3,0,58982,32768,8192,1,100,62000,10,3,0,0,200,62000,10,2,1,1,0,0
13,13,A013,h4_dwell_switch_1,0,0,3,0,58982,32768,8192,1,100,62000,10,3,0,0,200,62000,10,2,1,1,0,0
14,14,A014,h4_dwell_hold_3,0,0,3,0,58982,0,8192,1,100,62000,10,3,0,0,200,62000,10,2,1,1,0,0
15,15,A015,h4_dwell_hold_4,0,0,3,0,58982,0,8192,1,100,62000,10,3,0,0,200,62000,10,2,1,1,0,0
16,16,A016,h4_dwell_switch_2,0,0,3,0,58982,0,8192,1,100,62000,10,3,0,0,200,62000,10,2,1,1,0,0
17,17,A017,h4_dwell_hold_5,0,0,3,16384,60948,32768,0,1,100,62000,10,3,0,0,200,62000,10,2,1,1,0,0
18,18,A018,h4_dwell_hold_6,0,0,3,16384,60948,32768,0,1,100,62000,10,3,0,0,200,62000,10,2,1,1,0,0
19,19,A019,h4_dwell_switch_3,0,0,3,16384,60948,32768,0,1,100,62000,10,3,0,0,200,62000,10,2,1,1,0,0
20,1000,B000,scarcity,26072026,4,1,3224,61664,38919,6290,1,39474,61286,55669,3,0,1,43826,62368,70508,3,1,1,0,1
21,1001,B001,scarcity,26072026,5,0,15718,62578,27797,3095,1,23794,62212,49707,1,0,1,16378,61234,7054,5,1,1,0,1
22,1002,B002,scarcity,26072026,3,2,16993,61471,25509,3757,1,45832,62862,63461,5,0,1,48462,61275,48225,1,1,1,0,1
23,1003,B003,scarcity,26072026,1,5,31426,62899,32297,7712,1,35451,61520,4666,4,0,0,28749,62483,36716,2,1,1,0,1
24,1004,B004,scarcity,26072026,1,3,5264,63399,25008,18738,1,43039,62449,1390,2,0,1,57691,62469,67932,4,1,1,0,1
25,1005,B005,scarcity,26072026,2,3,17337,63605,28863,10806,1,32382,63702,59406,1,0,1,27836,63661,29337,5,1,1,0,1
26,1006,B006,scarcity,26072026,0,2,15915,62906,30627,15654,1,6701,63058,48685,2,0,1,18910,62560,66224,4,1,1,0,1
27,1007,B007,scarcity,26072026,5,3,33230,62425,30314,17093,0,32287,62235,66688,4,0,0,27485,63368,52690,2,1,1,1,1
28,1008,B008,scarcity,26072026,1,4,4499,61921,26918,10879,1,41198,62463,79765,3,0,1,44399,63040,15902,3,1,1,0,1
29,1009,B009,scarcity,26072026,4,2,16065,63533,37215,15032,1,42100,61896,34665,4,0,1,39531,64393,26154,2,1,1,0,1
30,1010,B010,scarcity,26072026,4,5,18230,60553,31735,15168,1,48691,60475,34814,1,0,1,54325,60347,23193,5,1,1,0,1
31,1011,B011,scarcity,26072026,5,3,34005,62502,20113,17564,0,8080,62203,58643,4,0,1,5846,63744,30543,2,1,1,0,1
32,1012,B012,scarcity,26072026,3,1,3901,61716,21232,17843,1,4164,62648,41368,4,0,1,18416,62094,50006,2,1,1,0,1
33,1013,B013,scarcity,26072026,1,4,17108,61852,30092,12381,1,49528,62457,28695,3,0,1,45804,60407,12324,3,1,1,0,1
34,1014,B014,scarcity,26072026,5,4,17183,60893,24253,12421,1,2798,61847,42254,5,0,1,18737,60269,68949,1,1,1,0,1
35,1015,B015,scarcity,26072026,1,5,33158,61014,27720,20391,0,43444,62626,28453,4,0,0,40652,61166,4820,2,1,0,2,1
36,1016,B016,fidelity,26072026,5,1,40039,58358,21360,10142,1,8493,59981,836,2,0,1,13134,58982,51105,4,1,1,0,1
37,1017,B017,fidelity,26072026,4,2,34765,58551,37391,17947,1,25185,58982,60483,4,0,1,19113,59847,79643,2,1,1,0,1
38,1018,B018,fidelity,26072026,4,3,35389,60700,38851,16893,1,6615,61098,50965,5,0,1,14538,59232,38892,1,1,1,0,1
39,1019,B019,fidelity,26072026,4,1,40953,63420,18523,18922,1,5003,65080,43417,3,0,0,2252,62057,12601,3,1,1,0,1
40,1020,B020,fidelity,26072026,0,5,32920,57951,26396,18318,1,48674,59813,24876,5,0,1,63780,59499,44603,1,1,1,0,1
41,1021,B021,fidelity,26072026,0,2,35568,59554,22385,7929,1,29797,61252,52016,2,0,1,23839,60118,75491,4,1,1,0,1
42,1022,B022,fidelity,26072026,2,0,42608,61008,17746,7178,1,4248,59603,55677,4,0,1,18989,62213,25622,2,1,1,0,1
43,1023,B023,fidelity,26072026,5,2,42206,63618,17856,12701,0,47305,63941,43851,3,0,0,42269,62092,42944,3,1,1,1,1
44,1024,B024,fidelity,26072026,4,2,43630,56895,20898,8343,1,14004,58982,34739,4,0,1,16468,59372,18287,2,1,1,0,1
45,1025,B025,fidelity,26072026,2,3,33449,59055,32249,18178,1,41578,58982,45382,1,0,1,40168,58982,11306,5,1,1,0,1
46,1026,B026,fidelity,26072026,4,5,44161,61058,39544,3785,1,11860,62312,49875,1,0,1,16606,62780,43721,5,1,1,0,1
47,1027,B027,fidelity,26072026,1,3,35093,63978,36072,12860,0,13021,62676,78127,2,0,1,10431,63446,51867,4,1,1,0,1
48,1028,B028,fidelity,26072026,0,5,29025,56736,23481,18857,1,16341,60703,59345,5,0,1,18876,58982,39761,1,1,1,0,1
49,1029,B029,fidelity,26072026,3,5,28382,59490,39627,12184,1,35821,59515,17760,2,0,1,34202,58982,38210,4,1,1,0,1
50,1030,B030,fidelity,26072026,3,5,41075,61148,30915,22532,1,9210,62328,9266,2,0,1,14983,62545,28768,4,1,1,0,1
51,1031,B031,fidelity,26072026,1,0,38335,63102,32392,3848,1,40055,63034,5127,5,0,1,34193,61982,74677,1,1,1,0,1
52,1032,B032,load_imbalance,26072026,5,0,41707,61100,12554,2867,1,25950,60167,22710,1,0,1,40812,62348,13219,5,1,1,0,1
53,1033,B033,load_imbalance,26072026,3,0,35288,61228,18685,9613,1,44860,62473,31797,3,0,1,37584,61948,39913,3,1,1,0,1
54,1034,B034,load_imbalance,26072026,2,5,45846,64259,36712,24153,1,34365,62513,70580,3,0,1,40275,65535,14084,3,1,1,0,1
55,1035,B035,load_imbalance,26072026,0,5,44264,63964,51064,41423,1,16328,65242,56189,5,0,0,14189,62846,26528,1,1,1,0,1
56,1036,B036,load_imbalance,26072026,2,0,35411,61184,12518,2221,1,42511,59445,44787,4,0,1,53897,62141,71494,2,1,1,0,1
57,1037,B037,load_imbalance,26072026,4,5,44154,61615,21724,11611,1,33181,60264,76765,1,0,1,28081,60678,25338,5,1,1,0,1
58,1038,B038,load_imbalance,26072026,3,5,31875,61020,35946,24141,1,15079,62659,28947,2,0,1,20606,61295,4813,4,1,1,0,1
59,1039,B039,load_imbalance,26072026,0,1,32360,62530,50089,41901,0,24130,62991,63772,1,0,0,18386,61605,14143,5,1,1,1,1
60,1040,B040,load_imbalance,26072026,2,0,33361,63564,14011,5481,1,38426,63736,2199,4,0,1,54221,62742,78520,2,1,1,0,1
61,1041,B041,load_imbalance,26072026,1,0,40829,62043,21968,11949,1,11184,62427,35599,5,0,1,7980,63101,45417,1,1,1,0,1
62,1042,B042,load_imbalance,26072026,4,3,36348,63891,34084,20737,1,47809,64352,30865,5,0,1,50106,62923,36080,1,1,1,0,1
63,1043,B043,load_imbalance,26072026,3,1,46931,61221,50278,38213,0,21596,60176,60580,4,0,1,17553,60556,3545,2,1,1,0,1
64,1044,B044,load_imbalance,26072026,1,2,36405,60916,12758,2303,1,29557,60662,76647,1,0,1,44341,62642,57519,5,1,1,0,1
65,1045,B045,load_imbalance,26072026,0,5,42827,63199,19613,10129,1,42224,62895,15981,5,0,1,41620,62691,73213,1,1,1,0,1
66,1046,B046,load_imbalance,26072026,0,2,33250,61128,38101,23932,1,17854,60356,55737,2,0,1,27817,61143,75044,4,1,1,0,1
67,1047,B047,load_imbalance,26072026,4,3,45988,63712,51940,40064,0,32688,64931,10254,5,0,0,30903,62255,73028,1,1,0,2,1
68,1048,B048,mixed,26072026,2,1,7874,59726,42554,34469,1,15333,59537,27660,5,0,1,21292,60865,17636,1,1,1,0,1
69,1049,B049,mixed,26072026,2,1,58323,56918,23524,16048,1,7285,58982,39836,5,0,1,5215,58982,21072,1,1,1,0,1
70,1050,B050,mixed,26072026,2,0,27646,59441,35127,41289,1,32102,58982,62752,4,0,1,37479,58982,73715,2,1,1,0,1
71,1051,B051,mixed,26072026,5,4,12311,60354,13231,6851,1,23869,60768,49053,5,0,0,17173,61698,15096,1,1,1,0,1
72,1052,B052,mixed,26072026,1,0,47535,63233,7262,13962,1,20526,64910,650,5,0,1,25052,65032,45528,1,1,1,0,1
73,1053,B053,mixed,26072026,2,5,17063,64225,19436,25821,1,15623,65535,39529,3,0,1,10555,63593,53783,3,1,1,0,1
