replay_order,test_id,replay_id,sequence_class,seed,src,dst,min_key_occupancy_u16,bottleneck_fidelity_state_u16,offered_request_load_u16,utilization_imbalance_state_u16,c0_valid,c0_cost,c0_fidelity,c0_utilization,c0_hops,c0_slot,c1_valid,c1_cost,c1_fidelity,c1_utilization,c1_hops,c1_slot,input_valid,expected_status,held_out
0,0,A000,contract_single_c0,0,0,3,0,0,0,0,1,100,62000,10,3,0,0,200,62000,10,2,1,1,0,0
1,1,A001,contract_single_c1,0,0,3,0,0,0,0,0,100,62000,10,3,0,1,200,62000,10,2,1,1,0,0
2,2,A002,contract_dual_candidate,0,0,3,0,0,0,0,1,100,62000,10,3,0,1,200,62000,10,2,1,1,0,0
3,3,A003,contract_no_path,0,0,3,0,0,0,0,0,100,62000,10,3,0,0,200,62000,10,2,1,1,1,0
4,4,A004,contract_invalid,0,0,3,0,0,0,0,0,100,62000,10,3,0,0,200,62000,10,2,1,0,2,0
5,5,A005,h3_key_low,0,0,3,0,0,0,0,1,100,62000,10,3,0,0,200,62000,10,2,1,1,0,0
6,6,A006,h3_fidelity_low,0,0,3,16384,58982,0,0,1,100,62000,10,3,0,0,200,62000,10,2,1,1,0,0
7,7,A007,h3_imbalance_high,0,0,3,16384,60948,0,16384,1,100,62000,10,3,0,0,200,62000,10,2,1,1,0,0
8,8,A008,h3_safe_saturated_load,0,0,3,32768,60948,49151,8192,1,100,62000,10,3,0,0,200,62000,10,2,1,1,0,0
9,9,A009,h3_default,0,0,3,32768,60948,16384,0,1,100,62000,10,3,0,0,200,62000,10,2,1,1,0,0
10,10,A010,h4_dwell_start,0,0,3,0,0,0,0,1,100,62000,10,3,0,0,200,62000,10,2,1,1,0,0
11,11,A011,h4_dwell_hold_1,0,0,3,0,58982,32768,8192,1,100,62000,10,3,0,0,200,62000,10,2,1,1,0,0
12,12,A012,h4_dwell_hold_2,0,0,3,0,58982,32768,8192,1,100,62000,10,3,0,0,200,62000,10,2,1,1,0,0
13,13,A013,h4_dwell_switch_1,0,0,3,0,58982,32768,8192,1,100,62000,10,3,0,0,200,62000,10,2,1,1,0,0
14,14,A014,h4_dwell_hold_3,0,0,3,0,58982,0,8192,1,100,62000,10,3,0,0,200,62000,10,2,1,1,0,0
15,15,A015,h4_dwell_hold_4,0,0,3,0,58982,0,8192,1,100,62000,10,3,0,0,200,62000,10,2,1,1,0,0
16,16,A016,h4_dwell_switch_2,0,0,3,0,58982,0,8192,1,100,62000,10,3,0,0,200,62000,10,2,1,1,0,0
17,17,A017,h4_dwell_hold_5,0,0,3,16384,60948,32768,0,1,100,62000,10,3,0,0,200,62000,10,2,1,1,0,0
18,18,A018,h4_dwell_hold_6,0,0,3,16384,60948,32768,0,1,100,62000,10,3,0,0,200,62000,10,2,1,1,0,0
19,19,A019,h4_dwell_switch_3,0,0,3,16384,60948,32768,0,1,100,62000,10,3,0,0,200,62000,10,2,1,1,0,0
