test_id,policy_id,state_id,profile_id,selected_path,score,bottleneck_fidelity,cycles,status
0,1,0,0,0,0,62000,7,0
1,1,0,0,1,0,62000,7,0
2,1,0,0,0,0,62000,109,0
3,1,0,0,255,0,0,6,1
4,1,0,0,255,0,0,1,2
5,1,0,0,0,0,62000,7,0
6,1,80,0,0,0,62000,7,0
7,1,98,0,0,0,62000,7,0
8,1,173,0,0,0,62000,7,0
9,1,164,0,0,0,62000,7,0
10,1,0,0,0,0,62000,7,0
11,1,25,0,0,0,62000,7,0
12,1,25,0,0,0,62000,7,0
13,1,25,0,0,0,62000,7,0
14,1,17,0,0,0,62000,7,0
15,1,17,0,0,0,62000,7,0
16,1,17,0,0,0,62000,7,0
17,1,104,0,0,0,62000,7,0
18,1,104,0,0,0,62000,7,0
19,1,104,0,0,0,62000,7,0
1000,1,40,0,0,0,61286,309,0
1001,1,36,0,1,0,61234,309,0
1002,1,100,0,0,0,62862,309,0
1003,1,100,0,0,0,61520,7,0
1004,1,54,0,0,0,62449,309,0
1005,1,117,0,1,0,63661,309,0
1006,1,37,0,0,0,63058,309,0
1007,1,166,0,255,0,0,6,1
1008,1,37,0,0,0,62463,309,0
1009,1,57,0,1,0,64393,309,0
1010,1,85,0,0,0,60475,309,0
1011,1,166,0,1,0,63744,7,0
1012,1,38,0,0,0,62648,309,0
1013,1,101,0,1,0,60407,309,0
1014,1,85,0,0,0,61847,309,0
1015,1,0,0,255,0,0,1,2
1016,1,133,0,0,0,59981,309,0
1017,1,138,0,1,0,59847,309,0
1018,1,154,0,0,0,61098,309,0
1019,1,182,0,0,0,65080,7,0
1020,1,134,0,0,0,59813,309,0
1021,1,148,0,1,0,60118,309,0
1022,1,164,0,0,0,59603,309,0
1023,1,181,0,255,0,0,6,1
1024,1,133,0,0,0,58982,309,0
1025,1,150,0,1,0,58982,209,0
1026,1,168,0,0,0,62312,309,0
1027,1,185,0,1,0,63446,7,0
1028,1,70,0,0,0,60703,309,0
1029,1,89,0,1,0,58982,309,0
1030,1,166,0,0,0,62328,309,0
1031,1,180,0,1,0,61982,309,0
1032,1,160,0,0,0,60167,309,0
1033,1,165,0,1,0,61948,309,0
1034,1,186,0,0,0,62513,309,0
1035,1,191,0,0,0,65242,7,0
1036,1,160,0,0,0,59445,309,0
1037,1,165,0,1,0,60678,309,0
1038,1,106,0,0,0,62659,309,0
1039,1,111,0,255,0,0,6,1
1040,1,176,0,0,0,63736,309,0
1041,1,165,0,1,0,63101,309,0
1042,1,186,0,0,0,64352,309,0
1043,1,175,0,1,0,60556,7,0
1044,1,144,0,0,0,60662,309,0
1045,1,181,0,1,0,62691,309,0
1046,1,170,0,0,0,60356,309,0
1047,1,0,0,255,0,0,1,2
1048,1,27,0,0,0,59537,309,0
1049,1,197,0,1,0,58982,209,0
1050,1,91,0,0,0,58982,209,0
1051,1,16,0,0,0,60768,7,0
1052,1,177,0,0,0,64910,309,0
1053,1,118,0,1,0,63593,309,0
1054,1,176,0,0,0,61827,309,0
1055,1,172,0,255,0,0,6,1
1056,1,76,0,0,0,59367,309,0
1057,1,50,0,1,0,63931,309,0
1058,1,223,0,0,0,61413,309,0
1059,1,2,0,1,0,58982,7,0
1060,1,71,0,0,0,58982,209,0
1061,1,112,0,1,0,64427,309,0
1062,1,168,0,0,0,62081,309,0
1063,1,237,0,1,0,63930,309,0
