transition_index,from_test_id,to_test_id,from_profile_id,to_profile_id
0,5,6,1,2
1,6,7,2,1
2,7,8,1,3
3,8,9,3,0
4,9,10,0,1
5,16,17,1,0
6,19,1000,0,1
7,1001,1002,1,0
8,1003,1004,0,1
9,1004,1005,1,0
10,1005,1006,0,1
11,1009,1010,1,2
12,1010,1011,2,1
13,1012,1013,1,0
14,1013,1014,0,2
15,1018,1019,2,1
16,1019,1020,1,2
17,1021,1022,2,0
18,1023,1024,0,2
19,1025,1026,2,0
20,1027,1028,0,2
21,1029,1030,2,1
22,1030,1031,1,0
23,1033,1034,0,1
24,1035,1036,1,0
25,1037,1038,0,1
26,1039,1040,1,0
27,1041,1042,0,1
28,1043,1044,1,2
29,1044,1045,2,0
30,1045,1046,0,1
31,1048,1049,1,2
32,1050,1051,2,1
33,1051,1052,1,0
34,1052,1053,0,1
35,1053,1054,1,0
36,1054,1055,0,3
37,1055,1056,3,2
38,1056,1057,2,1
39,1057,1058,1,2
40,1058,1059,2,1
41,1059,1060,1,2
42,1060,1061,2,0
43,1062,1063,0,3
