dwell_run_index,profile_id,start_sequence_index,end_sequence_index,start_test_id,end_test_id,dwell_length
0,0,0,6,0,7,7
1,1,7,8,8,9,2
2,0,9,11,10,12,3
3,1,12,14,13,15,3
4,2,15,17,16,18,3
5,3,18,18,19,19,1
6,0,19,21,1000,1002,3
7,1,22,24,1003,1005,3
8,0,25,28,1006,1009,4
9,2,29,31,1010,1012,3
10,0,32,35,1013,1017,4
11,3,36,38,1018,1020,3
12,2,39,41,1021,1023,3
13,0,42,44,1024,1026,3
14,2,45,47,1027,1029,3
15,3,48,50,1030,1032,3
16,0,51,53,1033,1035,3
17,1,54,56,1036,1038,3
18,0,57,59,1039,1041,3
19,2,60,62,1042,1044,3
20,0,63,66,1045,1049,4
21,2,67,69,1050,1052,3
22,0,70,74,1053,1057,5
23,3,75,77,1058,1060,3
24,0,78,80,1061,1063,3
