topology,algorithm,rate,seed,blocking_probability,mean_bottleneck_fidelity,mean_max_utilization,mean_hops,mean_distance_km,mean_decision_latency_ms,requests,served,blocked
irregular12,distance,2,1,0.1439,0.9681553076743371,0.572398326194,1.8812,46.91,0.02,10000,8561,1439
irregular12,distance,2,2,0.1404,0.9680412890879478,0.57676297705,1.9006,47.4489,0.02,10000,8596,1404
irregular12,distance,2,3,0.1451,0.9682045041525325,0.575309686642,1.8849,46.9874,0.02,10000,8549,1451
irregular12,distance,2,4,0.1377,0.9679261846225211,0.577141285378,1.901,47.4955,0.02,10000,8623,1377
irregular12,distance,2,5,0.1417,0.967876389141326,0.578265051538,1.9085,47.6319,0.02,10000,8583,1417
irregular12,distance,2,6,0.1414,0.9683039811320752,0.57761172423,1.901,47.4117,0.02,10000,8586,1414
irregular12,distance,2,7,0.1396,0.9680300414923292,0.57898618667,1.914,47.6719,0.02,10000,8604,1396
irregular12,distance,2,8,0.1478,0.9678980071579443,0.570565878638,1.8775,46.8246,0.02,10000,8522,1478
irregular12,distance,2,9,0.1383,0.9681775297667402,0.57867918011,1.91,47.633,0.02,10000,8617,1383
irregular12,distance,2,10,0.1358,0.9679928686646608,0.581683588514,1.9025,47.4822,0.02,10000,8642,1358
irregular12,distance,2,11,0.1478,0.9680608961511381,0.56902756281,1.876,46.7345,0.02,10000,8522,1478
irregular12,distance,2,12,0.1467,0.9678330734794327,0.572852072212,1.8928,47.2892,0.02,10000,8533,1467
irregular12,distance,2,13,0.1386,0.9680806578825167,0.576432856102,1.8963,47.4223,0.02,10000,8614,1386
irregular12,distance,2,14,0.1381,0.9680452720733265,0.576413149516,1.9043,47.4489,0.02,10000,8619,1381
irregular12,distance,2,15,0.1381,0.9681082192829794,0.57838076028,1.8977,47.4358,0.02,10000,8619,1381
irregular12,distance,2,16,0.1444,0.9680782035998129,0.574471357164,1.8922,47.2668,0.02,10000,8556,1444
irregular12,distance,2,17,0.1448,0.9679125461880264,0.5708467613429999,1.887,47.1099,0.02,10000,8552,1448
irregular12,distance,2,18,0.1389,0.9682197570549298,0.576864053045,1.888,47.0198,0.02,10000,8611,1389
irregular12,distance,2,19,0.1404,0.9680000371102839,0.5735222178080001,1.8804,46.9904,0.02,10000,8596,1404
irregular12,distance,2,20,0.136,0.967990798726852,0.58562816332,1.9256,48.0197,0.02,10000,8640,1360
irregular12,distance,2,21,0.134,0.9679622722863741,0.582082002106,1.9269,48.2096,0.02,10000,8660,1340
irregular12,distance,2,22,0.1474,0.9680681102509968,0.571197479904,1.8773,46.9339,0.02,10000,8526,1474
irregular12,distance,2,23,0.1444,0.9684051306685367,0.57199699038,1.8802,46.9223,0.02,10000,8556,1444
irregular12,distance,2,24,0.1409,0.9681119846350832,0.576830979268,1.8977,47.2818,0.02,10000,8591,1409
irregular12,distance,2,25,0.1401,0.9679053459704617,0.5770883880000001,1.8908,47.1766,0.02,10000,8599,1401
irregular12,distance,2,26,0.1428,0.9680849343210453,0.5755572806379999,1.8855,47.0856,0.02,10000,8572,1428
irregular12,distance,2,27,0.1454,0.9679839461736486,0.574383943146,1.8882,47.1005,0.02,10000,8546,1454
irregular12,distance,2,28,0.1443,0.968030012971836,0.571224360616,1.8856,47.1383,0.02,10000,8557,1443
irregular12,distance,2,29,0.143,0.9681138997666278,0.5735294627799999,1.8922,47.0963,0.02,10000,8570,1430
irregular12,distance,2,30,0.1429,0.9679069842492125,0.579144645892,1.9063,47.4978,0.02,10000,8571,1429
irregular12,distance,5,1,0.3171,0.9652797286571972,0.43316996308999994,1.5307,37.9575,0.02,10000,6829,3171
irregular12,distance,5,2,0.3089,0.9657215388511068,0.435853939472,1.5229,37.7366,0.02,10000,6911,3089
irregular12,distance,5,3,0.3096,0.9653964073001159,0.43533111757200005,1.5377,38.064,0.02,10000,6904,3096
irregular12,distance,5,4,0.3042,0.9656100740155217,0.44436766305600006,1.5598,38.6287,0.02,10000,6958,3042
irregular12,distance,5,5,0.3015,0.9655596048675733,0.443370396894,1.557,38.5259,0.02,10000,6985,3015
irregular12,distance,5,6,0.3056,0.9655416084389401,0.443600907842,1.5467,38.3763,0.02,10000,6944,3056
irregular12,distance,5,7,0.3145,0.965516214587892,0.43329572813100004,1.5164,37.5519,0.02,10000,6855,3145
irregular12,distance,5,8,0.3087,0.9654256157963258,0.437422732456,1.5362,38.0809,0.02,10000,6913,3087
irregular12,distance,5,9,0.3051,0.9652727062886746,0.445026279254,1.5539,38.5056,0.02,10000,6949,3051
irregular12,distance,5,10,0.3087,0.9653006032113409,0.43890353701800006,1.5435,38.2991,0.02,10000,6913,3087
irregular12,distance,5,11,0.3028,0.9653834991394148,0.444513454554,1.5673,38.8479,0.02,10000,6972,3028
irregular12,distance,5,12,0.311,0.9658003104499273,0.43492487740799995,1.5326,38.0314,0.02,10000,6890,3110
irregular12,distance,5,13,0.3193,0.9655621610107241,0.429916474492,1.5227,37.6397,0.02,10000,6807,3193
irregular12,distance,5,14,0.3074,0.965277759457118,0.43926936689499996,1.5509,38.4346,0.02,10000,6926,3074
irregular12,distance,5,15,0.3079,0.9655983761017193,0.438697207601,1.5454,38.1811,0.02,10000,6921,3079
irregular12,distance,5,16,0.3079,0.9654730086692673,0.44265166943000006,1.5455,38.3588,0.02,10000,6921,3079
irregular12,distance,5,17,0.3094,0.9655414105125977,0.436916319722,1.5432,38.3733,0.02,10000,6906,3094
irregular12,distance,5,18,0.3045,0.9650544767792953,0.44336382089400006,1.5573,38.4951,0.02,10000,6955,3045
irregular12,distance,5,19,0.3168,0.9658512593676815,0.432495459767,1.5211,37.6538,0.02,10000,6832,3168
irregular12,distance,5,20,0.3082,0.9652190166233017,0.438963226852,1.5471,38.3392,0.02,10000,6918,3082
irregular12,distance,5,21,0.3046,0.9654369358642508,0.44176930310199997,1.5554,38.5302,0.02,10000,6954,3046
irregular12,distance,5,22,0.3127,0.9652704283427905,0.43413723257000003,1.5286,37.9018,0.02,10000,6873,3127
irregular12,distance,5,23,0.3022,0.9654791850100315,0.445107892042,1.5526,38.5074,0.02,10000,6978,3022
irregular12,distance,5,24,0.3034,0.9652549358311798,0.4433940643,1.5464,38.4464,0.02,10000,6966,3034
irregular12,distance,5,25,0.3048,0.9652214755466051,0.443712488574,1.5508,38.3697,0.02,10000,6952,3048
irregular12,distance,5,26,0.3083,0.9655069404366055,0.43938039840800003,1.5474,38.4603,0.02,10000,6917,3083
irregular12,distance,5,27,0.309,0.965402152243126,0.440045979,1.5427,38.2623,0.02,10000,6910,3090
irregular12,distance,5,28,0.3048,0.9654387898446489,0.44282479762800003,1.5665,38.7585,0.02,10000,6952,3048
irregular12,distance,5,29,0.3085,0.965330624439624,0.437910135831,1.5387,38.1101,0.02,10000,6915,3085
irregular12,distance,5,30,0.3153,0.9652517628158317,0.43177483591,1.5316,37.9901,0.02,10000,6847,3153
irregular12,distance,10,1,0.5033,0.9603621000603987,0.286332686158,1.127,27.802,0.02,10000,4967,5033
irregular12,distance,10,2,0.512,0.9611960176229508,0.27897467928,1.108,27.2297,0.02,10000,4880,5120
irregular12,distance,10,3,0.4993,0.9616053129618535,0.286719927925,1.1139,27.4279,0.02,10000,5007,4993
irregular12,distance,10,4,0.5091,0.961175002037075,0.279888570154,1.1003,27.0337,0.02,10000,4909,5091
irregular12,distance,10,5,0.5141,0.9615043060300473,0.273294045376,1.0691,26.3271,0.02,10000,4859,5141
irregular12,distance,10,6,0.509,0.9614740600814664,0.27919876415600003,1.1056,27.262,0.02,10000,4910,5090
irregular12,distance,10,7,0.5121,0.9608693529411764,0.27642759334,1.0919,26.9102,0.02,10000,4879,5121
irregular12,distance,10,8,0.5087,0.96149723183391,0.27875540160400003,1.0965,26.959,0.02,10000,4913,5087
irregular12,distance,10,9,0.5008,0.9614880058092948,0.28449274368800004,1.1162,27.4388,0.02,10000,4992,5008
irregular12,distance,10,10,0.504,0.9612636858870967,0.28521010849399997,1.1165,27.4502,0.02,10000,4960,5040
