case_id,case_name,t_s,t0_s,tau_s,f_init,exact_f,lut_f,abs_error,exact_q016,lut_q016
0,t0,0.00000000,0.00000000,0.05000000,0.97000000,0.970000000000,0.969985503929,1.449607080184e-05,63569,63568
1,tau,0.05000000,0.00000000,0.05000000,0.97000000,0.356843057936,0.356832227054,1.083088205323e-05,23386,23385
2,8tau,0.40000000,0.00000000,0.05000000,0.97000000,0.000325398749,0.000000000000,3.253987490654e-04,21,0
3,mid,0.02500000,0.00000000,0.05000000,0.97000000,0.588334739921,0.588311589227,2.315069412384e-05,38557,38555
4,sweep_00,0.00000000,0.00000000,0.05000000,0.97000000,0.970000000000,0.969985503929,1.449607080184e-05,63569,63568
5,sweep_01,0.00625000,0.00000000,0.05000000,0.97000000,0.856021995507,0.856000610361,2.138514618177e-05,56099,56098
6,sweep_02,0.01250000,0.00000000,0.05000000,0.97000000,0.755436759579,0.755428397040,8.362539512974e-06,49508,49507
7,sweep_03,0.01875000,0.00000000,0.05000000,0.97000000,0.666670600427,0.666666666667,3.933760576280e-06,43690,43690
8,sweep_04,0.02500000,0.00000000,0.05000000,0.97000000,0.588334739921,0.588311589227,2.315069412384e-05,38557,38555
9,sweep_05,0.03125000,0.00000000,0.05000000,0.97000000,0.519203585663,0.519188220035,1.536562832471e-05,34026,34025
10,sweep_06,0.03750000,0.00000000,0.05000000,0.97000000,0.458195556159,0.458182650492,1.290566668072e-05,30028,30027
11,sweep_07,0.04375000,0.00000000,0.05000000,0.97000000,0.404356159088,0.404348821241,7.337847594602e-06,26499,26499
12,sweep_08,0.05000000,0.00000000,0.05000000,0.97000000,0.356843057936,0.356832227054,1.083088205323e-05,23386,23385
13,sweep_09,0.05625000,0.00000000,0.05000000,0.97000000,0.314912893338,0.314900434882,1.245845547521e-05,20638,20637
14,sweep_10,0.06250000,0.00000000,0.05000000,0.97000000,0.277909652954,0.277897306783,1.234617174911e-05,18213,18212
15,sweep_11,0.06875000,0.00000000,0.05000000,0.97000000,0.245254407931,0.245242999924,1.140800689919e-05,16073,16072
16,sweep_12,0.07500000,0.00000000,0.05000000,0.97000000,0.216436255344,0.216433966583,2.288761234842e-06,14184,14184
17,sweep_13,0.08125000,0.00000000,0.05000000,0.97000000,0.191004324948,0.190997177081,7.147867119139e-06,12517,12517
18,sweep_14,0.08750000,0.00000000,0.05000000,0.97000000,0.168560725147,0.168551155871,9.569276023053e-06,11047,11046
19,sweep_15,0.09375000,0.00000000,0.05000000,0.97000000,0.148754317840,0.148744945449,9.372390583906e-06,9749,9748
20,sweep_16,0.10000000,0.00000000,0.05000000,0.97000000,0.131275224740,0.131258106355,1.711838413168e-05,8603,8602
21,sweep_17,0.10625000,0.00000000,0.05000000,0.97000000,0.115849979219,0.115846494240,3.484978998783e-06,7592,7592
22,sweep_18,0.11250000,0.00000000,0.05000000,0.97000000,0.102237247825,0.102220187686,1.706013903907e-05,6700,6699
23,sweep_19,0.11875000,0.00000000,0.05000000,0.97000000,0.090224054534,0.090226596475,2.541940822359e-06,5913,5913
24,sweep_20,0.12500000,0.00000000,0.05000000,0.97000000,0.079622448665,0.079606317235,1.613143011661e-05,5218,5217
25,sweep_21,0.13125000,0.00000000,0.05000000,0.97000000,0.070266564323,0.070252536812,1.402751083358e-05,4605,4604
26,sweep_22,0.13750000,0.00000000,0.05000000,0.97000000,0.062010025371,0.062012664988,2.639617667916e-06,4064,4064
27,sweep_23,0.14375000,0.00000000,0.05000000,0.97000000,0.054723655319,0.054718852522,4.802797110633e-06,3586,3586
28,sweep_24,0.15000000,0.00000000,0.05000000,0.97000000,0.048293456317,0.048294804303,1.347986216170e-06,3165,3165
29,sweep_25,0.15625000,0.00000000,0.05000000,0.97000000,0.042618825615,0.042603189136,1.563647912878e-05,2793,2792
30,sweep_26,0.16250000,0.00000000,0.05000000,0.97000000,0.037610981597,0.037598229953,1.275164331037e-05,2465,2464
31,sweep_27,0.16875000,0.00000000,0.05000000,0.97000000,0.033191574762,0.033173113603,1.846115889803e-05,2175,2174
32,sweep_28,0.17500000,0.00000000,0.05000000,0.97000000,0.029291461920,0.029282063020,9.398899888498e-06,1920,1919
33,sweep_29,0.18125000,0.00000000,0.05000000,0.97000000,0.025849624416,0.025833524071,1.610034515777e-05,1694,1693
34,sweep_30,0.18750000,0.00000000,0.05000000,0.97000000,0.022812213480,0.022796978714,1.523476666438e-05,1495,1494
35,sweep_31,0.19375000,0.00000000,0.05000000,0.97000000,0.020131707737,0.020126649882,5.057855746168e-06,1319,1319
36,sweep_32,0.20000000,0.00000000,0.05000000,0.97000000,0.017766169722,0.017746242466,1.992725621422e-05,1164,1163
37,sweep_33,0.20625000,0.00000000,0.05000000,0.97000000,0.015678589751,0.015671015488,7.574262613674e-06,1027,1027
38,sweep_34,0.21250000,0.00000000,0.05000000,0.97000000,0.013836306892,0.013824673838,1.163305332232e-05,907,906
39,sweep_35,0.21875000,0.00000000,0.05000000,0.97000000,0.012210497975,0.012207217517,3.280457803841e-06,800,800
40,sweep_36,0.22500000,0.00000000,0.05000000,0.97000000,0.010775726642,0.010772869459,2.857183027363e-06,706,706
41,sweep_37,0.23125000,0.00000000,0.05000000,0.97000000,0.009509545385,0.009491111620,1.843376500200e-05,623,622
42,sweep_38,0.23750000,0.00000000,0.05000000,0.97000000,0.008392144347,0.008377203021,1.494132574068e-05,550,549
43,sweep_39,0.24375000,0.00000000,0.05000000,0.97000000,0.007406041392,0.007385366598,2.067479429309e-05,485,484
