section,stage_or_topology,metric,value,extra
timing_progression,tc3,kind,post-synthesis,qflow_top_tc3
timing_progression,tc3,WNS_ns,-68.443,qflow_top_tc3
timing_progression,tc3,TNS_ns,-1412.372,qflow_top_tc3
timing_progression,tc3,Requirement_ns,10.0,qflow_top_tc3
timing_progression,tc3,Data_path_delay_ns,78.292,qflow_top_tc3
timing_progression,tc3,approx_Fmax_MHz,12.773,qflow_top_tc3
timing_progression,tc3,timing_met,False,qflow_top_tc3
timing_progression,tc3,Worst_source,u_skag/fdpe_s0_fidelity_reg[0]/C,qflow_top_tc3
timing_progression,tc3,Worst_destination,u_skag/fdpe_s1_dyn_term_reg[0]/D,qflow_top_tc3
timing_progression,tc4,kind,post-synthesis,qflow_top_tc4
timing_progression,tc4,WNS_ns,-8.154,qflow_top_tc4
timing_progression,tc4,TNS_ns,-178.942,qflow_top_tc4
timing_progression,tc4,Requirement_ns,10.0,qflow_top_tc4
timing_progression,tc4,Data_path_delay_ns,18.002,qflow_top_tc4
timing_progression,tc4,approx_Fmax_MHz,55.549,qflow_top_tc4
timing_progression,tc4,timing_met,False,qflow_top_tc4
timing_progression,tc4,Worst_source,u_fdpe/s1_f_init_reg[15]/C,qflow_top_tc4
timing_progression,tc4,Worst_destination,u_fdpe/s2_result_reg[0]/D,qflow_top_tc4
timing_progression,tc5,kind,post-synthesis,qflow_top_tc5
timing_progression,tc5,WNS_ns,0.033,qflow_top_tc5
timing_progression,tc5,TNS_ns,0.0,qflow_top_tc5
timing_progression,tc5,Requirement_ns,10.0,qflow_top_tc5
timing_progression,tc5,Data_path_delay_ns,9.815,qflow_top_tc5
timing_progression,tc5,approx_Fmax_MHz,101.885,qflow_top_tc5
timing_progression,tc5,timing_met,True,qflow_top_tc5
timing_progression,tc5,Worst_source,u_fdpe/s1_y0_reg[6]/C,qflow_top_tc5
timing_progression,tc5,Worst_destination,u_fdpe/s2_decay_reg[14]/D,qflow_top_tc5
timing_progression,tc5_ooc_impl,kind,OOC post-route,qflow_top_tc5
timing_progression,tc5_ooc_impl,WNS_ns,0.039,qflow_top_tc5
timing_progression,tc5_ooc_impl,TNS_ns,0.0,qflow_top_tc5
timing_progression,tc5_ooc_impl,Requirement_ns,,qflow_top_tc5
timing_progression,tc5_ooc_impl,Data_path_delay_ns,,qflow_top_tc5
timing_progression,tc5_ooc_impl,approx_Fmax_MHz,100.39152695512499,qflow_top_tc5
timing_progression,tc5_ooc_impl,timing_met,False,qflow_top_tc5
timing_progression,tc5_ooc_impl,Worst_source,,qflow_top_tc5
timing_progression,tc5_ooc_impl,Worst_destination,,qflow_top_tc5
timing_progression,tc5_ooc_impl,WHS_ns,0.098,qflow_top_tc5
timing_progression,tc5_ooc_impl,THS_ns,0.0,qflow_top_tc5
timing_progression,tc5_ooc_impl,route_completed,,qflow_top_tc5
timing_progression,tc5_ooc_impl,routable_nets,3828,qflow_top_tc5
timing_progression,tc5_ooc_impl,fully_routed_nets,3828,qflow_top_tc5
timing_progression,tc5_ooc_impl,nets_with_routing_errors,0,qflow_top_tc5
baseline_stats,mesh9,dijkstra_distance.mean_avg_hops,3.35,
baseline_stats,mesh9,dijkstra_distance.mean_avg_distance_km,76.12083333333334,
baseline_stats,mesh9,dijkstra_distance.mean_avg_latency,6.31986279371169,
baseline_stats,mesh9,dijkstra_distance.latency_ci95,0.13789691800657858,
baseline_stats,mesh9,dijkstra_distance.mean_avg_bottleneck_fidelity,0.9169923295776281,
baseline_stats,mesh9,dijkstra_distance.fidelity_ci95,0.0014937912488730781,
baseline_stats,mesh9,dijkstra_distance.mean_avg_load_balance,0.12156084656084656,
baseline_stats,mesh9,dijkstra_distance.load_balance_ci95,0.040157555491381385,
baseline_stats,mesh9,dijkstra_distance.mean_total_runtime_ms,0.06525299997216887,
baseline_stats,mesh9,dijkstra_keyaware.mean_avg_hops,3.35,
baseline_stats,mesh9,dijkstra_keyaware.mean_avg_distance_km,77.68333333333334,
baseline_stats,mesh9,dijkstra_keyaware.mean_avg_latency,6.22525804403463,
baseline_stats,mesh9,dijkstra_keyaware.latency_ci95,0.1281598726901822,
baseline_stats,mesh9,dijkstra_keyaware.mean_avg_bottleneck_fidelity,0.9177087376831932,
baseline_stats,mesh9,dijkstra_keyaware.fidelity_ci95,0.001574054508294823,
