index,value_hex,value_dec
0,32e7edd0ef5feb17,3668161903141579543
1,1543ee95c6d7cf5b,1532330625289670491
2,eae4cb5f1eddeff0,16925876908965359600
3,188419320f3a83a9,1766564656630629289
4,fd0fea1bfcfe3be2,18235050822175964130
5,4d844ad2bce63a25,5585671706819050021
6,1e74c8fb3f4fbf9b,2194599899860811675
7,629020d2cf41de76,7102212702155693686
8,c23b8f17b3ec0315,13995937598949557013
9,7a132b4d98289075,8796422109449982069
10,44bdcbf3b18a7f98,4953339412693548952
11,ad5ea0b8f11758f2,12492599132551600370
12,5e81b827464ada66,6809926590383446630
13,179db7cd636aadd7,1701718326980029911
14,d5b7803830ef0c5f,15399918429644196959
15,b2e82a7bb34f045b,12891600644125688923
16,4848367eaf8c5b69,5208472886792969065
17,d376b0048c42f780,15237559922834208640
18,cada38f80d15f08c,14617058178606952588
19,01a9be4061f6e039,119836048832782393
20,bab5fc302a5a6cfe,13453936745638423806
21,194f0a0b650cd16d,1823687418164597101
22,f6c4eb1f5113499d,17781595748502292893
23,e8cb5a75ac8a591c,16774600698523965724
24,636d927a36633515,7164543635812463893
25,421904645ca76d13,4762842910018727187
26,29860c885ea17b77,2992092782277000055
27,795a54741bee49ec,8744394484154780140
28,1403a46c187504cf,1442177089862436047
29,e09ac5227183f4f0,16184464962633331952
30,96a30e50aee148d7,10854535266587199703
31,04cfcfd496774c46,346724208295234630
32,57b5a997540802d7,6320144119499326167
33,b82ea6b26faddbb4,13271728437215484852
34,23cecf7329b78f79,2580227730057957241
35,2a4800fec4844b9a,3046686242134838170
36,97941f2245e5490c,10922389228342298892
37,eda1915733f82e3b,17123127061959421499
38,a8289fe5d94f2007,12117110606982488071
39,9e2d719c92aebe31,11397891149234355761
40,c8f58bf7194f25fa,14480634070277498362
41,dc83bb75da2217a8,15889750025138476968
42,0f09fee187a95c6d,1083677429956435053
43,f9710bacd949c5de,17974160424820131294
44,7aab221c2c455d7e,8839196198041902462
45,a785dfe3511a9b62,12071300543647751010
46,3ac0a49e5a130152,4233564649751249234
47,850f2ce4d8ec024b,9587931493098586699
48,db0191b2c796c371,15781054766321681265
49,e985d98e3c213311,16827094787657118481
50,e0247de9787d539e,16151172605359772574
51,af3cad7f344bc680,12627158217089861248
52,dbd48084666235cd,15840427095510627789
53,6d11b64b176a0633,7859263258369852979
54,536e79d1a144f521,6011876493846967585
55,1fc8427b13385f08,2290153506888769288
56,e3194f372ecc9d34,16364197819454364980
57,ffe77fe35eb860a5,18439847813815230629
58,8175524d15517400,9328452694191469568
59,9341073c384e1d02,10610770152285674754
60,f2c30c033f87445d,17492838585727403101
61,f8e613164b05853a,17935043552518440250
62,07c3e3539a25f6ed,559540726932043501
63,9339155bba52b66e,10608533880960104046
64,1d4684088bc4ce2d,2109518647709191725
