partition,seed,trace_sha256,step_log_sha256,steps,successes,blocked,cumulative_reward,unique_states,final_done
train,101,f21d07dc5324be68374031c821eb6413669174f87fecff8ee658e1526f394a9f,ea44981a36a25dc007c372dea7e7688094548f5957e7edfb04c1a5699ecf27ce,512,512,0,2362.713513819514,51,True
train,211,5635eabbe698f8899309c5023856c73554f577a4ae5b1d83e4f466e997522942,9437ba601f437182140a8449ae7b5936637882b9c6eb209f20d2e88ceb513208,512,512,0,2367.545596126096,51,True
train,307,a1ad880f0db71717b75c88e8a61b3f82229a175e2ad9a2d1ddcb1227b00403a8,1af7c026085297033aab5951fd6ffdc4131b3e202bb41b474f874001c803e3ad,512,512,0,2359.659954434454,49,True
train,401,5853b76226cceb69d092950746a2131ed33fb94bfd9546eda4ce15212c161129,af8e229af260fa1fffc467365b0ba7814feec68667e1a16cdebb6ab946c7244a,512,512,0,2362.570523476523,48,True
train,503,ef1cc63e5124da2287ebff2b3d5483000a07722f1a8e5bf0975b6df454c2e3f5,5a8ec56a861cc5ee1f8b9ccd4107a19bd7c4ad11a073a707f45bb528abd02329,512,512,0,2364.777985791985,48,True
train,601,d6fb7fea94174f8a35d88adbdc2070f1a795152979e886b18ff4067fb63a8e17,c5fd049889ccda5f6a09c7a4c7f8ab619e14e2e68083deadf28dd87b24386d70,512,512,0,2362.601430902431,46,True
train,701,6a7cf3bfe6a32fe0117c054aca3748460db8b1e5b76d36e92adedfc6a2ae6451,f250adca0878f1d281c4e9eb68f3a959a0bffa3b7bed52d782b4707ed746f65a,512,512,0,2369.929051115551,53,True
train,809,71c162f014112e56c88ee60ff4f73eb6be1dfbe9ac9f489dd691ac665a2e32f8,298a4dfea73d3975b8c6c13409330c158bb9ec9940614bcc0242e88e18018cba,512,512,0,2356.784258075258,51,True
validation,1009,aa25bd63b8ce074a2a644ee070989752e27abaef5d3759c4849767a97e711a3b,ca85421dbb90929bf5bfd37ecf62f6a7a38a5ec165f4134cdb40c20454e34698,512,512,0,2365.000424186924,52,True
validation,1103,836fc27fa4f7901a7c357185a27f75130a4c9906df5bf38614b9dc37dc5880bb,e0b44f4225948316a6cc89495611be032a1ce53027adbb39ae05a880b1a580c8,512,512,0,2365.721183927184,50,True
validation,1201,55cbb81f4e873dc76d4a6a14ac7062b71ba6253a863c44b7f8a06a67c6bcc498,4b0b214b5aeb188c5d98dc2ac0511cc6f499ae951e797c989e2f3ede210aae2b,512,512,0,2370.825160561660,47,True
validation,1301,6d425fe6c90827d5bd0d58b7e82a868d2ae79e0c453cc4b51195ab076b5cf36a,aeffa35302b8bd3b52c6182496b3c6169fc606ff140e093329b45b2989955ce8,512,512,0,2362.047625763125,50,True
test,2003,52e590b70cf4dad07f2ecfd2fd74a1cf67e9d514c085b3c440492b2523dfe655,68deac667801de9f9080e247e5ea0dbcf097b6e8bdffbf140b0a4984dca0ef64,512,512,0,2357.487612387612,46,True
test,2111,1fe550a288d5f04944eec4b0c519d2414d27a3552232f2f06b07b9d933380650,7467102a549d905d5d9a37a79196daa43de78174c77d45dec5ca9b6290bba423,512,512,0,2364.421354645354,50,True
test,2203,30b32ce3cc133dc50f6d3caede5f8afb60e761263c5e1f83bb1ff85c8ef818e7,77f883e880ca47fa67bae5798bc671c6b64f27c90dd72239da4fa1232d671181,512,512,0,2362.145387001887,46,True
test,2309,2400f3b72a75f5b375d55022753b470fa31fd2f1d7762485a2cc671d62eec3bd,3a4ea361258cc92648b8f7d7aaec45413dc75eea22623d339e96e65d75afc706,512,512,0,2363.419003774004,48,True
