source,case,action_id,profile,float_path,integer_ratio_path,match
controlled_sensitivity,resource_fidelity_tradeoff_moderate,0,balanced,"[0,5,4,3]","[0,5,4,3]",True
controlled_sensitivity,resource_fidelity_tradeoff_severe,0,balanced,"[0,5,4,3]","[0,5,4,3]",True
controlled_sensitivity,slow_replenishment_tradeoff,0,balanced,"[0,5,4,3]","[0,5,4,3]",True
controlled_sensitivity,short_path_quality_tradeoff_moderate,0,balanced,"[0,1,2]","[0,1,2]",True
controlled_sensitivity,short_path_quality_tradeoff_severe,0,balanced,"[0,1,2]","[0,1,2]",True
canonical_h2_pareto,ring6_seed42,0,balanced,"[0,5,4,3]","[0,5,4,3]",True
controlled_sensitivity,resource_fidelity_tradeoff_moderate,1,scarcity_protection,"[0,5,4,3]","[0,5,4,3]",True
controlled_sensitivity,resource_fidelity_tradeoff_severe,1,scarcity_protection,"[0,5,4,3]","[0,5,4,3]",True
controlled_sensitivity,slow_replenishment_tradeoff,1,scarcity_protection,"[0,5,4,3]","[0,5,4,3]",True
controlled_sensitivity,short_path_quality_tradeoff_moderate,1,scarcity_protection,"[0,5,4,3,2]","[0,5,4,3,2]",True
controlled_sensitivity,short_path_quality_tradeoff_severe,1,scarcity_protection,"[0,5,4,3,2]","[0,5,4,3,2]",True
canonical_h2_pareto,ring6_seed42,1,scarcity_protection,"[0,5,4,3]","[0,5,4,3]",True
controlled_sensitivity,resource_fidelity_tradeoff_moderate,2,fidelity_protection,"[0,1,2,3]","[0,1,2,3]",True
controlled_sensitivity,resource_fidelity_tradeoff_severe,2,fidelity_protection,"[0,1,2,3]","[0,1,2,3]",True
controlled_sensitivity,slow_replenishment_tradeoff,2,fidelity_protection,"[0,1,2,3]","[0,1,2,3]",True
controlled_sensitivity,short_path_quality_tradeoff_moderate,2,fidelity_protection,"[0,5,4,3,2]","[0,5,4,3,2]",True
controlled_sensitivity,short_path_quality_tradeoff_severe,2,fidelity_protection,"[0,5,4,3,2]","[0,5,4,3,2]",True
canonical_h2_pareto,ring6_seed42,2,fidelity_protection,"[0,1,2,3]","[0,1,2,3]",True
controlled_sensitivity,resource_fidelity_tradeoff_moderate,3,low_latency,"[0,5,4,3]","[0,5,4,3]",True
controlled_sensitivity,resource_fidelity_tradeoff_severe,3,low_latency,"[0,5,4,3]","[0,5,4,3]",True
controlled_sensitivity,slow_replenishment_tradeoff,3,low_latency,"[0,5,4,3]","[0,5,4,3]",True
controlled_sensitivity,short_path_quality_tradeoff_moderate,3,low_latency,"[0,1,2]","[0,1,2]",True
controlled_sensitivity,short_path_quality_tradeoff_severe,3,low_latency,"[0,1,2]","[0,1,2]",True
canonical_h2_pareto,ring6_seed42,3,low_latency,"[0,5,4,3]","[0,5,4,3]",True
