intent,alphas,lambda_tch,lambda_tch_hw_ratio,correct_count,scenario_count,minimum_margin,mean_margin,alpha_distance,ratio_complexity,eligible,selected
fidelity_protection,"[1.0, 2.0, 0.5, 3.0]","[0.25, 0.5, 0.25]","[1, 2, 1]",5,5,0.249831678437,0.249875143700,1.500000,4,true,true
fidelity_protection,"[1.0, 2.0, 0.5, 3.0]","[0.2, 0.6, 0.2]","[1, 3, 1]",5,5,0.399797548897,0.399847494147,1.500000,5,true,false
fidelity_protection,"[1.0, 2.0, 0.5, 3.0]","[0.16666666666666666, 0.6666666666666666, 0.16666666666666666]","[1, 4, 1]",5,5,0.499774795871,0.499829061112,1.500000,6,true,false
fidelity_protection,"[1.0, 3.0, 0.5, 3.0]","[0.25, 0.5, 0.25]","[1, 2, 1]",5,5,0.249831247119,0.249877060451,2.500000,4,true,false
fidelity_protection,"[1.0, 2.0, 0.5, 4.0]","[0.25, 0.5, 0.25]","[1, 2, 1]",5,5,0.249831692797,0.249876565105,2.500000,4,true,false
fidelity_protection,"[1.0, 3.0, 0.5, 3.0]","[0.2, 0.6, 0.2]","[1, 3, 1]",5,5,0.399797203843,0.399849027548,2.500000,5,true,false
fidelity_protection,"[1.0, 2.0, 0.5, 4.0]","[0.2, 0.6, 0.2]","[1, 3, 1]",5,5,0.399797560385,0.399848631272,2.500000,5,true,false
fidelity_protection,"[1.0, 3.0, 0.5, 3.0]","[0.16666666666666666, 0.6666666666666666, 0.16666666666666666]","[1, 4, 1]",5,5,0.499774508326,0.499830338946,2.500000,6,true,false
fidelity_protection,"[1.0, 2.0, 0.5, 4.0]","[0.16666666666666666, 0.6666666666666666, 0.16666666666666666]","[1, 4, 1]",5,5,0.499774805444,0.499830008716,2.500000,6,true,false
fidelity_protection,"[1.0, 3.0, 0.5, 4.0]","[0.25, 0.5, 0.25]","[1, 2, 1]",5,5,0.249831252778,0.249877284292,3.500000,4,true,false
fidelity_protection,"[1.0, 4.0, 0.5, 3.0]","[0.25, 0.5, 0.25]","[1, 2, 1]",5,5,0.249831049164,0.249877283807,3.500000,4,true,false
fidelity_protection,"[1.0, 3.0, 0.5, 4.0]","[0.2, 0.6, 0.2]","[1, 3, 1]",5,5,0.399797208370,0.399849206621,3.500000,5,true,false
fidelity_protection,"[1.0, 4.0, 0.5, 3.0]","[0.2, 0.6, 0.2]","[1, 3, 1]",5,5,0.399797045479,0.399849206233,3.500000,5,true,false
fidelity_protection,"[1.0, 3.0, 0.5, 4.0]","[0.16666666666666666, 0.6666666666666666, 0.16666666666666666]","[1, 4, 1]",5,5,0.499774512098,0.499830488173,3.500000,6,true,false
fidelity_protection,"[1.0, 4.0, 0.5, 3.0]","[0.16666666666666666, 0.6666666666666666, 0.16666666666666666]","[1, 4, 1]",5,5,0.499774376355,0.499830487850,3.500000,6,true,false
fidelity_protection,"[1.0, 4.0, 0.5, 4.0]","[0.25, 0.5, 0.25]","[1, 2, 1]",5,5,0.249831052169,0.249877707497,4.500000,4,true,false
fidelity_protection,"[1.0, 4.0, 0.5, 4.0]","[0.2, 0.6, 0.2]","[1, 3, 1]",5,5,0.399797047883,0.399849545185,4.500000,5,true,false
fidelity_protection,"[1.0, 4.0, 0.5, 4.0]","[0.16666666666666666, 0.6666666666666666, 0.16666666666666666]","[1, 4, 1]",5,5,0.499774378359,0.499830770310,4.500000,6,true,false
fidelity_protection,"[1.0, 2.0, 0.5, 3.0]","[0.3333333333333333, 0.5, 0.16666666666666666]","[2, 3, 1]",5,5,0.166498732793,0.199875195926,1.500000,6,false,false
fidelity_protection,"[1.0, 3.0, 0.5, 3.0]","[0.3333333333333333, 0.5, 0.16666666666666666]","[2, 3, 1]",5,5,0.166498157703,0.199877989048,2.500000,6,false,false
fidelity_protection,"[1.0, 2.0, 0.5, 4.0]","[0.3333333333333333, 0.5, 0.16666666666666666]","[2, 3, 1]",5,5,0.166498751939,0.199877091133,2.500000,6,false,false
fidelity_protection,"[1.0, 4.0, 0.5, 3.0]","[0.3333333333333333, 0.5, 0.16666666666666666]","[2, 3, 1]",5,5,0.166497893763,0.233208670282,3.500000,6,false,false
fidelity_protection,"[1.0, 3.0, 0.5, 4.0]","[0.3333333333333333, 0.5, 0.16666666666666666]","[2, 3, 1]",5,5,0.166498165247,0.199895407068,3.500000,6,false,false
fidelity_protection,"[1.0, 4.0, 0.5, 4.0]","[0.3333333333333333, 0.5, 0.16666666666666666]","[2, 3, 1]",5,5,0.166497897769,0.233209235203,4.500000,6,false,false
low_latency,"[0.5, 1.0, 0.5, 1.0]","[0.5, 0.25, 0.25]","[2, 1, 1]",5,5,0.250001792940,0.250025739478,2.000000,4,true,true
low_latency,"[0.5, 1.0, 0.5, 1.0]","[0.6, 0.2, 0.2]","[3, 1, 1]",5,5,0.399988948210,0.400014523173,2.000000,5,true,false
low_latency,"[0.5, 1.0, 0.5, 1.0]","[0.6666666666666666, 0.16666666666666666, 0.16666666666666666]","[4, 1, 1]",5,5,0.499977125873,0.500007045637,2.000000,6,true,false
low_latency,"[0.5, 1.0, 0.25, 1.0]","[0.5, 0.25, 0.25]","[2, 1, 1]",5,5,0.249792211824,0.249978875729,2.250000,4,true,false
low_latency,"[0.5, 1.0, 0.25, 1.0]","[0.6, 0.2, 0.2]","[3, 1, 1]",5,5,0.399731584340,0.399958286675,2.250000,5,true,false
low_latency,"[0.5, 1.0, 0.25, 1.0]","[0.6666666666666666, 0.16666666666666666, 0.16666666666666666]","[4, 1, 1]",5,5,0.499691166017,0.499944560638,2.250000,6,true,false
low_latency,"[0.5, 0.5, 0.5, 1.0]","[0.5, 0.25, 0.25]","[2, 1, 1]",5,5,0.249960004716,0.250019923094,2.500000,4,true,false
low_latency,"[0.5, 0.5, 0.5, 1.0]","[0.6, 0.2, 0.2]","[3, 1, 1]",5,5,0.399948518057,0.400007543512,2.500000,5,true,false
low_latency,"[0.5, 0.5, 0.5, 1.0]","[0.6666666666666666, 0.16666666666666666, 0.16666666666666666]","[4, 1, 1]",5,5,0.499940860285,0.499999290458,2.500000,6,true,false
low_latency,"[0.5, 0.5, 0.25, 1.0]","[0.5, 0.25, 0.25]","[2, 1, 1]",5,5,0.249985119177,0.250017850543,2.750000,4,true,false
low_latency,"[0.5, 0.5, 0.25, 1.0]","[0.6, 0.2, 0.2]","[3, 1, 1]",5,5,0.399978655410,0.400005056452,2.750000,5,true,false
low_latency,"[0.5, 0.5, 0.25, 1.0]","[0.6666666666666666, 0.16666666666666666, 0.16666666666666666]","[4, 1, 1]",5,5,0.499969399871,0.499996527057,2.750000,6,true,false
