trainer_seed,partition,profile_id,decision_count,fraction
17,validation,0,528,0.257812500000
17,validation,1,285,0.139160156250
17,validation,2,1082,0.528320312500
17,validation,3,153,0.074707031250
29,validation,0,743,0.362792968750
29,validation,1,278,0.135742187500
29,validation,2,972,0.474609375000
29,validation,3,55,0.026855468750
43,validation,0,628,0.306640625000
43,validation,1,562,0.274414062500
43,validation,2,228,0.111328125000
43,validation,3,630,0.307617187500
71,validation,0,791,0.386230468750
71,validation,1,169,0.082519531250
71,validation,2,983,0.479980468750
71,validation,3,105,0.051269531250
113,validation,0,617,0.301269531250
113,validation,1,151,0.073730468750
113,validation,2,1010,0.493164062500
113,validation,3,270,0.131835937500
167,validation,0,708,0.345703125000
167,validation,1,204,0.099609375000
167,validation,2,1001,0.488769531250
167,validation,3,135,0.065917968750
229,validation,0,634,0.309570312500
229,validation,1,379,0.185058593750
229,validation,2,799,0.390136718750
229,validation,3,236,0.115234375000
283,validation,0,770,0.375976562500
283,validation,1,405,0.197753906250
283,validation,2,826,0.403320312500
283,validation,3,47,0.022949218750
