controller,partition,seed,trace_id,trace_sha256,decision_count,success_count,blocking_rate,mean_total_reward,mean_success_bottleneck_fidelity,mean_balance_utility_success,mean_hops_success,switch_count,switch_rate,profile_0_count,profile_1_count,profile_2_count,profile_3_count
h2_forced_fixed,train,101,ring6_seed0101_len512,f21d07dc5324be68374031c821eb6413669174f87fecff8ee658e1526f394a9f,512,512,0.000000000000,4.614674831679,0.958344140625,0.166542019179,2.875000000000,0,0.000000000000,512,0,0,0
h3_threshold,train,101,ring6_seed0101_len512,f21d07dc5324be68374031c821eb6413669174f87fecff8ee658e1526f394a9f,512,512,0.000000000000,4.625999590904,0.959691796875,0.251499590904,2.980468750000,152,0.297455968689,80,203,127,102
h2_forced_fixed,train,211,ring6_seed0211_len512,5635eabbe698f8899309c5023856c73554f577a4ae5b1d83e4f466e997522942,512,512,0.000000000000,4.624112492434,0.958294140625,0.176979679934,2.875000000000,0,0.000000000000,512,0,0,0
h3_threshold,train,211,ring6_seed0211_len512,5635eabbe698f8899309c5023856c73554f577a4ae5b1d83e4f466e997522942,512,512,0.000000000000,4.620366157389,0.959456250000,0.250088813639,2.980468750000,151,0.295499021526,95,205,128,84
h2_forced_fixed,train,307,ring6_seed0307_len512,a1ad880f0db71717b75c88e8a61b3f82229a175e2ad9a2d1ddcb1227b00403a8,512,512,0.000000000000,4.608710848505,0.957923632812,0.168988192255,2.875000000000,0,0.000000000000,512,0,0,0
h3_threshold,train,307,ring6_seed0307_len512,a1ad880f0db71717b75c88e8a61b3f82229a175e2ad9a2d1ddcb1227b00403a8,512,512,0.000000000000,4.612989127734,0.959173632813,0.250317252734,2.976562500000,157,0.307240704501,84,219,127,82
h2_forced_fixed,train,401,ring6_seed0401_len512,5853b76226cceb69d092950746a2131ed33fb94bfd9546eda4ce15212c161129,512,512,0.000000000000,4.614395553665,0.958036523438,0.172415084915,2.875000000000,0,0.000000000000,512,0,0,0
h3_threshold,train,401,ring6_seed0401_len512,5853b76226cceb69d092950746a2131ed33fb94bfd9546eda4ce15212c161129,512,512,0.000000000000,4.613053679936,0.959130273438,0.245389617436,2.976562500000,145,0.283757338552,84,219,126,83
h2_forced_fixed,train,503,ring6_seed0503_len512,ef1cc63e5124da2287ebff2b3d5483000a07722f1a8e5bf0975b6df454c2e3f5,512,512,0.000000000000,4.618707003500,0.958484960938,0.167757784750,2.875000000000,0,0.000000000000,512,0,0,0
h3_threshold,train,503,ring6_seed0503_len512,ef1cc63e5124da2287ebff2b3d5483000a07722f1a8e5bf0975b6df454c2e3f5,512,512,0.000000000000,4.628101019315,0.959598242188,0.251565863065,2.980468750000,144,0.281800391389,74,213,127,98
