controller,partition,environment_seed,trace_sha256,decision_count,success_count,blocking_rate,mean_total_reward,mean_success_bottleneck_fidelity,mean_balance_utility_success,mean_hops_success,switch_count,switch_rate,profile_0_count,profile_1_count,profile_2_count,profile_3_count
h2_forced_fixed,test,2003,52e590b70cf4dad07f2ecfd2fd74a1cf67e9d514c085b3c440492b2523dfe655,512,512,0.000000000000,4.604467992945,0.958139648437,0.160425024195,2.875000000000,0,0.000000000000,512,0,0,0
h3_threshold,test,2003,52e590b70cf4dad07f2ecfd2fd74a1cf67e9d514c085b3c440492b2523dfe655,512,512,0.000000000000,4.626430047817,0.959243164062,0.256508172817,2.976562500000,145,0.283757338552,74,208,127,103
h4_revised_seed_229,test,2003,52e590b70cf4dad07f2ecfd2fd74a1cf67e9d514c085b3c440492b2523dfe655,512,512,0.000000000000,4.674653872603,0.960141601562,0.267720278853,2.953125000000,118,0.230919765166,94,161,163,94
h2_forced_fixed,test,2111,1fe550a288d5f04944eec4b0c519d2414d27a3552232f2f06b07b9d933380650,512,512,0.000000000000,4.618010458292,0.958005468750,0.176651083292,2.875000000000,0,0.000000000000,512,0,0,0
h3_threshold,test,2111,1fe550a288d5f04944eec4b0c519d2414d27a3552232f2f06b07b9d933380650,512,512,0.000000000000,4.629923837881,0.959480078125,0.256240244131,2.976562500000,147,0.287671232877,88,197,128,99
h4_revised_seed_229,test,2111,1fe550a288d5f04944eec4b0c519d2414d27a3552232f2f06b07b9d933380650,512,512,0.000000000000,4.679843303181,0.960105078125,0.272175334431,2.945312500000,119,0.232876712329,91,144,170,107
h2_forced_fixed,test,2203,30b32ce3cc133dc50f6d3caede5f8afb60e761263c5e1f83bb1ff85c8ef818e7,512,512,0.000000000000,4.613565208988,0.958262304687,0.167069115238,2.875000000000,0,0.000000000000,512,0,0,0
h3_threshold,test,2203,30b32ce3cc133dc50f6d3caede5f8afb60e761263c5e1f83bb1ff85c8ef818e7,512,512,0.000000000000,4.632750507739,0.959639257813,0.255395038989,2.980468750000,144,0.281800391389,79,202,127,104
h4_revised_seed_229,test,2203,30b32ce3cc133dc50f6d3caede5f8afb60e761263c5e1f83bb1ff85c8ef818e7,512,512,0.000000000000,4.679273610829,0.960928320312,0.257093923329,2.957031250000,117,0.228962818004,61,148,184,119
h2_forced_fixed,test,2309,2400f3b72a75f5b375d55022753b470fa31fd2f1d7762485a2cc671d62eec3bd,512,512,0.000000000000,4.616052741746,0.958185546875,0.171091804246,2.875000000000,0,0.000000000000,512,0,0,0
h3_threshold,test,2309,2400f3b72a75f5b375d55022753b470fa31fd2f1d7762485a2cc671d62eec3bd,512,512,0.000000000000,4.627888806072,0.959376953125,0.252361462322,2.976562500000,139,0.272015655577,84,210,128,90
h4_revised_seed_229,test,2309,2400f3b72a75f5b375d55022753b470fa31fd2f1d7762485a2cc671d62eec3bd,512,512,0.000000000000,4.674546643136,0.960568359375,0.262984143136,2.960937500000,122,0.238747553816,94,125,158,135
