trainer_seed,epoch,transition_count,cumulative_transitions,mean_original_reward,mean_training_reward,profile_0_count,profile_1_count,profile_2_count,profile_3_count,distinct_state_count,q_min,q_max,q_table_sha256
17,1,4096,4096,4.443719074654,5.217765458771,1035,1057,992,1012,106,0.000000000000,34.171771282113,6412a4c4b2bc29f2929a29e2c267feaa741c9eb08c6523b39114e27451998503
17,2,4096,8192,4.446142919120,5.184672750698,1020,990,1030,1056,107,0.000000000000,50.089776423753,0b412bf1d35758437d4f149566f0fd97a6c5d5dc79c572958baebd9397ef1418
17,3,4096,12288,4.437255867220,5.184635285288,996,1042,1002,1056,106,0.000000000000,60.178984911963,c974198400cdc4f1d995627fa4a5bc9aa669958ff49ded115617c69a261e5e89
17,4,4096,16384,4.450420909914,5.207376022469,1089,997,1029,981,103,0.000000000000,69.742559452743,f36d1d139a508490f71b3a632b189ab66aac015d8ad149dea9fa126042a7bf58
17,5,4096,20480,4.454272231336,5.212540585500,1053,998,985,1060,104,0.000000000000,77.623148822045,abe0578d07e99522f529469d411fa319f07d21a00f2764a263686a75a20eae90
17,6,4096,24576,4.442471059350,5.190106405368,1049,1006,1063,978,107,0.000000000000,83.488752220507,7f6e63fa9f624d06bd279e8f33ce0dbef56a2384392b27b26c9d89f840bb2c84
17,7,4096,28672,4.442479630911,5.184008855673,1001,1047,1064,984,113,0.000000000000,88.796132603643,bdbc8e29042b772ed6a65d6f7cdc025304396cd0c1c807f76fc3bb7eb71c90d9
17,8,4096,32768,4.435838571544,5.163431434614,1016,1015,1043,1022,100,0.000000000000,93.604438164816,e20b8d6d3f95dd727f2ef9a92eeeee711200baff9aaa57ce2625a817e8749458
17,9,4096,36864,4.439003463496,5.174963072735,999,1034,1082,981,110,0.000000000000,97.358998916405,a5adfebc343563d86fbedf6d26908027203a23c209aac4d4842090bcacb00504
17,10,4096,40960,4.435542525237,5.194530940793,1050,1043,1001,1002,106,0.000000000000,100.161316567878,840a4bd6dd32b267619ad9f4f4c69a88413b8afeec5e91ee69737657e23c8321
17,11,4096,45056,4.446800635969,5.179774321219,1027,1015,1029,1025,104,0.000000000000,102.682765768049,c19e450e278acb34dd4c549d8d68b8e4c31914d67e293ef85aaf1c65cd826d70
17,12,4096,49152,4.443596623551,5.178124775452,1081,1002,1047,966,106,0.000000000000,104.688107471508,3900531fa1a3b3454a18363b184568c0244ac2fb125345d5884f0ae4b59e1f51
17,13,4096,53248,4.436852181849,5.170090368020,1027,996,1012,1061,104,0.000000000000,106.312599247356,8203420892c897175909c857991a40797b2bc22cc9c9d30ecfcc1a96b153d78e
17,14,4096,57344,4.437271144464,5.195987409888,1045,1062,1006,983,106,0.000000000000,108.278062362239,158e24ae4be8c0b1c3408055f68eb21f2bfcc3a51e216ab39b893d72c86908d3
17,15,4096,61440,4.444083167904,5.189044585677,1028,1004,1051,1013,106,0.000000000000,109.726507770678,015949abc13e2a012f4626451dfab110a0446644671f3e5fcbfea82da50cd3a0
17,16,4096,65536,4.444192875538,5.182293963090,1084,1038,969,1005,106,0.000000000000,111.432915648243,73ed7094a006198a655bdf9dcfd47f06e009ceb0a5443578b07e057c46640e3e
17,17,4096,69632,4.442641703376,5.172392008816,1054,1006,987,1049,104,0.000000000000,111.647000477690,ed68bfbc12e5812d022f0b87bc4e91cd7cc54051a97d3b0239e6965deee73e54
17,18,4096,73728,4.441292113906,5.166458982966,1054,1006,985,1051,110,0.000000000000,113.271294715887,994962946086cb14a073362effd5468c915796165bd68c6b3339a8d1238adfcf
17,19,4096,77824,4.446819572206,5.177459441166,1036,995,1036,1029,101,0.000000000000,113.739207991900,2b5bc444fa22e4b7378018718e652bc51c0b8d5491d235ddb26c1377f9372d9d
17,20,4096,81920,4.449183940856,5.196809005610,1050,1015,1028,1003,108,0.000000000000,114.841531163332,7cd144ea2ec842d52dea7bfeed813375610532798f8dd6998d8d014c6fcac054
17,21,4096,86016,4.447230482788,5.188037165525,1056,1014,1042,984,104,0.000000000000,114.785631022994,302a50074f0c58c1ba4918d3d9db6747f49924a0824ad6c4949a4dbc998cd4b8
17,22,4096,90112,4.448376692738,5.226826106890,1022,1078,969,1027,102,0.000000000000,115.453488699744,377a61c3f30bb4c06005f96418fd29db9d9493f107e631567a168410115995e0
