trainer_seed,partition,minimum_dwell_decisions,profile_id,decision_count,fraction
17,validation,3,0,662,0.323242187500
17,validation,3,1,780,0.380859375000
17,validation,3,2,436,0.212890625000
17,validation,3,3,170,0.083007812500
29,validation,3,0,674,0.329101562500
29,validation,3,1,641,0.312988281250
29,validation,3,2,330,0.161132812500
29,validation,3,3,403,0.196777343750
43,validation,3,0,453,0.221191406250
43,validation,3,1,710,0.346679687500
43,validation,3,2,704,0.343750000000
43,validation,3,3,181,0.088378906250
71,validation,3,0,502,0.245117187500
71,validation,3,1,928,0.453125000000
71,validation,3,2,383,0.187011718750
71,validation,3,3,235,0.114746093750
113,validation,3,0,791,0.386230468750
113,validation,3,1,791,0.386230468750
113,validation,3,2,174,0.084960937500
113,validation,3,3,292,0.142578125000
167,validation,3,0,535,0.261230468750
167,validation,3,1,871,0.425292968750
167,validation,3,2,289,0.141113281250
167,validation,3,3,353,0.172363281250
229,validation,3,0,316,0.154296875000
229,validation,3,1,636,0.310546875000
229,validation,3,2,694,0.338867187500
229,validation,3,3,402,0.196289062500
283,validation,3,0,651,0.317871093750
283,validation,3,1,789,0.385253906250
283,validation,3,2,379,0.185058593750
283,validation,3,3,229,0.111816406250
