record_id,source_step,evidence_checkpoint,source_manifest,source_ordinal,artifact_path,sha256,size_bytes,tracked_at_evidence_checkpoint
P4E0001,P4_STEP2,2c250ac8c3988278fe3aa34b25f6a693f405c0fa,results/rl/p4_contract/SHA256SUMS,1,docs/rl/p4_rtl_contract.md,22e9522fe95c7d420a4867d8991ff37e20311042cee3613e020e852d7b38f14d,4732,true
P4E0002,P4_STEP2,2c250ac8c3988278fe3aa34b25f6a693f405c0fa,results/rl/p4_contract/SHA256SUMS,2,docs/rl/p4_verification_contract.md,8d9762a0c0a7a0191bcfc6a49171dd5fb6a33eaa0f8b74a03e5b707f3882e23a,1873,true
P4E0003,P4_STEP2,2c250ac8c3988278fe3aa34b25f6a693f405c0fa,results/rl/p4_contract/SHA256SUMS,3,docs/rl/p4_policy_rom_deployment_decision.md,afe61bc510af35f6e88c3e8451904f7ca026d1eb2db030815c17ae70cbdebafa,972,true
P4E0004,P4_STEP2,2c250ac8c3988278fe3aa34b25f6a693f405c0fa,results/rl/p4_contract/SHA256SUMS,4,docs/rl/p4_step2_status.md,4b4d60079ea3fc987d4065d25671343da7e199f4d517d388ad2172876efe5b25,579,true
P4E0005,P4_STEP2,2c250ac8c3988278fe3aa34b25f6a693f405c0fa,results/rl/p4_contract/SHA256SUMS,5,rl/config/p4_rtl_contract_v1.json,761df7a7d2529dd0d5ab881cd833d5b4eaaf3ef5e74ee36cb4821ddb477632ba,7958,true
P4E0006,P4_STEP2,2c250ac8c3988278fe3aa34b25f6a693f405c0fa,results/rl/p4_contract/SHA256SUMS,6,sim/rl/p4_golden_vector_schema.json,378722c038cdf9039c230f29a0276152873458e8f5b8fc164b5d6ecb98803367,1575,true
P4E0007,P4_STEP2,2c250ac8c3988278fe3aa34b25f6a693f405c0fa,results/rl/p4_contract/SHA256SUMS,7,sim/rl/test_p4_contract.py,23d8ae1bcd7ba2c8a0eb99e28b60966d1534299f0cd5d4896510f95338a42105,8652,true
P4E0008,P4_STEP2,2c250ac8c3988278fe3aa34b25f6a693f405c0fa,results/rl/p4_contract/SHA256SUMS,8,results/rl/p4_contract/step2_attempt1_failure.log,c746f64dcaf632a3bbbc15339f6a4b0c8c1b172ab19a26bd6bf222fe1a089a0a,346,true
P4E0009,P4_STEP2,2c250ac8c3988278fe3aa34b25f6a693f405c0fa,results/rl/p4_contract/SHA256SUMS,9,results/rl/p4_contract/step2_test.log,261185cf3dda60d938e8d504db05c471f267ac310e9397af247b354ee83b9c73,4843,true
P4E0010,P4_STEP2,2c250ac8c3988278fe3aa34b25f6a693f405c0fa,results/rl/p4_contract/SHA256SUMS,10,results/rl/p4_contract/contract_validation.json,1ce26ee865864b5d37cc43edb193a4377b392db5d5f38e2092541f783394ed34,2178,true
P4E0011,P4_STEP3,6d3ea1ceb7ca9a932d0d137eaf38b5fb42aefab4,results/rl/p4_state_encoder/SHA256SUMS,1,docs/rl/p4_step3_status.md,db3699f8dca4e30e4729e46474bf803c6ff50580980563af120ff4deb566345c,1115,true
P4E0012,P4_STEP3,6d3ea1ceb7ca9a932d0d137eaf38b5fb42aefab4,results/rl/p4_state_encoder/SHA256SUMS,2,rtl/rl/rl_state_encoder.v,603051a9ed92187cc01fcf8d1f4df0aed5f12115e653ac78e17736d788f8128e,2268,true
P4E0013,P4_STEP3,6d3ea1ceb7ca9a932d0d137eaf38b5fb42aefab4,results/rl/p4_state_encoder/SHA256SUMS,3,sim/rl/p4_generate_state_encoder_vectors.py,584c4c4059efe7779a6c44ca6551861c8227185c9db29619324b6337f8aedddc,5514,true
P4E0014,P4_STEP3,6d3ea1ceb7ca9a932d0d137eaf38b5fb42aefab4,results/rl/p4_state_encoder/SHA256SUMS,4,sim/rl/p4_state_encoder_vectors.csv,9df303090b5991fc84e65ef441c81d920908c993af915066873b85cc25ceefdd,28412,true
P4E0015,P4_STEP3,6d3ea1ceb7ca9a932d0d137eaf38b5fb42aefab4,results/rl/p4_state_encoder/SHA256SUMS,5,sim/rl/p4_state_encoder_vectors.txt,a7e36e1513faf8c168e5982a4b0e02fb4e0104f5f538c36a72d73c684b1d4380,9470,true
P4E0016,P4_STEP3,6d3ea1ceb7ca9a932d0d137eaf38b5fb42aefab4,results/rl/p4_state_encoder/SHA256SUMS,6,sim/rl/tb_rl_state_encoder.v,5c108e32988c6274e7c48c3fa13c4cd62df02ffca230eeb4352644392c7d3a5a,3844,true
