seed_type,partition,seed,trace_id,episode_length,allowed_use,locked_before_policy_freeze
environment,train,101,ring6_seed0101_len512,512,training_and_reporting,false
environment,train,211,ring6_seed0211_len512,512,training_and_reporting,false
environment,train,307,ring6_seed0307_len512,512,training_and_reporting,false
environment,train,401,ring6_seed0401_len512,512,training_and_reporting,false
environment,train,503,ring6_seed0503_len512,512,training_and_reporting,false
environment,train,601,ring6_seed0601_len512,512,training_and_reporting,false
environment,train,701,ring6_seed0701_len512,512,training_and_reporting,false
environment,train,809,ring6_seed0809_len512,512,training_and_reporting,false
environment,validation,1009,ring6_seed1009_len512,512,model_selection_and_reporting,false
environment,validation,1103,ring6_seed1103_len512,512,model_selection_and_reporting,false
environment,validation,1201,ring6_seed1201_len512,512,model_selection_and_reporting,false
environment,validation,1301,ring6_seed1301_len512,512,model_selection_and_reporting,false
environment,test,2003,ring6_seed2003_len512,512,one_time_heldout_evaluation,true
environment,test,2111,ring6_seed2111_len512,512,one_time_heldout_evaluation,true
environment,test,2203,ring6_seed2203_len512,512,one_time_heldout_evaluation,true
environment,test,2309,ring6_seed2309_len512,512,one_time_heldout_evaluation,true
trainer_rng,training,17,trainer_rng_0017,,q_learning_training,false
trainer_rng,training,29,trainer_rng_0029,,q_learning_training,false
trainer_rng,training,43,trainer_rng_0043,,q_learning_training,false
trainer_rng,training,71,trainer_rng_0071,,q_learning_training,false
trainer_rng,training,113,trainer_rng_0113,,q_learning_training,false
trainer_rng,training,167,trainer_rng_0167,,q_learning_training,false
trainer_rng,training,229,trainer_rng_0229,,q_learning_training,false
trainer_rng,training,283,trainer_rng_0283,,q_learning_training,false
statistics,analysis,32452843,paired_bootstrap_rng,,confidence_interval_only,false
