case_id,category,cycle,rst,start,input_valid,no_path_in,min_key_occupancy_u16,bottleneck_fidelity_u16,offered_request_load_u16,utilization_imbalance_u16,expected_ready,expected_busy,expected_done,expected_output_valid,expected_invalid_state,expected_stall,expected_no_path_out,expected_state_id,expected_proposed_action,expected_selected_action,expected_profile_payload_hex,expected_switched,expected_dwell_count_sat,notes
exhaustive_0000,reset,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,00000,0,0,isolate exhaustive state 0
exhaustive_0001,valid_accept,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00000,0,0,state 0; accepted
exhaustive_0002,pipeline_wait,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00000,0,0,registered pipeline wait 1
exhaustive_0003,pipeline_wait,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00000,0,0,registered pipeline wait 2
exhaustive_0004,all_256_states,4,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,13329,0,1,state 0; completed after N+3
exhaustive_0005,reset,5,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,00000,0,0,isolate exhaustive state 1
exhaustive_0006,valid_accept,6,0,1,1,0,0,0,0,8192,0,1,0,0,0,0,0,0,0,0,00000,0,0,state 1; accepted
exhaustive_0007,pipeline_wait,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00000,0,0,registered pipeline wait 1
exhaustive_0008,pipeline_wait,8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00000,0,0,registered pipeline wait 2
exhaustive_0009,all_256_states,9,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,13329,0,1,state 1; completed after N+3
exhaustive_0010,reset,10,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,00000,0,0,isolate exhaustive state 2
exhaustive_0011,valid_accept,11,0,1,1,0,0,0,0,16384,0,1,0,0,0,0,0,0,0,0,00000,0,0,state 2; accepted
exhaustive_0012,pipeline_wait,12,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00000,0,0,registered pipeline wait 1
exhaustive_0013,pipeline_wait,13,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00000,0,0,registered pipeline wait 2
exhaustive_0014,all_256_states,14,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,13329,0,1,state 2; completed after N+3
exhaustive_0015,reset,15,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,00000,0,0,isolate exhaustive state 3
exhaustive_0016,valid_accept,16,0,1,1,0,0,0,0,32768,0,1,0,0,0,0,0,0,0,0,00000,0,0,state 3; accepted
exhaustive_0017,pipeline_wait,17,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00000,0,0,registered pipeline wait 1
exhaustive_0018,pipeline_wait,18,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00000,0,0,registered pipeline wait 2
exhaustive_0019,all_256_states,19,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,13329,0,1,state 3; completed after N+3
exhaustive_0020,reset,20,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,00000,0,0,isolate exhaustive state 4
exhaustive_0021,valid_accept,21,0,1,1,0,0,0,16384,0,0,1,0,0,0,0,0,0,0,0,00000,0,0,state 4; accepted
exhaustive_0022,pipeline_wait,22,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00000,0,0,registered pipeline wait 1
exhaustive_0023,pipeline_wait,23,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00000,0,0,registered pipeline wait 2
exhaustive_0024,all_256_states,24,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,4,0,0,13329,0,1,state 4; completed after N+3
exhaustive_0025,reset,25,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,00000,0,0,isolate exhaustive state 5
