trace_id,partition,seed,trace_sha256,trace_index,state_id,proposed_action,selected_action,profile_payload_hex,dwell_count_sat,switched,success,no_path,selected_path,reward_total,next_state_id,done
manual_ring6_v0,manual,,c5fca408fd5311b3ad17c4fac913ace26a322164f2606c218fb4e44d3c7592de,0,180,1,1,1B516,1,0,1,0,0-1-2-3,5.507142857143,93,0
manual_ring6_v0,manual,,c5fca408fd5311b3ad17c4fac913ace26a322164f2606c218fb4e44d3c7592de,1,93,2,1,1B516,2,0,1,0,0-5-4-3,4.507142857143,88,0
manual_ring6_v0,manual,,c5fca408fd5311b3ad17c4fac913ace26a322164f2606c218fb4e44d3c7592de,2,88,2,1,1B516,3,0,1,0,0-5-4-3,4.450000000000,156,0
manual_ring6_v0,manual,,c5fca408fd5311b3ad17c4fac913ace26a322164f2606c218fb4e44d3c7592de,3,156,2,2,14399,1,1,1,0,0-1-2-3,5.514285714286,158,0
manual_ring6_v0,manual,,c5fca408fd5311b3ad17c4fac913ace26a322164f2606c218fb4e44d3c7592de,4,158,1,2,14399,2,0,1,0,0-1-2,5.871428571429,170,0
manual_ring6_v0,manual,,c5fca408fd5311b3ad17c4fac913ace26a322164f2606c218fb4e44d3c7592de,5,170,0,2,14399,3,0,1,0,0-1-2,4.728571428571,174,0
manual_ring6_v0,manual,,c5fca408fd5311b3ad17c4fac913ace26a322164f2606c218fb4e44d3c7592de,6,174,0,0,13329,1,1,1,0,0-5-4-3,5.200000000000,166,0
manual_ring6_v0,manual,,c5fca408fd5311b3ad17c4fac913ace26a322164f2606c218fb4e44d3c7592de,7,166,3,0,13329,2,0,1,0,0-5-4-3,4.950000000000,,1
ring6_seed2003_len512,test,2003,52e590b70cf4dad07f2ecfd2fd74a1cf67e9d514c085b3c440492b2523dfe655,0,172,1,1,1B516,1,0,1,0,0-1-2-3,5.475000000000,188,0
ring6_seed2003_len512,test,2003,52e590b70cf4dad07f2ecfd2fd74a1cf67e9d514c085b3c440492b2523dfe655,1,188,3,1,1B516,2,0,1,0,0-5-4-3,5.325000000000,188,0
ring6_seed2003_len512,test,2003,52e590b70cf4dad07f2ecfd2fd74a1cf67e9d514c085b3c440492b2523dfe655,2,188,3,1,1B516,3,0,1,0,0-1-2-3,5.350000000000,244,0
ring6_seed2003_len512,test,2003,52e590b70cf4dad07f2ecfd2fd74a1cf67e9d514c085b3c440492b2523dfe655,3,244,0,0,13329,1,1,1,0,0-1-2-3,5.027272727273,241,0
ring6_seed2003_len512,test,2003,52e590b70cf4dad07f2ecfd2fd74a1cf67e9d514c085b3c440492b2523dfe655,4,241,1,0,13329,2,0,1,0,0-5-4-3,5.200000000000,252,0
ring6_seed2003_len512,test,2003,52e590b70cf4dad07f2ecfd2fd74a1cf67e9d514c085b3c440492b2523dfe655,5,252,0,0,13329,3,0,1,0,0-5-4-3,5.219230769231,248,0
ring6_seed2003_len512,test,2003,52e590b70cf4dad07f2ecfd2fd74a1cf67e9d514c085b3c440492b2523dfe655,6,248,0,0,13329,3,0,1,0,0-1-2-3,5.164285714286,252,0
ring6_seed2003_len512,test,2003,52e590b70cf4dad07f2ecfd2fd74a1cf67e9d514c085b3c440492b2523dfe655,7,252,0,0,13329,3,0,1,0,0-5-4-3,5.183333333333,252,0
ring6_seed2003_len512,test,2003,52e590b70cf4dad07f2ecfd2fd74a1cf67e9d514c085b3c440492b2523dfe655,8,252,0,0,13329,3,0,1,0,0-5-4-3,5.316666666667,248,0
ring6_seed2003_len512,test,2003,52e590b70cf4dad07f2ecfd2fd74a1cf67e9d514c085b3c440492b2523dfe655,9,248,0,0,13329,3,0,1,0,0-5-4-3,5.250000000000,253,0
ring6_seed2003_len512,test,2003,52e590b70cf4dad07f2ecfd2fd74a1cf67e9d514c085b3c440492b2523dfe655,10,253,3,3,0A2A5,1,1,1,0,0-5-4-3,4.733333333333,253,0
