case_id,category,cycle,rst,start,input_valid,no_path_in,min_key_occupancy_u16,bottleneck_fidelity_u16,offered_request_load_u16,utilization_imbalance_u16,expected_ready,expected_busy,expected_done,expected_output_valid,expected_invalid_state,expected_stall,expected_no_path_out,expected_state_id,expected_proposed_action,expected_selected_action,expected_profile_payload_hex,expected_switched,expected_dwell_count_sat,notes
integrated_0000,reset,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,00000,0,0,reset before manual frozen H4 trace
integrated_0001,valid_accept,1,0,1,1,0,32768,62914,16384,0,0,1,0,0,0,0,0,0,0,0,00000,0,0,manual H4 trace decision 0
integrated_0002,pipeline_wait,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00000,0,0,registered pipeline wait 1
integrated_0003,pipeline_wait,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00000,0,0,registered pipeline wait 2
integrated_0004,valid_complete,4,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,180,1,1,1B516,0,1,manual H4 trace decision 0; completion after N+3
integrated_0005,back_to_back_requests,5,0,1,1,0,16384,58982,49151,8192,0,1,0,0,0,0,0,180,1,1,1B516,0,1,manual H4 trace decision 1
integrated_0006,pipeline_wait,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,180,1,1,1B516,0,1,registered pipeline wait 1
integrated_0007,pipeline_wait,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,180,1,1,1B516,0,1,registered pipeline wait 2
integrated_0008,dwell_hold,8,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,93,2,1,1B516,0,2,manual H4 trace decision 1; completion after N+3
integrated_0009,back_to_back_requests,9,0,1,1,0,16384,58982,32768,0,0,1,0,0,0,0,0,93,2,1,1B516,0,2,manual H4 trace decision 2
integrated_0010,start_while_busy,10,0,1,1,0,16384,58982,32768,8192,0,1,0,0,0,1,0,93,2,1,1B516,0,2,busy request rejected; active transaction preserved
integrated_0011,pipeline_wait,11,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,93,2,1,1B516,0,2,registered pipeline wait 2
integrated_0012,dwell_hold,12,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,88,2,1,1B516,0,3,manual H4 trace decision 2; completion after N+3
integrated_0013,back_to_back_requests,13,0,1,1,0,32768,58982,49151,0,0,1,0,0,0,0,0,88,2,1,1B516,0,3,manual H4 trace decision 3
integrated_0014,pipeline_wait,14,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,88,2,1,1B516,0,3,registered pipeline wait 1
integrated_0015,pipeline_wait,15,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,88,2,1,1B516,0,3,registered pipeline wait 2
integrated_0016,dwell_switch,16,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,156,2,2,14399,1,1,manual H4 trace decision 3; completion after N+3
integrated_0017,back_to_back_requests,17,0,1,1,0,32768,58982,49151,16384,0,1,0,0,0,0,0,156,2,2,14399,0,1,manual H4 trace decision 4
integrated_0018,pipeline_wait,18,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,156,2,2,14399,0,1,registered pipeline wait 1
