case_id,category,rst,en,min_key_occupancy_u16,bottleneck_fidelity_u16,offered_request_load_u16,utilization_imbalance_u16,expected_valid,expected_state_id,notes
0,reset,1,1,65535,65535,65535,65535,0,0,reset dominates enable and data
1,encoded_clip_low,0,1,0,0,0,0,1,0,UNORM16 encoded lower endpoint
2,enable_hold,0,0,65535,65535,65535,65535,0,0,valid clears and state output holds
3,encoded_clip_high,0,1,65535,65535,65535,65535,1,255,UNORM16 encoded upper endpoint
4,reset,1,1,65535,65535,65535,65535,0,0,midstream reset clears prior state
5,all_256_states,0,1,0,0,0,0,1,0,representative lower-edge code for bins 0/0/0/0
6,all_256_states,0,1,0,0,0,8192,1,1,representative lower-edge code for bins 0/0/0/1
7,all_256_states,0,1,0,0,0,16384,1,2,representative lower-edge code for bins 0/0/0/2
8,all_256_states,0,1,0,0,0,32768,1,3,representative lower-edge code for bins 0/0/0/3
9,all_256_states,0,1,0,0,16384,0,1,4,representative lower-edge code for bins 0/0/1/0
10,all_256_states,0,1,0,0,16384,8192,1,5,representative lower-edge code for bins 0/0/1/1
11,all_256_states,0,1,0,0,16384,16384,1,6,representative lower-edge code for bins 0/0/1/2
12,all_256_states,0,1,0,0,16384,32768,1,7,representative lower-edge code for bins 0/0/1/3
13,all_256_states,0,1,0,0,32768,0,1,8,representative lower-edge code for bins 0/0/2/0
14,all_256_states,0,1,0,0,32768,8192,1,9,representative lower-edge code for bins 0/0/2/1
15,all_256_states,0,1,0,0,32768,16384,1,10,representative lower-edge code for bins 0/0/2/2
16,all_256_states,0,1,0,0,32768,32768,1,11,representative lower-edge code for bins 0/0/2/3
17,all_256_states,0,1,0,0,49151,0,1,12,representative lower-edge code for bins 0/0/3/0
18,all_256_states,0,1,0,0,49151,8192,1,13,representative lower-edge code for bins 0/0/3/1
19,all_256_states,0,1,0,0,49151,16384,1,14,representative lower-edge code for bins 0/0/3/2
20,all_256_states,0,1,0,0,49151,32768,1,15,representative lower-edge code for bins 0/0/3/3
21,all_256_states,0,1,0,58982,0,0,1,16,representative lower-edge code for bins 0/1/0/0
22,all_256_states,0,1,0,58982,0,8192,1,17,representative lower-edge code for bins 0/1/0/1
23,all_256_states,0,1,0,58982,0,16384,1,18,representative lower-edge code for bins 0/1/0/2
24,all_256_states,0,1,0,58982,0,32768,1,19,representative lower-edge code for bins 0/1/0/3
25,all_256_states,0,1,0,58982,16384,0,1,20,representative lower-edge code for bins 0/1/1/0
26,all_256_states,0,1,0,58982,16384,8192,1,21,representative lower-edge code for bins 0/1/1/1
27,all_256_states,0,1,0,58982,16384,16384,1,22,representative lower-edge code for bins 0/1/1/2
28,all_256_states,0,1,0,58982,16384,32768,1,23,representative lower-edge code for bins 0/1/1/3
29,all_256_states,0,1,0,58982,32768,0,1,24,representative lower-edge code for bins 0/1/2/0
30,all_256_states,0,1,0,58982,32768,8192,1,25,representative lower-edge code for bins 0/1/2/1
31,all_256_states,0,1,0,58982,32768,16384,1,26,representative lower-edge code for bins 0/1/2/2
32,all_256_states,0,1,0,58982,32768,32768,1,27,representative lower-edge code for bins 0/1/2/3
33,all_256_states,0,1,0,58982,49151,0,1,28,representative lower-edge code for bins 0/1/3/0
34,all_256_states,0,1,0,58982,49151,8192,1,29,representative lower-edge code for bins 0/1/3/1
35,all_256_states,0,1,0,58982,49151,16384,1,30,representative lower-edge code for bins 0/1/3/2
36,all_256_states,0,1,0,58982,49151,32768,1,31,representative lower-edge code for bins 0/1/3/3
37,all_256_states,0,1,0,60948,0,0,1,32,representative lower-edge code for bins 0/2/0/0
38,all_256_states,0,1,0,60948,0,8192,1,33,representative lower-edge code for bins 0/2/0/1
39,all_256_states,0,1,0,60948,0,16384,1,34,representative lower-edge code for bins 0/2/0/2
40,all_256_states,0,1,0,60948,0,32768,1,35,representative lower-edge code for bins 0/2/0/3
41,all_256_states,0,1,0,60948,16384,0,1,36,representative lower-edge code for bins 0/2/1/0
42,all_256_states,0,1,0,60948,16384,8192,1,37,representative lower-edge code for bins 0/2/1/1
43,all_256_states,0,1,0,60948,16384,16384,1,38,representative lower-edge code for bins 0/2/1/2
44,all_256_states,0,1,0,60948,16384,32768,1,39,representative lower-edge code for bins 0/2/1/3
45,all_256_states,0,1,0,60948,32768,0,1,40,representative lower-edge code for bins 0/2/2/0
46,all_256_states,0,1,0,60948,32768,8192,1,41,representative lower-edge code for bins 0/2/2/1
47,all_256_states,0,1,0,60948,32768,16384,1,42,representative lower-edge code for bins 0/2/2/2
48,all_256_states,0,1,0,60948,32768,32768,1,43,representative lower-edge code for bins 0/2/2/3
49,all_256_states,0,1,0,60948,49151,0,1,44,representative lower-edge code for bins 0/2/3/0
50,all_256_states,0,1,0,60948,49151,8192,1,45,representative lower-edge code for bins 0/2/3/1
51,all_256_states,0,1,0,60948,49151,16384,1,46,representative lower-edge code for bins 0/2/3/2
52,all_256_states,0,1,0,60948,49151,32768,1,47,representative lower-edge code for bins 0/2/3/3
53,all_256_states,0,1,0,62914,0,0,1,48,representative lower-edge code for bins 0/3/0/0
54,all_256_states,0,1,0,62914,0,8192,1,49,representative lower-edge code for bins 0/3/0/1
55,all_256_states,0,1,0,62914,0,16384,1,50,representative lower-edge code for bins 0/3/0/2
56,all_256_states,0,1,0,62914,0,32768,1,51,representative lower-edge code for bins 0/3/0/3
57,all_256_states,0,1,0,62914,16384,0,1,52,representative lower-edge code for bins 0/3/1/0
58,all_256_states,0,1,0,62914,16384,8192,1,53,representative lower-edge code for bins 0/3/1/1
59,all_256_states,0,1,0,62914,16384,16384,1,54,representative lower-edge code for bins 0/3/1/2
60,all_256_states,0,1,0,62914,16384,32768,1,55,representative lower-edge code for bins 0/3/1/3
61,all_256_states,0,1,0,62914,32768,0,1,56,representative lower-edge code for bins 0/3/2/0
62,all_256_states,0,1,0,62914,32768,8192,1,57,representative lower-edge code for bins 0/3/2/1
63,all_256_states,0,1,0,62914,32768,16384,1,58,representative lower-edge code for bins 0/3/2/2
64,all_256_states,0,1,0,62914,32768,32768,1,59,representative lower-edge code for bins 0/3/2/3
65,all_256_states,0,1,0,62914,49151,0,1,60,representative lower-edge code for bins 0/3/3/0
66,all_256_states,0,1,0,62914,49151,8192,1,61,representative lower-edge code for bins 0/3/3/1
67,all_256_states,0,1,0,62914,49151,16384,1,62,representative lower-edge code for bins 0/3/3/2
