case_id,category,profile_index,profile_payload_hex,key_count,fidelity_unorm16,key_rate_uq8_8,qber_unorm16,expected_weight_uq16_16_hex,expected_feasible,terms_hex
0,finite_exact,0,13329,16,65535,256,0,00021000,1,1000:18000:8000:0
1,finite_exact,0,13329,15,64225,384,328,0001F0CB,1,1111:187D5:5555:290
2,finite_exact,0,13329,14,62914,512,655,0001E766,1,1249:18FFF:4000:51E
3,finite_exact,0,13329,13,61603,640,983,0001E715,1,13B1:19883:3333:7AE
4,finite_exact,0,13329,12,60292,768,1311,0001EBA3,1,1555:1A165:2AAB:A3E
5,finite_exact,0,13329,11,58982,896,1638,0001F34E,1,1746:1AAAA:2492:CCC
6,finite_exact,0,13329,10,57671,1024,1966,0001FD53,1,199A:1B45D:2000:F5C
7,finite_exact,0,13329,9,56360,1152,2294,00020953,1,1C72:1BE83:1C72:11EC
8,finite_exact,0,13329,8,55049,1280,2621,00021739,1,2000:1C925:199A:147A
9,finite_exact,0,13329,7,53739,1408,2949,0002272C,1,2492:1D44A:1746:170A
10,finite_exact,0,13329,6,52428,1536,3277,0002399A,1,2AAB:1E000:1555:199A
11,finite_exact,0,13329,5,51117,1664,3604,00024F5C,1,3333:1EC50:13B1:1C28
12,infeasible_zero_key,0,13329,0,65535,256,0,FFFFFFFF,0,
13,infeasible_zero_fidelity,0,13329,1,0,256,0,FFFFFFFF,0,
14,infeasible_zero_rate,0,13329,1,65535,0,0,FFFFFFFF,0,
15,infeasible_zero_key_fidelity_rate,0,13329,0,0,0,65535,FFFFFFFF,0,
16,finite_saturation,0,13329,1,1,1,65535,FFFFFFFE,1,10000:17FFE8000:800000:20000
17,finite_exact,0,13329,1,2,1,65534,C0823FFE,1,10000:BFFF4000:800000:1FFFE
18,finite_exact,0,13329,1,65535,1,0,00828000,1,10000:18000:800000:0
19,finite_saturation,0,13329,65535,1,65535,65535,FFFFFFFE,1,1:17FFE8000:80:20000
20,finite_exact,0,13329,65535,65535,65535,0,00018081,1,1:18000:80:0
21,finite_exact,0,13329,2,32768,128,32768,00057FFE,1,8000:2FFFD:10000:10001
22,finite_exact,0,13329,3,58982,256,6554,0002B333,1,5555:1AAAA:8000:3334
23,finite_exact,0,13329,16,65535,65535,65535,00039080,1,1000:18000:80:20000
24,finite_exact,0,13329,4,32767,257,1,0003BF85,1,4000:30003:7F80:2
25,finite_exact,0,13329,8,65534,256,0,00022002,1,2000:18002:8000:0
26,finite_exact,0,13329,16,32768,1024,32767,00042FFC,1,1000:2FFFD:2000:FFFF
27,finite_exact,0,13329,1024,65534,128,65534,00048040,1,40:18002:10000:1FFFE
28,finite_exact,0,13329,8,32768,1,32767,00841FFC,1,2000:2FFFD:800000:FFFF
29,finite_exact,0,13329,15,2,127,1,C0005317,1,1111:BFFF4000:10204:2
30,finite_exact,0,13329,31,2,257,65534,C001C7C0,1,842:BFFF4000:7F80:1FFFE
31,finite_exact,0,13329,16,65535,1024,32768,0002B001,1,1000:18000:2000:10001
32,finite_exact,0,13329,1,65534,256,32768,00040003,1,10000:18002:8000:10001
33,finite_exact,0,13329,1,3,65535,1,80008082,1,10000:7FFF8000:80:2
34,finite_exact,0,13329,8,65535,65535,2,0001A084,1,2000:18000:80:4
35,finite_exact,0,13329,1024,65535,1024,65535,0003A040,1,40:18000:2000:20000
36,finite_saturation,0,13329,3,1,257,32768,FFFFFFFE,1,5555:17FFE8000:7F80:10001
37,finite_exact,0,13329,2,3,257,32767,80017F7F,1,8000:7FFF8000:7F80:FFFF
38,finite_exact,0,13329,255,32768,127,1,00040304,1,101:2FFFD:10204:2
39,finite_exact,0,13329,2,32768,256,65535,0005FFFD,1,8000:2FFFD:8000:20000
40,finite_saturation,0,13329,1,1,127,2,FFFFFFFE,1,10000:17FFE8000:10204:4
41,finite_saturation,0,13329,15,1,1,65535,FFFFFFFE,1,1111:17FFE8000:800000:20000
42,finite_exact,0,13329,1024,2,127,32768,C0014245,1,40:BFFF4000:10204:10001
43,finite_exact,0,13329,1,32767,127,1,00050209,1,10000:30003:10204:2
44,finite_exact,0,13329,65535,2,128,2,C0004005,1,1:BFFF4000:10000:4
45,finite_exact,0,13329,8,65534,256,32767,00032001,1,2000:18002:8000:FFFF
46,finite_exact,0,13329,1024,32768,255,2,000380C2,1,40:2FFFD:8081:4
47,finite_exact,0,13329,31,58982,127,65534,0004B4EE,1,842:1AAAA:10204:1FFFE
48,finite_exact,0,13329,16,32767,3,65535,002FBAAE,1,1000:30003:2AAAAB:20000
49,finite_exact,0,13329,31,3,257,0,800007C2,1,842:7FFF8000:7F80:0
50,finite_exact,0,13329,255,65535,127,65534,00048303,1,101:18000:10204:1FFFE
51,finite_exact,0,13329,7,65535,65535,65535,0003A512,1,2492:18000:80:20000
52,finite_exact,0,13329,15,65535,3,1,002C3BBE,1,1111:18000:2AAAAB:2
53,finite_saturation,0,13329,16,1,127,2,FFFFFFFE,1,1000:17FFE8000:10204:4
54,finite_exact,0,13329,1,65535,255,65534,0005007F,1,10000:18000:8081:1FFFE
55,finite_exact,0,13329,15,32768,65535,32767,0004118D,1,1111:2FFFD:80:FFFF
56,finite_exact,0,13329,4,3,2,32767,8040BFFF,1,4000:7FFF8000:400000:FFFF
57,finite_exact,0,13329,7,2,1024,65534,C0018490,1,2492:BFFF4000:2000:1FFFE
58,finite_exact,0,13329,1024,65534,256,65535,00040042,1,40:18002:8000:20000
59,finite_saturation,0,13329,15,1,256,65535,FFFFFFFE,1,1111:17FFE8000:8000:20000
60,finite_exact,0,13329,8,65534,1024,1,0001C004,1,2000:18002:2000:2
61,finite_saturation,0,13329,7,1,1024,65535,FFFFFFFE,1,2492:17FFE8000:2000:20000
62,finite_exact,0,13329,15,3,255,0,80001192,1,1111:7FFF8000:8081:0
63,finite_saturation,0,13329,7,1,255,1,FFFFFFFE,1,2492:17FFE8000:8081:2
64,finite_exact,0,13329,15,32768,65535,32767,0004118D,1,1111:2FFFD:80:FFFF
65,finite_exact,0,13329,2,58982,1,65535,00842AAA,1,8000:1AAAA:800000:20000
66,finite_exact,0,13329,1024,2,128,0,C0004040,1,40:BFFF4000:10000:0
67,finite_saturation,0,13329,3,1,3,32767,FFFFFFFE,1,5555:17FFE8000:2AAAAB:FFFF
68,finite_exact,0,13329,2,65534,128,1,00030004,1,8000:18002:10000:2
69,finite_exact,0,13329,65535,65535,3,32767,002D2AAB,1,1:18000:2AAAAB:FFFF
70,finite_exact,0,13329,65535,3,256,1,80000003,1,1:7FFF8000:8000:2
71,finite_exact,0,13329,31,32768,1,32767,0084083E,1,842:2FFFD:800000:FFFF
72,finite_exact,0,13329,31,2,256,0,BFFFC842,1,842:BFFF4000:8000:0
73,finite_exact,0,13329,1024,3,127,32768,80018245,1,40:7FFF8000:10204:10001
74,finite_saturation,0,13329,8,1,257,0,FFFFFFFE,1,2000:17FFE8000:7F80:0
75,finite_exact,0,13329,2,3,257,32767,80017F7F,1,8000:7FFF8000:7F80:FFFF
76,finite_exact,0,13329,7,2,3,65535,C02C0F3D,1,2492:BFFF4000:2AAAAB:20000
