id,c0_valid,c0_cost,c0_fidelity,c0_utilization,c0_hops,c0_slot,c1_valid,c1_cost,c1_fidelity,c1_utilization,c1_hops,c1_slot,lambda0,lambda1,lambda2,no_path,selected_slot,selected_score
0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,0,0
1,1,100,58982,65536,1,0,0,0,0,0,0,1,2,2,1,0,0,0
2,0,0,0,0,0,0,1,100,58982,65536,1,1,1,1,2,0,1,0
3,1,100,60000,10,2,0,1,100,60000,10,2,1,1,2,1,0,0,0
4,1,101,60000,10,2,0,1,100,60000,10,2,1,2,1,1,0,1,0
5,1,100,58982,10,2,0,1,100,58983,10,2,1,1,2,1,0,1,0
6,1,100,65535,0,5,0,1,4294967294,58982,4294967294,1,1,2,2,1,0,0,0
7,True,383267485,61762,687932987,4,0,True,3820701250,63924,3006054204,2,1,2,1,1,0,0,65505
8,True,2653421487,62256,1499654874,5,0,True,997383752,64566,1406370427,2,1,2,2,1,0,1,0
9,True,2537319014,60436,1648543881,3,0,True,1015308489,62706,2176675964,1,1,2,2,1,0,1,65535
10,True,1853525124,59548,1526840245,2,0,True,3047429442,59972,3091540602,3,1,1,2,1,0,1,65535
11,True,3000882656,60189,4058696475,3,0,True,4275496647,64894,1553925095,4,1,2,2,1,0,0,131042
12,True,2211750727,60237,3144244507,5,0,True,358635271,59201,351882609,5,1,1,1,2,0,1,65472
13,True,3091051231,64177,2425756397,1,0,True,3858096847,59777,352568649,5,1,1,1,2,0,1,65535
14,True,1993087523,60552,2095046027,2,0,True,3960769300,61852,1597499125,2,1,1,1,2,0,1,65535
15,True,3731473538,61414,1824570575,2,0,False,21392149,61872,3051737890,3,1,2,1,1,0,0,0
16,True,1697719868,64038,2191567704,5,0,False,3868835763,62234,2960624994,5,1,1,1,2,0,0,0
17,True,847681072,60874,4202942467,3,0,True,310531003,64105,365191606,1,1,2,2,1,0,1,0
18,True,1803213820,59929,3859968886,5,0,True,507027197,63499,3315792699,2,1,1,1,2,0,1,0
19,True,262954070,64264,4268319678,2,0,True,3000415366,60385,2029508667,2,1,2,2,1,0,0,65535
20,True,1469123876,63411,746487762,1,0,True,917852603,65425,3708064462,1,1,1,1,2,0,0,65535
21,True,1333262308,59600,2552293468,1,0,True,821473885,62197,1625489851,2,1,1,1,2,0,1,0
22,True,1409052379,65156,3091215679,3,0,True,1797372752,59467,2142784255,5,1,2,1,1,0,0,65535
23,True,4250673489,63738,1622778290,3,0,True,3268171217,60979,285887685,3,1,1,1,2,0,1,65511
24,True,3768947619,60461,695212538,4,0,True,2565772740,60438,4146566053,5,1,1,1,2,0,0,65535
25,True,1077825099,62620,3251200861,5,0,True,777330221,61613,2621862332,1,1,2,1,1,0,1,65470
26,True,2470134207,62149,841388118,4,0,False,2170588369,60324,1533446565,4,1,1,2,1,0,0,0
27,True,4123000210,62234,3888180817,3,0,True,520605856,63701,198008573,4,1,1,2,1,0,1,0
28,True,3189275350,64981,3825822794,1,0,True,3970915207,61042,1229696737,1,1,2,2,1,0,0,65535
29,True,1537508015,61690,1648158819,2,0,True,988332753,60138,1596702786,1,1,2,2,1,0,1,130986
30,True,2670367967,65235,3984850582,5,0,True,3810680388,64258,3577908599,4,1,2,1,1,0,0,65535
31,False,687614265,65076,722485529,3,0,False,4179004636,63204,941592389,4,1,2,1,1,1,0,0
32,True,851747866,59315,3931429471,3,0,True,2085262157,62044,686555164,4,1,2,1,1,0,0,65535
33,True,3285242003,64228,4154312648,2,0,True,2591498333,60519,4122897991,2,1,2,2,1,0,1,131034
34,True,5468608,64966,3824850541,4,0,True,219693236,64044,552031049,4,1,1,2,1,0,0,65535
35,True,2290188292,62016,3083388030,2,0,False,2053126388,63374,1008703181,4,1,2,1,1,0,0,0
36,False,2648872961,65340,1564472409,3,0,True,2726025570,61020,2844363820,4,1,1,2,1,0,1,0
37,True,247173097,59345,1042649504,2,0,True,1520164646,65143,1099268236,5,1,1,1,2,0,0,65524
38,True,4165879153,64501,720966753,5,0,True,224889653,59904,367024626,5,1,2,2,1,0,1,131042
39,False,3832052356,61247,1263828387,3,0,True,1339506276,63816,4276246350,1,1,1,2,1,0,1,0
40,True,1664311306,62773,2164311732,3,0,True,3400114301,63320,2430755297,4,1,1,1,2,0,0,65415
41,True,1023105481,65513,2827779285,1,0,True,1665158006,59583,2393713845,2,1,2,1,1,0,0,65535
42,True,928916231,62244,2534610410,3,0,True,2430222672,61398,422267818,1,1,2,2,1,0,0,65535
43,True,618020053,62114,2875087534,2,0,True,2806260577,59346,1830381350,3,1,2,2,1,0,0,65535
44,True,3731251503,62796,1333328192,2,0,True,1154943191,63574,3769537655,5,1,2,1,1,0,1,65535
45,True,2525479795,64325,2822549056,1,0,True,692085322,61008,3771270029,2,1,2,2,1,0,1,131030
46,True,2797929382,59880,2937640627,4,0,True,1659660732,64968,3719355136,3,1,2,1,1,0,1,65535
47,True,3195314524,60350,366390973,1,0,False,1176912691,61987,4259997331,5,1,2,2,1,0,0,0
48,True,1946234614,62438,3224053851,4,0,False,3350829232,62588,2992210522,3,1,2,2,1,0,0,0
49,True,3045433228,61217,3076356971,2,0,True,1521063838,64078,2987566336,4,1,2,2,1,0,1,0
50,True,4229199657,63277,1309388189,3,0,True,1620962984,63645,2824940496,5,1,2,2,1,0,1,65535
51,True,1838681536,60360,1960293871,2,0,True,2519638866,61565,3535371812,5,1,1,2,1,0,1,65535
52,True,422278104,61395,777126028,2,0,True,797674060,64450,2801752543,2,1,1,2,1,0,1,65535
53,True,226515553,63165,3412748788,2,0,True,689964024,61813,2536533040,2,1,2,1,1,0,0,65535
54,True,1931335178,63295,785540858,1,0,True,2659265256,61712,2504952132,3,1,1,1,2,0,0,0
55,True,2548319368,61460,33563392,1,0,True,1810986824,62925,2575621178,1,1,2,1,1,0,1,65535
56,True,143801197,59620,1175731587,5,0,True,1220797020,63582,1856928526,1,1,1,1,2,0,0,65518
57,True,362628797,62437,552809636,4,0,True,4153224354,60577,3550935464,2,1,2,2,1,0,0,0
58,False,1576686439,60700,3255026933,3,0,True,1931072627,64272,1697595368,2,1,1,2,1,0,1,0
59,True,744510893,60509,2225194813,5,0,True,822144873,63544,3546723365,3,1,2,1,1,0,0,65513
60,True,4029869865,61211,3941123163,1,0,True,1442039109,65506,3535565013,3,1,1,2,1,0,1,0
61,True,396602154,64105,471368017,4,0,True,2036241811,61205,1361279405,5,1,1,1,2,0,0,0
62,True,3604546840,64001,3284290660,1,0,True,167239774,64130,3988507234,5,1,2,2,1,0,1,65535
63,True,2290873016,60956,972580174,1,0,True,2711089394,61144,1634770838,2,1,1,1,2,0,0,65188
64,True,4255714337,60700,1010037756,5,0,False,3358886530,65092,3249173888,2,1,1,2,1,0,0,0
65,True,1798482175,60920,3545750029,3,0,True,3673377350,61610,3620974004,4,1,2,2,1,0,0,130880
66,True,2476485939,65132,2163221373,3,0,True,80985081,59552,357333973,4,1,2,1,1,0,1,65523
67,True,480567870,60009,3893045417,2,0,True,1661054445,60117,2144479495,1,1,1,2,1,0,1,65535
68,False,132252101,64458,1757414649,1,0,True,4199785969,64299,2367763267,2,1,1,1,2,0,1,0
69,True,92055277,59092,2907053212,3,0,True,1126780581,59349,2626023449,3,1,1,2,1,0,1,65535
70,False,1323698359,62052,2600175091,1,0,False,1092185903,65371,266201901,5,1,1,2,1,1,0,0
71,True,3252223181,65390,855981069,5,0,False,2704931101,62245,657959011,5,1,1,1,2,0,0,0
72,True,2507798839,61977,2185214325,3,0,True,1847367479,64037,3886343850,4,1,2,1,1,0,1,65535
73,True,6141032,62458,2558526230,2,0,True,2023779858,62860,963362620,1,1,2,2,1,0,0,130744
74,True,2037875622,61057,3378330646,3,0,True,1800784288,61496,1028957214,1,1,1,2,1,0,1,0
75,True,2157941284,63781,2806932699,1,0,True,798534761,63228,1576593905,3,1,2,2,1,0,1,130834
76,False,4141353754,61707,686928381,3,0,True,1398639239,64123,3520094825,3,1,1,1,2,0,1,0
77,False,3492603107,63342,423982166,4,0,False,3326371275,61302,2235276104,2,1,1,2,1,1,0,0
78,True,3833000960,63070,649764938,4,0,True,3203957038,61411,790114467,5,1,1,1,2,0,0,65535
79,True,2580576457,64483,2865230521,2,0,False,1681940094,60742,3195718637,1,1,1,1,2,0,0,0
80,True,3050513743,60994,2245440261,1,0,False,2994967522,61709,3038943416,4,1,1,2,1,0,0,0
81,True,2427290103,64455,1066380680,5,0,True,307296730,64649,3115089611,2,1,2,2,1,0,1,65535
82,True,978689399,62738,4026603402,3,0,True,2695090811,64936,4248747562,4,1,2,1,1,0,0,65505
83,True,1852024265,63923,2347234241,5,0,True,1690030246,60805,3749163216,2,1,1,1,2,0,0,65535
84,True,2073828378,63287,960834641,5,0,False,3956357750,62558,1038408170,1,1,2,1,1,0,0,0
85,True,1484947125,63656,1192087702,5,0,False,2948286499,64433,1241595744,3,1,1,1,2,0,0,0
86,True,1662995777,61025,405541002,1,0,True,4261358229,64253,2885902321,5,1,1,2,1,0,1,65535
87,True,3337719396,60339,4231833181,5,0,False,2653305706,59571,966635714,4,1,1,1,2,0,0,0
88,True,1926253630,61732,2014724565,4,0,True,2652834204,64930,3676662739,1,1,1,2,1,0,1,65535
89,True,50522040,59365,3318800539,2,0,True,2325920361,61750,915096525,4,1,1,2,1,0,1,65535
90,True,2370903529,60844,1757847221,4,0,True,2246563369,63041,76202830,4,1,2,2,1,0,1,0
91,True,3472169599,60721,2239601916,2,0,True,1877395298,63952,2915239337,2,1,1,1,2,0,0,65535
92,True,117123609,65383,1814271770,5,0,True,2370689974,65535,263018361,2,1,1,2,1,0,1,65535
93,True,2900384903,61487,3470043896,1,0,False,1087650323,60334,611817995,3,1,1,2,1,0,0,0
94,True,1512627935,60819,3519366816,1,0,True,2647558901,63843,1468537128,3,1,2,1,1,0,0,65535
95,True,3031042403,63705,3504281039,3,0,True,1478841874,65020,3548475106,5,1,1,2,1,0,1,65535
96,True,3401563375,61143,1639298537,1,0,False,3651008738,59628,1771299406,3,1,1,1,2,0,0,0
97,True,723878123,60018,4176335686,4,0,True,2961840987,62177,426448573,4,1,1,2,1,0,1,65535
98,False,650762101,64721,474383683,1,0,True,1846049018,65029,3423232313,5,1,1,1,2,0,1,0
99,True,878192717,65069,562548028,2,0,True,838102048,65503,794395435,4,1,1,1,2,0,0,65535
100,True,173896260,63269,1254654006,4,0,True,3387554103,59640,3810698884,4,1,2,2,1,0,0,0
101,True,1231507962,62157,3736261051,4,0,True,3913701815,61221,2274355008,1,1,1,1,2,0,1,65535
102,False,3540203959,61262,1677135207,1,0,True,2639620858,61383,3596501635,1,1,2,2,1,0,1,0
103,True,829820979,61187,1220615015,2,0,True,88114449,64006,1814685048,5,1,2,2,1,0,1,65535
104,True,3529896597,60285,4237665954,4,0,False,3894637599,59071,2022964572,1,1,1,2,1,0,0,0
105,True,1653463878,63560,2704051514,4,0,False,1796980383,59696,632913159,1,1,1,1,2,0,0,0
106,True,3907622642,62333,382626888,1,0,True,1200881236,64863,896389730,3,1,1,1,2,0,0,65535
107,True,1555673222,64435,1629279799,4,0,True,672431457,59982,3951819120,3,1,1,2,1,0,0,65535
108,True,830397224,64625,2444750224,5,0,True,2012611546,61824,2033169636,3,1,2,2,1,0,0,65535
109,True,1990687532,60438,973819118,4,0,True,4238542859,59371,2574194882,2,1,2,2,1,0,0,0
110,True,1754063681,61745,101624972,2,0,True,2836409382,64573,3299120991,4,1,2,1,1,0,0,65512
111,True,429303790,62787,3863557056,4,0,True,1028409715,60974,3782714429,4,1,2,2,1,0,0,65535
112,True,3909937143,60357,2721088629,3,0,True,123742411,61672,3200298924,1,1,2,2,1,0,1,65535
113,True,194963834,63301,2450893473,2,0,True,3997529027,64312,2738268880,1,1,1,2,1,0,1,65535
114,True,2752439103,61610,1723577277,3,0,True,619953335,60129,4167785466,2,1,1,1,2,0,0,65535
115,True,1687638333,64214,1034353140,3,0,True,3891313422,59624,2902519363,4,1,1,2,1,0,0,0
116,False,158690229,62585,2339894248,3,0,True,2567533384,62567,1858639021,4,1,2,1,1,0,1,0
117,True,3549652228,61555,2570581757,2,0,True,461011827,61747,3896252284,4,1,2,1,1,0,1,65535
118,True,2309749187,65314,3264470980,1,0,True,781020908,65071,1123406727,1,1,2,1,1,0,1,65266
119,True,2093012974,59064,541690486,2,0,True,372841724,60091,2606838768,1,1,2,1,1,0,1,65535
120,False,1994378786,59741,2142903678,4,0,True,502348187,65236,696118087,5,1,2,2,1,0,1,0
121,True,1035824615,59755,1282445405,2,0,True,4226554688,63437,1075266452,1,1,2,1,1,0,0,65535
122,True,3279866386,62606,2119226576,5,0,True,587482588,64667,400319224,2,1,1,1,2,0,1,0
123,True,303983002,62086,606301779,4,0,True,4087885060,64977,1162180257,5,1,1,2,1,0,1,65535
124,True,4039655716,59171,2861691767,2,0,True,1758197181,63227,2189281271,4,1,2,1,1,0,1,0
125,False,2571747506,64560,3884384585,5,0,True,2820276612,64770,3082502324,2,1,2,1,1,0,1,0
126,True,2194289853,62932,4179362894,1,0,False,2819765388,63319,3535496404,2,1,2,2,1,0,0,0
127,True,2176989314,59009,2324449447,5,0,True,3444534019,63630,1883680113,4,1,2,2,1,0,0,131042
128,True,3345461629,62004,2421154517,5,0,True,362113152,64183,3622863459,2,1,2,2,1,0,1,65535
129,True,2693924118,59387,3315985828,4,0,True,3991924578,63555,2316902961,3,1,2,2,1,0,0,131038
130,True,4166758676,59463,1126457254,1,0,True,1327233690,61324,2112364479,5,1,1,2,1,0,1,65535
131,True,860116918,63089,3775756307,5,0,True,2425733400,60586,662632700,3,1,2,2,1,0,0,65535
132,True,1568293208,62337,2875153393,2,0,True,1833048000,60149,646179228,1,1,1,2,1,0,0,65535
133,True,3809449481,59850,2612313237,5,0,True,142353385,61624,1417332240,3,1,2,1,1,0,1,0
134,True,3173035774,62078,1154129526,4,0,True,2570602797,64008,2560194016,1,1,1,2,1,0,1,65535
